Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",30.0,35.0,25.0,30.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,85.0,75.0,63.333333333333336
untuk menstranfer suatu file ,18.0,25.0,25.0,22.666666666666668
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,85.0,75.0,63.333333333333336
transfer antar hape ,10.0,25.0,10.0,15.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,75.0,50.0,51.666666666666664
bluetooth adalah jaringan pribadi tanpa kabel. dapat dipakai untuk tukar-menukar informasi antar perangkat ,50.0,70.0,50.0,56.666666666666664
bluetooth adalah teknologi nirkabel (tanpa kabel) yang dapat menyambungkan beberapa perangkat melalui gelombang radio frekuensi rendah. bluetooth menggunakan gelombang radio yang omni direksional dan dapat menembus dinding. jadi perangkat yang memiliki bluetooth pada area tertentu akan saling tersambung tanpa digabungkan dengan seutas kabel. bluetooth menyediakan transfer data 720 kbps dalam jarak 40 meter. ,40.0,70.0,50.0,53.333333333333336
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. spesifiksi dari peralatan bluetooth ini dikembangkan dan didistribusikan oleh kelompok bluetooth special interest group. ,50.0,85.0,75.0,70.0
"bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. fungsi bluetooth yaitu untuk mempermudah berbagi atau sharing file, audio, menggantikan penggunaan kabel dan lain-lain. saat ini sudah banyak sekali perangkat yang menggunakan bluetooth. ",38.0,85.0,75.0,66.0
bluetooth adalah teknologi jaringan tanpa kabel yang berjarak pendek untuk menghubungkan 2 alat ,32.0,30.0,25.0,29.0
jaringan yang digunakan untuk pengiriman data ,16.0,15.0,25.0,18.666666666666668
suatu alat untuk tranfer file yang terbatas jarak. ,20.0,30.0,25.0,25.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,75.0,50.0,51.666666666666664
teknologi sinyal untuk menghubungkan perangkat dalam pengiriman dan penerimaan data ,25.0,40.0,25.0,30.0
bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau pan) tanpa kabel. ,28.0,40.0,25.0,31.0
