Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
topologi adalah cara stasiun atau host node saling dihubungkan beberpa jenis topologi jaringan lan yang ada dan sering di terapkan yaitu pointtopoint bus multipoint ring star dan tree ,45.0,40.0,50.0,45.0
pengertian topologi jaringan adalah bagian yang menjelaskan hubungan antar komputer yang di bangun berdasarkan kegunaan keterbatasan resource dan keterbatasan biaya berarti topologitopologi jaringan yang ada bisa disesuaikan dengan keadaan di lapangan contoh topologi bus star token ring tree ,35.0,50.0,50.0,45.0
topologi jaringan komputer topologi bustopologi ring topologi star ,40.0,45.0,50.0,45.0
lan local are network menghubungkan satu komputer dengan komputer lainnya yang berada dalam satu wilayah jaringan 1 topologi bus 2 topologi star 3 topologi tree ,50.0,70.0,50.0,56.666666666666664
jaringan dengan kabel ,8.0,15.0,10.0,11.0
pada topologi ring setiap komputer di hubungkan dengan komputer lain dan seterusnya sampai kembali lagi ke komputer pertama dan membentuk lingkaran sehingga disebut ring topologi ini berkomunikasi menggunakan data token untuk mengontrol hak akses komputer untuk menerima data misalnya komputer 1 akan mengirim file ke komputer 4 maka data akan melewati komputer 2 dan 3 sampai di terima oleh komputer 4 ,28.0,45.0,25.0,32.666666666666664
topologi jaringan lan cara stasiun atau host dihubungkan contohnya adalah topologi point to point topologi bus topologi star dan topologi ring ,40.0,50.0,50.0,46.666666666666664
topologi pointtopoint setiap stasiun atau host dihubungkan secara langsung dengan host lain setiap host mempunyai kedudukan yang sama sehingga lan tidak tergantung pada salah satu host pada dasarnya hubungan antar stasiun hanya diketahui oleh stasiun yang bersangkutan topologi bus multipoint lan ini merupakan jaringan broadcast karena informasi dikirimkan melalui medium transmisi ke semua stasiun yang tersambung pada medium ini setiap stasiun saling dihubungkan melalui suatu medium yang dipergunakan bersama yang dapat berupa kabel serat optik ataupun gelombang elektromaknetik interface untuk node disambungkan ke medium ini tiaptiap node akan memeriksa address dari informasi yang dikirimkan untuk menentukan siapa penerimanya lan juga tidak tergantung pada salah satu node karena kendalinya tersebar distributed keuntungan jumlah node dapat ditambahkan atau dikurangi tanpa mengganggu operasi yang telah ada kerugiannya kalau tingkat lalulintas tinggi dapat terjadi kongesti contoh yang terkenal ethernet topologi ring semua node saling dihubungkan dalam bentuk lingkaran ring informasi berjalan dalam saluran transmisi secara searah unidirectional sehingga data beredar di dalam lingkaran informasi berjalan dari satu node ke node yang lain informasi disalurkan dalam bentuk paket tiap paket mengandung alamat sumber dan tujuan paket yang diterima oleh satu stasiun akan diperiksa alamatnya bilamana bukan untuknya paket akan diberikan kepada stasiun berikutnya demikian seterusnya sehingga tiba di tempat tujuan paket ini kemudian akan beredar sampai kembali ke sumber dan kemudian dikeluarkan dari peredaran paket harus dibuang untuk menghindari beredarnya tanpa batas dalam ring tersebut paket juga dapat dibuang oleh stasiun yang dituju pembuangan paket oleh sumber lebih disukai karena memungkinkan konfirmasi otomatis setiap node di dalam lan ini akan saling bergantungan bila satu node terganggu maka seluruh lan akan terganggu akan tetapi sekarang telah ada teknik untuk mengatasi masalah ini yaitu dengan cara melepaskan node yang tidak bekerja dari lan tersebut dan menggantikannya dengan node yang berdekatan teknik ini memerlukan peralatan yang lebih rumit tiap node yang ada pada ring mempunyai repeater transceiver yang melakukan tugas tersebut di atas lan dengan topologi ini mempunyai keuntungan yaitu data rate tinggi dan dapat melayani lalu lintas yang intensitasnya tinggi serta sambungan point to point membuat transmission error diperkecil kerugian topologi ini antara lain sukar menambah atau mengurangi node kerusakan pada media transmisi dapat menghentikan seluruh operasi media transmisi yang dipakai dapat berupa twisted pair kabel koaksial dan serat optik topologi star stasiun yang tersambung pada jaringan umumnya tidak langsung berhubungan dengan stasiun lain tetapi harus menyalurkannya melalui suatu pusat stasiun pusat ini seringkali berupa sebuah switch  semua jalur komunikasi tersambung ke satu titik pusat topologi tree tidak semua node mempunyai kedudukan yang sama node yang kedudukannya lebih tinggi menguasai node dibawahnya jaringan sangat tergantung pada node tertentu terutama pada node yang kedudukannya tertinggi karena itu juga dapat disebut sebagai hierachical topology sedang yang lainnya kedudukan semua node sama disebut sebagai peer topology ,30.0,55.0,50.0,45.0
topologi ring pada topologi ring setiap komputer di hubungkan dengan komputer lain dan seterusnya sampai kembali lagi ke komputer pertama dan membentuk lingkaran sehingga disebut ring topologi ini berkomunikasi menggunakan data token untuk mengontrol hak akses komputer untuk menerima data misalnya komputer 1 akan mengirim file ke komputer 4 maka data akan melewati komputer 2 dan 3 sampai di terima oleh komputer 4 jadi sebuah komputer akan melanjutkan pengiriman data jika yang dituju bukan ip address dia topologi jaringan komputer kelebihan dari topologi jaringan komputer ring adalah pada kemudahan dalam proses pemasangan dan instalasi penggunaan jumlah kabel lan yang sedikit sehingga akan menghemat biaya kekurangan paling fatal dari topologi ini adalah jika salah satu komputer ataupun kabel nya bermasalah maka pengiriman data akan terganggu bahkan error ,30.0,45.0,50.0,41.666666666666664
topologi jaringan sendiri merupakan suatu bentuk struktur jaringan yang menghubungkan antar komputer satu dengan yang lain dengan menggunakan media kabel maupun nirkabel 1 topologi bus 2 topologi star 3 topologi tree ,40.0,65.0,50.0,51.666666666666664
topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi contoh topologi star topologin bus topologi mesh topologi tree ,45.0,60.0,50.0,51.666666666666664
tipologi starbustreering ,30.0,25.0,25.0,26.666666666666668
jaringan yang menggunakan kabel ftp atau utp topologi star topologi bus dan topologi tree ,38.0,50.0,50.0,46.0
lan adalah local area network 1 topologi bus 2 topologi star 3 topologi ring ,48.0,50.0,50.0,49.333333333333336
jaringan yang mencakut dalam satu area  untuk gedung  untuk rumah  untuk pabrik ,20.0,15.0,25.0,20.0
jaringan local area network adalah jaringan antar satu gedung ,27.0,20.0,25.0,24.0
topologi adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi topologi star topolog mesh topologi ring,48.0,55.0,50.0,51.0
topologi point to point topologi busmultipoint topologi ring topologi star topologi tree ,33.0,30.0,25.0,29.333333333333332
pengertian topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi  topologi ring  topologi bus  topologi star ,45.0,60.0,50.0,51.666666666666664
jaringan dengan kabel ,15.0,15.0,25.0,18.333333333333332
pengertian topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi contohnya topologi star topologi bus topologi tree ,50.0,65.0,50.0,55.0
topologi jaringan lan local area network adalah topologi jaringan bertingkat contoh  topologi bus  topologi ring  topologi star ,60.0,45.0,50.0,51.666666666666664
lan adalah local area network merupakan sebuah node yang saling terhubung dan memanfaatkan beberapa jenis topologi yang ada contohnya point to point bus ring ,48.0,50.0,50.0,49.333333333333336
topologi star gemini sagitarius ,10.0,5.0,10.0,8.333333333333334
topologi lan adalah topologi untuk desain jaringan contohnya adalah topologi mesh topologi tree topologi star topologi bus ,44.0,45.0,50.0,46.333333333333336
topologi lan adalah topologi pada jaringan komputer yang menggunakan media kabel sebagai jalur transmisinya ,20.0,30.0,25.0,25.0
topologi lan adalah topologi pada jaringan komputer yang menggunakan media kabel sebagai jalur transmisinya contoh  star bus ring mesh hybird ,40.0,45.0,50.0,45.0
topoligi lan adalah topologi jaringan local atau local area network topologi tersebut digunakan untuk network kecil seperti di rumah kos warung kopi dll yang kecil contoh topologi adalah star mesh tree bus ring ,50.0,65.0,50.0,55.0
lan ialah jaringan lokal penghubung antar pc dalam skala dan jangkauan yang kecil contoh  topologi ring bus star ,30.0,50.0,50.0,43.333333333333336
