Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
 recycle yaitu mendaur ulang sesuatu atau mengolah kembali suatu barang yang sudah tidak digunakan agar bisa dimanfaatkan kembali  reuse adalah menggunakan kembali material atau bahan yang masih layak dipakai  reduce adalah konsep pengurangan atau mengurangi pemakaian suatu material tertentu yang dianggap dapat mengurangi produksi sampah dan tidak menyebabkan konsupsi berlebih,25.0,35.0,25.0,28.333333333333332
dengan menerapkan program extended producer responsibility epr suatu program dimana produser bertanggung jawab mengambil kembali take back produkproduk yang tidak terpakai ,20.0,28.0,25.0,24.333333333333332
di daur ulang memanfaatkan yang masih bisa di pakai di pendam ,15.0,10.0,10.0,11.666666666666666
1 mendaur ulang 2 mengubah menjadi kerajinan tangan 3 memanfaatkan sparepart yang masih dapat digunakan ,17.0,26.0,25.0,22.666666666666668
dibuang di tempatnya ,8.0,5.0,10.0,7.666666666666667
melihat komposisi material dari produk elektronik ini kita bisa simpulkan bahwa nilai ekonomisnya sangat tinggi beberapa material bisa didaur ulang seperti plastik baik itu untuk menghasilkan bahan baku plastik kembali ataupun diolah untuk menghasilkan bahan bakar setara dengan bensin dan solar kemudian aneka macam logam seperti besi tembaga aluminium tentunya sangat bernilai ekonomis tinggi kalau bisa dimanfaatkan lagi belum lagi beberapa logam dalam jumlah yang kecil tetapi sangat bernilai seperti perak dan emas tentunya menjadikan daur ulang ini sangat menjanjikan ke depannya ,40.0,55.0,50.0,48.333333333333336
meningkatkan umur suatu produk mendaur ulang produk yang tidak terpakai secara benar mengekspor ke negara maju untuk dikembangkan ,20.0,30.0,25.0,25.0
masyarakat bisa menjual sampahnya kepada ecocash petugas akan mendatangi rumah pengguna jasa mengambil perangkat elektronik bekas lantas membayarnya perangkat yang rusak atau mati pun tetap ada harganya saat ini layanan penjemputan sampah elektronik secara gratis baru ada untuk wilayah jakarta dan tangerang daerah lain di jabodetabek bisa dilayani tetapi dikenai tarif tambahan untuk pengambilan barang perangkat elektronik tersebut akan kami salurkan untuk dipilah dan didaur ulang jadi peran kami adalah membantu orangorang meneruskan sampah elektronik mereka ke pihakpihak yang bisa mengelolanya tutur amrit gurbani cofounder pt mitra kersa artha di kantornya jumat 37 menyerahkan limbah elektronik kepada pihak yang bisa mengolahnya dapat menjadi salah satu cara yang kita tempuh untuk mengatasi menumpuknya sampah elektronik selain mempertimbangkan masakmasak sebelum membeli perangkat elektronik sementara itu kita tetap berharap perusahaan elektronik mau bertanggung jawab mengelola kembali produknya dan negara kita punya sistem yang terintegrasi untuk mengelola sampah ,30.0,40.0,50.0,40.0
sampah elektronik yang tidak terkelola dengan baik menimbulkan masalah komponenkomponennya mengandung bahan berbahaya dan beracun b3 circuit board komputer misalnya mengandung logamlogam berat seperti timah krom besi timbal perak dan tembaga komponen di dalam televisi dan monitor komputer bekas pun mengandung timah kadmium dan merkuri limbahlimbah ini jika tidak ditangani dengan benar menjadi polutan bagi air tanah dan udara ini juga akan berpengaruh buruk terhadap kesehatan orangorang yang ada di sekitarnya ,20.0,30.0,25.0,25.0
melakukan recycle pada e waste yang masih bisa digunakan mengurangi penggunaan alat elektronik yang tidak perlu digunakan gunakan lah kembali alat listrik yang masih bisa digunakan ,8.0,10.0,10.0,9.333333333333334
di olah kembali menjadi barang yang berguna ,15.0,15.0,10.0,13.333333333333334
dilakukan pelelehan barang elektronik melakukan daur ulang dan upgreade bahan dari yang tidak layak menjadi layak ,16.0,20.0,25.0,20.333333333333332
1 dengan cara mendaur ulang sampah elektronik 2 mengurangi penggunaan sampah elektronik ,25.0,30.0,25.0,26.666666666666668
dibuar kerajinan  dikubur  disimpan ,8.0,10.0,10.0,9.333333333333334
mendaur ulang yang masih bisa dipakai membuang ke tempat pembuangan akhir memanfaatkan yang bisa dipakai,20.0,20.0,25.0,21.666666666666668
dengan melebur bahan bekas itu menjadi bahan mentah mengambil spare part barang itu kemudian dipasang ke perangkat yang lain di daur ulang,18.0,25.0,25.0,22.666666666666668
di daur ulang ,12.0,10.0,10.0,10.666666666666666
dengan cara menghancurkannya dengan alat berat ,5.0,5.0,10.0,6.666666666666667
membuang pada tempatnya ,8.0,5.0,10.0,7.666666666666667
reduce reuse recycle ,8.0,10.0,10.0,9.333333333333334
 melakukan pengumpulan sampah elektronik dan selanjutnya dipilah dan didaur ulang,20.0,25.0,25.0,23.333333333333332
salurkan sampah elektronik daur ulang sampah elektronik menyimpannya di rumah,20.0,25.0,25.0,23.333333333333332
dengan merefresh dan scan dengan mengistall ulang dengan merepair dengan maintenance,8.0,5.0,10.0,7.666666666666667
mendaur ulang ,12.0,10.0,10.0,10.666666666666666
recycle  reuse  refuse ,7.0,10.0,10.0,9.0
dihapus diolah kembali diasingkan gunakan adblock ,8.0,10.0,10.0,9.333333333333334
membersihkan hal yang mengandung spam melakukan scanning terhadap data pada komputer rutin melakukan defragment,0.0,5.0,10.0,5.0
 adanya satu perhatian dari instansi terkait dalam pengelola limbah  membangun sistem database untuk medata jumlah volume limnbah  mendorong kepeduliuan semua pihak,8.0,10.0,10.0,9.333333333333334
tidak tahu ,0.0,0.0,0.0,1.0
 dibakar  didaur ulang,12.0,10.0,10.0,10.666666666666666
dengan melakukan scaning menggunakan software,0.0,0.0,0.0,1.0
dalam buku ewaste sampah elektronik 2015 penulis rafa jafar memberikan tips bagaimana memperlakukan barang bekas atau ewaste sebelum akhirnya berakhir di dropbox ada langkah kecil yang dapat dilakukan untuk mengurangi sampah elektronik seperti jual tambah membawa ke tukang servis memberikan ke orang lain yang membutuhkan atau dikumpulkan untuk diberikan ke tempat pengolah ewaste ,23.0,30.0,25.0,26.0
 mendorong kepedulian semua pihak untuk mendukung pelaksanaan mekanisme epr dan mekanisme insentif  membangun sistem database untuk mendata volume limbah elektronik daftar industri rekondisi daftar industri pengolah limbah  kebijakan untuk peranan dan pertumbuhan industri rekondisi dan memberlakukan standar untuk produk refurbish  memberikan informasi kepada semua pihak terutama sektor informal akan bahaya penanganan ewaste yang tidak terkontrol  pengelolaan limbah b3 dari kegiatan elektronik dapat dilakukan sendiri atau diberikan kepada pihak ketiga yang telah mendapatkan izin dari klh,16.0,20.0,25.0,20.333333333333332
mendaur ulang sampah elektronik bakar sampah elektronik yang bisa di bakar di olah dengan benar,28.0,35.0,25.0,29.333333333333332
 mendaur ulang sampah  memanfaatkan sebagai bahan yg lebih penting,20.0,20.0,25.0,21.666666666666668
didaur ulang ,12.0,12.0,10.0,11.333333333333334
penjualan barang elektronik yang terus melonjak hingga satu dekade mendatang diperkirakan akan terjadi di negaranegara berkembang dalam 10 tahun ke depan meningkatnya penjualan tentu saja berdampak pada penumpukan sampah elektronik yang membahayakan lingkungan dan kesehatan manusia ,17.0,25.0,25.0,22.333333333333332
daur ulang dimanfaatkan menjadi benda yang bermanfaat ,26.0,25.0,25.0,25.333333333333332
menggunakan barang secara bijak ,16.0,14.0,10.0,13.333333333333334
delete bokir tidak usah buat ,0.0,2.0,0.0,0.6666666666666666
menghapus sampah elektronik memblokir sampah elektronik tidak membuat sampah elektronik ,18.0,20.0,25.0,21.0
hapusblokir ,0.0,0.0,0.0,1.0
di daur ulang di daur ulang di daur ulang ,12.0,10.0,10.0,10.666666666666666
 disimpan  di daur ulang  dijadikan pajangan,12.0,15.0,10.0,12.333333333333334
