Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,Kami bangsa Indonesia dengan ini menyatakan kemerdekaannya. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat-singkatnya ,60.0,80.0,75.0,71.66666666666667
siswa_2 ,kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain. Diselenggrakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,60.0,80.0,75.0,71.66666666666667
siswa_3 ,kami segenap bangsa indonesia menyatakan kemerdekaan ,25.0,20.0,25.0,23.333333333333332
siswa_4 ,Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ,60.0,80.0,75.0,71.66666666666667
siswa_6 ,kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia sesingkat-singkatnya ,40.0,35.0,50.0,41.666666666666664
siswa_7 ,"Kami bangsa Indonesia dengan ini menjatakan kemerdekaan Indonesia. Hal-hal jang mengenai pemindahan kekoeasaan d.l.l. diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. Djakarta, hari 17 boelan 8 tahoen 05 Atas nama bangsa Indonesia. Soekarno/Hatta. ",70.0,95.0,90.0,85.0
siswa_8 ,"kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta, hari 17 bulan 8 tahun 1945 atas nama bangsa indonesia Soekarno Hatta ",73.0,98.0,90.0,87.0
siswa_9 ,"PROKLAMASI KAMI BANGSA INDONESIA DENGAN INI MENYATAKAN KEMERDEKAAN INDONESIA. HAL-HAL YANG MENGENAI PEMINDAHAN KEKUASAAN DAN LAIN-LAIN DISELENGGARAKAN DENGAN CARA SAKSAMA DAN DALAM TEMPO YANG SESINGKAT-SINGKATNYA. DJAKARTA, 17 Agustus 1945 ATAS NAMA BANGSA INDONESIA SUKARNO-HATTA ",86.0,100.0,90.0,92.0
siswa_10 ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan seksama dan dalam tempo yang sesingkat-singkatnya jakarta hari 17 agustus 1945 soekarno hatta ,73.0,90.0,90.0,84.33333333333333
siswa_11 ,"proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal-hal yang mengenai pemindahan kekuasaan dll,diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,76.0,75.0,70.33333333333333
siswa_12 ,kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. Hal-hal mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,56.0,67.0,75.0,66.0
siswa_16 ,indonesia menyatakan merdeka ,15.0,15.0,10.0,13.333333333333334
siswa_17 ,kami bangsa indonesia dengan ini menyatakan kemerdekaannya dengan hal-hal yang berkaitan dengan bangsa dan negara dalam tempo yang sesingkat-singkatnya. ,50.0,40.0,50.0,46.666666666666664
siswa_18 ,Kami bangsa Indonesia dengan ini menyatakan kemerdekaanya Hal - Hal yang mengenai pemindahan kekuasaan dan lain- lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. ,60.0,75.0,75.0,70.0
siswa_19 ,"kami bangsa menyatakan dengan ini kemerdekaan indonesia, hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan seksama dan dalam tempo yang segingkat singkatnya ",54.0,69.0,75.0,66.0
siswa_20 ,"Proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia, hal hal yang mengenai pemindahan kekuasaan dan lain lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ",60.0,75.0,75.0,70.0
siswa_22 ,"-Proklamasi -Kami bangsa Indonesia menyatakan dengan ini kemerdekaannya -Hal hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo sesingkat singkatnya -Jakarta,17 Agustus 1945 -Atas nama bangsa Indonesia",78.0,92.0,90.0,86.66666666666667
siswa_24 ,"Proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain lain, diselenggaarakan dengan cara seksama dan dalam tempoh yang sesingkat-singkatnya ",60.0,75.0,75.0,70.0
siswa_25 ,"Proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia, hal hal yang mengenai pemindahan kekuasaan dan lain lain dilakukan dengan cara seksama dan dengan waktu sesingkat singkatnya, ",56.0,64.0,75.0,65.0
siswa_26 ,kami putra putri bangsa indonesia ,10.0,5.0,10.0,8.333333333333334
siswa_27 ,proklamasi. kami bangsa Indonesia. dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dll. diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ,60.0,60.0,50.0,56.666666666666664
siswa_28 ,Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ,60.0,60.0,50.0,56.666666666666664
siswa_33 ,"Proklamasi Kami bangsa Indonesia, dengan ini menyatakaan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan. dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. Jakarta, 17 Agustus 1995 Soekarno-Hatta ",73.0,80.0,75.0,76.0
siswa_34 ,"PROKLAMASI Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia hal-hal yang mengenai pemindahan kekuasaan dan lain-lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. Soekarno-Hatta Jakarta,17 Agustus 1945 ",73.0,82.0,75.0,76.66666666666667
siswa_35 ,"PROKLAMASI Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia hal - hal yang mengenai pemindahan kekuasaan dan lain - lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. Soekarno - Hatta. Jakarta, 17 Agustus 1945 ",73.0,84.0,75.0,77.33333333333333
siswa_36 ,kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan d.l.l.di selenggarakan dengan cara seksama dalam temppo yang sesingkat singkatnya. ,60.0,76.0,75.0,70.33333333333333
siswa_37 ,"kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ",55.0,67.0,75.0,65.66666666666667
siswa_38 ,"PROKLAMASI, kami bagsa Indonesia dengan ini menyatakan kemerdekaan. untuk urusan lebih lanjut, akan diurus secepatnya. ",30.0,30.0,25.0,28.333333333333332
siswa_39 ,Kami Bangsa Indonesia menyatakan dengan ini kemerdekaan. Hal hal yang mengenai pemindahan kekuasaan dan lain lain. Dilakukan dengan cara seksama dan dalam tempo sesingkat singkatnya. Jakarta 17 Agustus 1945 atas nama Bangsa Indonesia Soekarno-Hatta ,70.0,89.0,75.0,78.0
siswa_40 ,"proklamasi kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia, hal-hal yang memindai tentang kekuasaan diselesaikan dengan cara segsama dan dalam tempo yang sesingkat-singkatnya Jakarta 17 Agustus 1945 ",73.0,93.0,75.0,80.33333333333333
siswa_41 ,"Proklamasi Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia . Hal - hal yang mengenai pemindahan kekuasaan dan lain - lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat - singkatnya. Jakarta, 17 - 08 - 1945 Wakil - Wakil Bangsa Indonesia ",90.0,100.0,90.0,93.33333333333333
siswa_42 ,"kami bangsa indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,76.0,75.0,70.33333333333333
siswa_43 ,Proklamasi kami bangsa indonesia menyatakan dengan ini menyatakan kemerdekaan ,30.0,27.0,25.0,27.333333333333332
siswa_44 ,kami bangsa Indonesia menyatakan dengan ini kemerdekaanya hal hal yang berkaitan mengenai pemindahan kekuasaan dan lain lain akan diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. ,60.0,75.0,75.0,70.0
siswa_45 ,"kami bangsa Indonesia dengan ini menyatakan kemerdekaannya, hal hal mengenai pemindahan kekuasaan dan lain-lain akan diselenggarakan dengan cara seksama dan dalam tempo sesingkat-singkatnya ",60.0,75.0,75.0,70.0
siswa_46 ,PROKLAMASI KAMI BANGSA INDONESIA DENGAN INI MENYATAKAN KEMERDRKAAN INDONESIA HAL HAL YANG MENGENAI PEMINDAHAN KEKUASAAN DAN LAIN LAIN DISELENGGARAKAN DENGAN CARA SESAMA DAN DALAM YANG SESINGKAT SINGKATNYA JAKARTA 17-8-45 WAKIL BANGSA INDONESIA SUKARNO-HATTA ,88.0,96.0,90.0,91.33333333333333
siswa_47 ,NASKAH PROKLAMASI ,5.0,5.0,10.0,6.666666666666667
siswa_48 ,PROKLAMASI KAMI BANGSA INDONESIA DENGAN INI MENYATAKAN KEMERDEKAAN INDONESIA. HAL-HAL YANG MENGENAI PEMINDAHAN KEKUASAAAN DISELENGGARAKAN DENGAN CARA SEKSAMA DAN DALAM TEMPOH YANG SESINGKAT-SINGKATNYA ,63.0,76.0,75.0,71.33333333333333
siswa_49 ,"Kami bangsa Indonesia dengan ini menjatakan kemerdekaan Indonesia. Hal-hal jang mengenai pemindahan kekoeasaan d.l.l., diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. Djakarta, hari 17 boelan 8 tahoen 05 Atas nama bangsa Indonesia. Soekarno/Hatta. ",70.0,86.0,75.0,77.0
siswa_50 ,"Proklamasi Kami bangsa Indonesia menjatakan dengan ini kemerdekaan Indonesia. Hal-hal jang mengenai pemindahan kekuasaan d.l.l, diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. Djakarta, hari 17 boelan 8 tahoen 05 Atas nama bangsa Indonesia Soekarno/Hatta ",60.0,78.0,75.0,71.0
siswa_51 ,"P R O K L A M A S I Kami bangsa Indonesia dengan ini menjatakan kemerdekaan Indonesia. Hal-hal jang mengenai pemindahan kekoeasaan d.l.l., diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkat-singkatnja. Djakarta, hari 17 boelan 8 tahoen 05 Atas nama bangsa Indonesia. Soekarno/Hatta ",60.0,76.0,75.0,70.33333333333333
siswa_52 ,"Proklamasi kami bangsa indonesia menyatakan kemerdekaan indonesia, Hal-hal yang mengenai pemindahan kekuasaan dengan seksama dalam toempo yang sesingkat-singkatnnya. ",70.0,80.0,75.0,75.0
siswa_53 ,"Proklamasi kami bangsa indonesia dengan ini menyatakn kemerdekaan indonesia, hal- hal yang mengenai pemindahan kekuasaan dan lain-lain dilakukan dengan cara seksama dan tempo yang sesingkat-singkatnya. ",70.0,80.0,75.0,75.0
siswa_54 ,"Proklamasi, kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia,hal-hal yang mengenai pemindahan kekuasaan dan lain-lain dilakukan dengan cara seksama dan dalam waktu yang sesingkat-singkatnya, Jakarta 17 Agustus 1945 Soekarno Hatta. ",80.0,95.0,90.0,88.33333333333333
siswa_55 ,Kami bangsa indonesia menyatakan dengan ini kemerdekaan indonesia hal-hal yang mengenai pemindahan kekuaaan dilaksanakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya ,60.0,78.0,75.0,71.0
siswa_56 ,"KAMI BANGSA INDONESIA DENGAN INI MENYATAKAN KEMERDEKAAN INDONESIA. HAL-HAL YANG MENGENAI PEMINDAHAN KEKUASAAN DAN LAIN-LAIN DISELENGGARAKAN DENGAN CARA SAKSAMA DAN DALAM TEMPO YANG SESINGKAT-SINGKATNYA. DJAKARTA, 17 AGUSTUS 1945 ATAS NAMA BANGSA INDONESIA. SOEKARNO-HATTA. ",73.0,85.0,80.0,79.33333333333333
siswa_57 ,"isi teks proklamasi Kami bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan, diselenggarakan dengan secara seksama dan dalam tempo yang sesingkat-singkatnya. ",60.0,73.0,75.0,69.33333333333333
siswa_58 ,Proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan cara seksama dan dalam tempo sesingkat - singkatnya jakarta 17 agustus 1945 atas nama bangsa indonesia Sokarno - Hatta ,70.0,79.0,75.0,74.66666666666667
siswa_59 ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya. jakarta 17 agustus 1945. ,80.0,92.0,90.0,87.33333333333333
siswa_60 ,"Proklamasi Kami Bangsa Indonesia dengan ini menyatakan kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, di laksanakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. Jakarta, 17 Agustus 1945. Atas Nama Soekarno-Hatta ",85.0,97.0,90.0,90.66666666666667
siswa_61 ,"Proklamasi, Kami Bangsa Indonesia dengan ini menyatakan Kemerdekaan Indonesia. Hal-hal yang mengenai pemindahan kekuasaan dll, diselenggarakan dalam dengan cara seksama dan dalam tempo sesingkat-singkat nya. Jakarta hari 17 bulan 08 Tahun 05 atas nama bangsa Indonesia. Soekarno Hatta ",75.0,85.0,75.0,78.33333333333333
siswa_62 ,"Proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia. hal-hal yang mengenai pemindahan kekuasaan dan lain-lain, diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya. jakarta har 17 bulan 8 tahun 05 atas nama bangsa indonesia soekarno-hatta ",75.0,85.0,75.0,78.33333333333333
siswa_63 ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan negara republik indonesia raya ,30.0,28.0,25.0,27.666666666666668
siswa_64 ,proklamasi kemerdekaan adalah hak segala bangsa oleh karen itu penjajah diatas dunia harus dihapuskan karena tidak sesuai prikemanusiaan dan prikeadilan. hal - hal yang mengenai pemindahankekuasaan dan lain - lain diselenggarakan secara seksama dan dalam tempo yang sesingkat singkatnya. ,20.0,15.0,25.0,20.0
siswa_65,Kami anak Indonesia cak atas ini menyatakan kemerdekaannya. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
siswa_66,Kami anak Indonesia dengan ini menyatakan kemerdekaannya. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
siswa_67,Kami bangsa Indonesia cak atas ini menyatakan kemerdekaannya. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
siswa_68,abdi anak indonesia cak atas ini menyatakan kemerdekaan indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain. Diselenggrakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
siswa_69,abdi anak indonesia dengan ini menyatakan kemerdekaan indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain. Diselenggrakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
siswa_70,abdi bangsa indonesia cak atas ini menyatakan kemerdekaan indonesia. Hal-hal yang mengenai pemindahan kekuasaan dan lain-lain. Diselenggrakan dengan cara seksama dan dalam tempo yang sesingkat-singkatnya,60.0,80.0,75.0,71.66666666666667
