Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
- memulai pertandingan - terjadinya gol - memulai babak kedua - memulai babak perpanjangan waktu,100.0,100.0,100.0,100.0
"1. awal pertandingan babak pertama, 2. awal pertandingan babak kedua, 3. sesudah gol terjadi. ",75.0,80.0,75.0,76.66666666666667
"setelah gol, pembukaan babak pertama, pembukaan babak kedua ",60.0,75.0,75.0,70.0
1. pertama kali dimulainnya permainan babak pertama. 2. pertama kali dimulainnya permainan babak kedua. 3. setlah tercetaknya goal. ,55.0,50.0,50.0,51.666666666666664
offside ,0.0,0.0,0.0,1.0
dilakukan untuk membuka babak 1 dan 2 dan babak extra time jika ada. dan juga kick off dilakukan bila terjadi gol (pihak yang kebobolan akan melakukan kick off) ,30.0,25.0,25.0,26.666666666666668
"pemain siap, wasit siap, dan panitia pelaksana mengizinkan ",0.0,0.0,0.0,1.0
memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu ,100.0,100.0,100.0,100.0
memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu ,100.0,100.0,100.0,100.0
kick off dapat dilakukan dalam kondisi berikut: memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu ,90.0,95.0,90.0,91.66666666666667
"kedua tim yang bertanding sudah lengkap, wasit yang memimpin pertandingan sudah siap, ada lapangan yang digunakan untuk bertanding ",10.0,10.0,10.0,10.0
"pertandingan baru dimulai,pertandingan memasuki babak kedua,pertandingan memasuki babak tambahan ",75.0,60.0,75.0,70.0
"pelanggaran, ",0.0,0.0,0.0,1.0
"saat terjadi pelanggaran, saat pemain melakukan off site, dan pada saat pemain akan melakukan umpan namun musuh menyerang kakinya bukan bolanya. ",10.0,25.0,25.0,20.0
ada 17 kondisi pada kick off pada sepak bola ,0.0,0.0,0.0,1.0
"adanya keamanan , adanya wasit untuk mengatur permainan , kondisi lapangan bagus ",0.0,0.0,0.0,1.0
"pemain sudah siap, wasit sudah siap, keamanan sudah siap, panitia pelaksana sudah memperbolehkan ",0.0,0.0,0.0,1.0
-saat dimulainya babak pertama suatu pertandingan sepakbola -saat dimulainya babak kedua suatu pertandingan sepakbola -saat salah satu lawan mencetak gol ke gawang musuhnya,60.0,75.0,75.0,70.0
"pada saat kiper siap, saat wasit ke 2 siap, saat hakim garis siap ",0.0,0.0,0.0,1.0
1. pada saat kedua penjaga gawang telah siap 2. pada saat time keeper di luar lapangan telah siap 3. pada saat hakim garis telah siap melakukan tugasnya ,0.0,0.0,0.0,1.0
gak tau ,0.0,0.0,0.0,1.0
memulai pertandingan. terjadi gol. memulai babak kedua. memulai babak perpanjangan waktu. ,100.0,100.0,100.0,100.0
memulai pertandingan terjadinya gol memulai babak kedua memulai babak perpanjangan waktu ,100.0,100.0,100.0,100.0
"kick off merupakan tendangan awal pada bola sebelum musuh merebut bola kick off dilakukan saat membuka babak 1 dan baak dua, kick off juga dilakukan saat ada extra time ",10.0,15.0,10.0,11.666666666666666
"memulai pertandinga, terjadinya gol, memulai babak kedua, memulai babak perpanjangan waktu ",90.0,95.0,90.0,91.66666666666667
