Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
"airnya bersih, airnya tidak mengandung karporit, kedalaman sesuai dengan tinggi badan ",40.0,60.0,50.0,50.0
1. tidak bocor 2. sirkulasi air dan sistem filterasi baik sehingga air selalu bersih 3. aman bagi penggunanya. ,30.0,60.0,50.0,46.666666666666664
"kebersihan,keindahan,kedalaman ",15.0,40.0,50.0,35.0
1. air yang digunakan tidak menggandung kapur. 2. kebersihan kolam renang. 3. fasilitas kolam renang yang nyaman dan bersih. ,38.0,55.0,50.0,47.666666666666664
"tidak bau , bisa diminum ",5.0,5.0,10.0,6.666666666666667
"kebersihan dari air kolam renang tersebut, sering atau tidaknya air tersebut dikuras setidaknya seminggu dua kali, tidak tercampur kaporit. ",48.0,60.0,50.0,52.666666666666664
"pastikan tempat yang akan digunakan aman dan nyaman, terdapat beberapa fasilitas untuk berenang dengan menyenangkan, air yang digunakan bersih, ukuran kedalaman kolam renang yang sesuai ",65.0,65.0,75.0,68.33333333333333
1. bebas dari sampah 2. kadar kaporit yang digunakan 3. mempunyai alat filter 4. mengecek kebersihan kamar mandi 5. hindari kolam yang ramai pengunjung ,38.0,60.0,50.0,49.333333333333336
"-pastikan bahwa kolam renang umum tersebut mempunyai jaminan kualitas.maksudnya, kolam renan umum tersebut memiliki jadwal perawatan yang baik serta kualitas fasilitas yang begitu diperhatikan baik didalam maupun di luar kolam renang. -pastikan bahwa kolam ranang umum tersebut memiliki beberapa pilihan kolam renang sehingga para pengunjung dapat memilih yang paling tepat untuk anak-anak, dewasa dan juga remaja. -tambahan fasilitas seperti seluncur, ban,pelampung dan berbagai faslitas menyenangkan lainnya dapay menjadi pertimbangan untuk memilih kolam renang umum tersebut sebagai tujuan wisata libuan agar keluarga anda dapat merasakan hiburan disana. -restauran dan cafetaria juga bisa menjadi salah satu faktor penentu apakah sebuah objek wisata akan dipilih dan dikunjungi banyak orang atau tidak.",38.0,50.0,50.0,46.0
1. kadar kaporit rendah 2. mempunyai alat filter 3. mengecek kebersihan kamar mandi 4. bebas sampah ,10.0,60.0,50.0,40.0
"airnya bersih, kolamnya dikuras secara periodik, tempatnya bagus dan luas, terdapat alat pengaman seperti ban dan lain lain ",38.0,60.0,50.0,49.333333333333336
"kebersihan air,luas kolam,kedalaman ",28.0,50.0,50.0,42.666666666666664
"tempat, kondisi, lingkungan, air yang bersih, kedalaman yang sesuai dll. ",34.0,60.0,50.0,48.0
1. melihat kedalaman kolam renang. 2. air jernih atau tidak/ bersih atau tidak 3. keramaian ,40.0,70.0,50.0,53.333333333333336
"kedalaman kolam renang , air yang digunakan , kebersihan kolam renang , kualitas air , vasilitas kolam renang , harga tiket masuk ",58.0,58.0,50.0,55.333333333333336
-bersih -memiliki kejernihan air -fasilitas memadai -harga tiket masuk relatif murah,33.0,58.0,50.0,47.0
-kebersihan kolam -fasilitas penunjang -tiket masuk,18.0,58.0,50.0,42.0
"bersih, fasilitas bagus, harga tiketmurah ",10.0,53.0,50.0,37.666666666666664
1. kebersihan airnya 2. kedalaman kolam renang 3. dasar kolan renang yang tidak berlumut ,30.0,70.0,50.0,50.0
air bersih tidak berkaporitan tidak bau ,20.0,60.0,50.0,43.333333333333336
airnya jernih. kolam tidak kotor atau dalam keadaan baik. luas. ,28.0,58.0,50.0,45.333333333333336
-kebersihan -nyaman -sesuakain kedalaman kolam renang dengan keahlian renang,38.0,60.0,50.0,49.333333333333336
-bersih -tidak banyak mengandung kaporit -sesuai dengan tinggi badan atau tidak terlalu dalam -memiliki sirkulasi air yang baik,26.0,80.0,50.0,52.0
"hal yang harus diperhatikan yakni, - memperhatikan dan memilih kodisi sekitar kolam kebersihannya - memperhatikan air dari kolam renang apakah mengandung kaporit atau tidak, jangan memilih yang mengandung kaporit - memperhatikan dan memilih warna dari air kolam renang apakah jenih atau keruh ",38.0,70.0,50.0,52.666666666666664
"air kolamnya bersih, ",22.0,30.0,25.0,25.666666666666668
"air bersih, sarana memadai, kedalaman sesuai. ",33.0,60.0,50.0,47.666666666666664
"kualitas air, media kolam renang, suhu air. ",20.0,40.0,50.0,36.666666666666664
"suhu air, kualitas air dan kelembapan. ",20.0,40.0,50.0,36.666666666666664
kebersihan kenyamanan lingkungan dan suasana ,18.0,40.0,50.0,36.0
- kejernihan kolamnya - tempat bilas dan ganti yang memadai - fasilitas yang baik dan memadai,10.0,55.0,50.0,38.333333333333336
- kejernihan airnya - suhu air - warna air - bau air,22.0,40.0,50.0,37.333333333333336
-warna kolam yang jerih -kolam mernang tertutup - terlihat dasar kolam,28.0,40.0,50.0,39.333333333333336
- kebersihan kolam renang - fitur kolam renang - keamanan kolam renang - ukuran kolam renang - letak kolam renang - jenis kolam renang,70.0,58.0,50.0,59.333333333333336
- kadar kaporit - kedalaman,18.0,60.0,50.0,42.666666666666664
-air tidak keruh -tidak berlumut -sesuaikan kemampuan renang denfgan kedalaman,28.0,70.0,50.0,49.333333333333336
