Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
1 makan permen 2 makan coklat 3 mendengarkan mp3 4 menggambar 5 main game 6 memikirkan sesuatu yang indah 7 bercanda dengan teman 8 tidur ,12.0,25.0,25.0,20.666666666666668
1. cuci muka 2. bermain social media 3. mendengarkan musik 4. bermain game 5. makan 6. minum 7. strecthing ringan 8. menghirup udara segar ,28.0,30.0,25.0,27.666666666666668
1. stretching setiap 1 jam. 2. arahkan pandangan ke tujuan yang jauh. 3. bermain game. 4. jalan-jalan sekitar lokasi. 5. istirahat secukupnya. 6. mendengarkan musik. 7. menonton film. 8. pergi ke taman. ,22.0,25.0,25.0,24.0
1. memikirkan pelajaran secara bijaksana 2. olahraga jalan-jalan kecil 3. membawa obat stress 4. mengajak bicara teman 5. bercanda 6. ngemil 7. ke kamar mandi cuci muka 8. memejamkan mata ,18.0,25.0,25.0,22.666666666666668
makan makanan yang bergizi. meminum banyak air putih. istirahat yang cukup ketika waktu senggang. bermain game online. bermain gadget. aktif di sosial media. keluar gedung untuk menyegarkan otak. menonton televisi. ,20.0,30.0,25.0,25.0
"refreshing sejenak,minum air putih agar segar,lakukan olahraga kecil-kecilan agar badan tidak cepat lelah,isi nutrisi dengan makan yang ringan,minum kopi,sholat agar dapat pencerahan,lakukan strechcing dikelas,main game ",16.0,26.0,25.0,22.333333333333332
"refreshing sejenak,minum air putih agar segar,lakukan olahraga kecil-kecilan agar badan tidak cepat lelah,isi nutrisi dengan makan yang ringan,minum kopi,sholat agar dapat pencerahan,lakukan strechcing dikelas,main game ",16.0,26.0,25.0,22.333333333333332
"mengambil jeda untuk istirahat, tidak memaksakan tenaga dan pikiran, selalu berfikir positif, mengerjakan tanpa mengeluh, sedikit olah raga ringan, membuat tempat kerja nyaman dan tidak berantakan, aliran udara baik di lingkungan tempat kerja, memberi tanaman kecil di meja kerja ",19.0,35.0,25.0,26.333333333333332
"makan, tidur sejenak, main game, minum hot chocolate, berjalan keliling kampus, cowok ganteng, nonton film, instagram. ",12.0,15.0,10.0,12.333333333333334
nonton main hp cerita dengan teman ,5.0,5.0,10.0,6.666666666666667
"tidur, ke mall, makan, nonton film, mendengarkan musik, jalan jalan ",18.0,20.0,25.0,21.0
"tidur, makan, makan lagi, minum, istirahat, shalat, cuci muka, bermain game ",15.0,15.0,10.0,13.333333333333334
1) bermain game 2) liburan ke pantai 3) pergi ke mall 4) menonton film di bioskop atau di rumah 5) liburan ke luar daerah 6) liburan edukatif 7) olah raga renang 8) tidur yang cukup ,20.0,25.0,25.0,23.333333333333332
melihat novie ,5.0,5.0,10.0,6.666666666666667
"main game, makan kue ciki-ciki, bersandiwara, barmain sama adik kecil, menelepon yang dicintai, dibawah sholat atau berdzikir mendekatkan diri pada allah.swt, menggagu teman atau usil, dibawa berwudhu atau cuci muka. ",22.0,40.0,50.0,37.333333333333336
melihat film hiburan refreshing main game ,9.0,10.0,10.0,9.666666666666666
"mendengarkan musik, jalan jalan, main game, nonton film, makan, minum, ke toilet, tidur ",28.0,33.0,25.0,28.666666666666668
"bermain game, menonton film , makan makanan ringan , tidur , minum kopi , lihat tv, mendengarkan musik, membuka internet ",17.0,18.0,25.0,20.0
"membaca buku,olahraga,menonton anime,makan,jalan-jalan,bersepeda,tidur,bermain game ",12.0,24.0,25.0,20.333333333333332
liat film ,5.0,5.0,10.0,6.666666666666667
pergi ke kantin tidur mendengarkan musik ngerokok pergi ke ruangan ber ac ,8.0,10.0,10.0,9.333333333333334
refreshing makan minum istirahat play game playing game main game bermain game ,11.0,10.0,10.0,10.333333333333334
1. jajan dikantin 2. istirahat ,8.0,5.0,10.0,7.666666666666667
"pergi ke kantin , tidur di bawah ac ",6.0,5.0,10.0,7.0
"berolahraga , kuliner , curhat , melakukan hal bermanfaat , manjakan diri kamu setelah deadline , ubah lingkungan sekitar , istirahat saat mulai jenuh , gabungkan tugas dengan sesuatu yang kamu sukai ",12.0,15.0,10.0,12.333333333333334
- mandi sebelum brangkat kuliah atau kekantor - jangan berinteraksi dengan komputer secara terus menerus - regangkan otot-otot ketika sudah mulai lelah - minum air putih,19.0,25.0,25.0,23.0
-makan permen -minum minuman yang segar -memijat kepala sejenak -melakukan olah raga ringan -tidur sebentar jika diperlukan -memejamkan mata sejenak -mendengarkan musik kesukaan -keluar ruangan sejenak untuk menghirup udara segar,35.0,45.0,50.0,43.333333333333336
"caranya yakni dengan melakukan istirahat sejenak dengan merilekskan badan, bisa sambil mendengarkan musik yang disuka, melakukan hal hal yang disuka, minum air putih lalu kembali fokus, jangan lupa dengan berdoa dan senyum semangat. ",20.0,35.0,25.0,26.666666666666668
"bermain game pada sela-sela waktu, tidur, makan dan minum, olahraga, membaca komik ",25.0,25.0,25.0,25.0
"tidur, bermain game, berwudhu, sholat, stretching, olahraga ringan, minum segelas aqua, makan makanan ringan, membaca alquran, melamun. ",40.0,34.0,50.0,41.333333333333336
"tidur, makan, main game, melihat ke luar ruangan, jalan jalan, izin ke kamar mandi, melihat cewek cantik, memandangi kekasih. ",25.0,15.0,25.0,21.666666666666668
"-istirahat, -tidur, -makan makanan bergizi, -mendengarkan musik, -berkumpul keluarga atau teman, -menonton slank #pisss -mandi di tepi lautan, -naik gunung. ",15.0,10.0,10.0,11.666666666666666
- mendengarkan musik - internet - membaca buku,9.0,15.0,10.0,11.333333333333334
- mendengarkan musik yang disukai. - bermain game sejenak. - jalan - jalan disekitar tampat kerja. - makan dikantin. - mengopi. - tidur jika memungkinkan meski hanya sebentar. - browsing. - chatting.,12.0,15.0,10.0,12.333333333333334
- tarik nafas dalam-dalam - tenang - fokus - konsentrasi - minum air putih - membaca shalawat dalam hati - datang tepat waktu - santai,8.0,10.0,10.0,9.333333333333334
"bercanda, menonton film ",3.0,5.0,10.0,6.0
- nyalakan lilin - duduk di alam terbuka - mendengarkan kata kata yang menginspirasi - membaca - menulis - setiap 15 menit sekali menatap ke luar - mendrngarkan lagu - mengobrol bersama teman ,16.0,10.0,10.0,12.0
"- mendengarkan musik yang menenangkan - tertawa karena meningkatkan suasana hati (mood) dan rasa kesejahteraan - mengobrol atau berbicara dengan teman-teman mengenai suatu hal selain situasi yang dialami saat itu - mencium sesuatu yang menyenangkan seperti aroma terapi - tidur siang sejenak - melamun, untuk jangka waktu singkat - mengalihkan pandangan sejenak - makan makanan ringan",60.0,55.0,50.0,55.0
-berdoa sebelum mengawali pekerjaan -makan secara teratur -minum secara teratur -istirahatkan badan jika terasa capek -istirahatkan mata jika terasa pedih -jangan tidur terlalu malam -jadikan belajar sebagai kegiatan yang menyenangkan -sering lihat pemandangan di luar ruangan,20.0,25.0,25.0,23.333333333333332
