Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
makanan 4 sehat 5 sempurna merupakan kebutuhan nutrisi untuk tubuh supaya tubuh sehat seimbang ,15.0,10.0,10.0,11.666666666666666
makanan dengan gizi yang seimbang dan cukup untuk tubuh ,17.0,15.0,25.0,19.0
makanan yang mengandung unsur-unsur yang dibutuhkan oleh tubuh. ,12.0,8.0,10.0,10.0
makanan yang begisi dan memiliki banyak protein untuk kekebalan sistem inmun tubuh ,15.0,8.0,10.0,11.0
nasi. sayur. buah. susu. daging. telur. ,34.0,25.0,25.0,28.0
"karbohidrat,lemak,protein,telur,susu ",30.0,25.0,25.0,26.666666666666668
"karbohidrat,lemak,protein,telur,susu ",30.0,25.0,25.0,26.666666666666668
"makan makanan secara rutin dengan menggunakan nasi, lauk, sayur, buah dan susu yang bermanfaat untuk tubuh dan baik untuk proses pertumbuhan ",40.0,35.0,50.0,41.666666666666664
"makanan yang mencangkup karhohidrat, air, mineral, protein dan kalsium ",28.0,15.0,25.0,22.666666666666668
"makanan yang mengandung karbohidrat, protein, mineral, vitamin, dan lemak tak jenuh ",32.0,20.0,25.0,25.666666666666668
"nasi, susu, buah, sayur ,lauk pauk ",34.0,25.0,25.0,28.0
"4 makanan sehat mengandung karbohidrat, protein, vitamin, dan mineral. 5 sempurna adalah susu atau mengandung kalsium ",45.0,35.0,50.0,43.333333333333336
"makanan yang mengandung 4 makanan sehat yaitu nasi, sayur mayur, lauk pauk, dan buah ,serta 5 sempurna yaitu susu sebagai sumber kalsium bagi tubuh ",55.0,44.0,50.0,49.666666666666664
jjjjjj ,0.0,0.0,0.0,1.0
makan dan minum secukupnya ,5.0,5.0,10.0,6.666666666666667
makanan yang mengandung karbohidrat protein serat susu ,25.0,15.0,25.0,21.666666666666668
"makanan yang gizi dan asupanya diperlukan oleh tubuh yang mengandung serat,karbohidrat, protein, mineral, vitamin dan susu ",38.0,35.0,25.0,32.666666666666664
makanan yang mengandung karbohidrat protein vitamin serat dan mineral ,34.0,25.0,25.0,28.0
"makanan yang terdiri atau mengandung nutrisi seperti karbohidrat,protein,vitamin. makanan itu terdiri dari nasi,ikan atau lauk pauk,sayur,susu serta buah-buahan ",65.0,55.0,50.0,56.666666666666664
makanan yang harus ada setiap hari ,10.0,5.0,10.0,8.333333333333334
"makanan yang sudah mengandung protein , karbohidrat, nutrisi , yang dibutuhkan oleh tubuh ",35.0,25.0,25.0,28.333333333333332
makanan yang dimasak oleh mama ,8.0,5.0,10.0,7.666666666666667
"makanan yang mengandung karbohidrat, protein, vitamin, kalsium, gizi ",32.0,25.0,25.0,27.333333333333332
"makanan yang mengandung nutrisi , protein dan lainya yang seimbang serta adanya susu ",27.0,20.0,25.0,24.0
"makanan 4 sehat 5 sempurna adalah makanan yang mengandung karbohidrat, protein, dan vitamin yang diciptakan pada tahun1950-an oleh prof.poerwo soedarmo yang sering disebut juga sebagai bapak gizi indonesia. slogan ""empat sehat lima sempurna ""berisikan lima kelompok makanan, yaitu: 1. makanan pokok makanan utama berfungsi sebagai sumber tenaga bagi tubuh untuk dapat mampu malakukan aktifitas sehari-hari. contohnya seperti nasi, jagung, oat, kentang, gandum / tepung terigu, serta umbi-umbian lainnya. 2. lauk-pauk lauk pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pembangun pada tubuh. misalnya yaitu tempe, tahu, telur, daging, ikan, dan lain-lain. 3. sayur-mayur sayur-sayuran pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pengatur pada tubuh. contoh : kangkung, bayam, terong, tomat, cabe, kacang panjang, kol gepeng, labu siam, dan lain sebagainya. 4. buah mirip dengan sayur mayur, buah-buahan pada makanan memiliki fungsi untuk memenuhi kebutuhan zat pengatur pada tubuh. contohnya yakni apel, manggis, markisa, kesemek, salak pondoh, duren, dan lain sebagainya. 5. susu susu sebagai pelengkap di mana tidak ada kewajiban atau keharusan kita untuk mengkonsumsi atau meminumnya. namun tidak ada salahnya jika kita minum susu setelah makan, karena mengandung berbagai macam kandungan zat yang berguna dan baik bagi tubuh kita. ",40.0,35.0,50.0,41.666666666666664
4 sehat 5 sempurna adalah - makanan pokok - lauk pauk - buah-buahan - sayuran - susu ,44.0,30.0,50.0,41.333333333333336
"4 sehat adalah makanan yang mengandung nasi, sayur, buah, lauk, di lengkapi dengan susu menjadi 5 sempurna ",40.0,35.0,50.0,41.666666666666664
"makanan empat sehat lima sempurna yakni makanan yang mengandung karbohidrat contohnya nasi atau gandum, protein contohnya ikan atau daging, vitamin contohnya buah - buahan, dan zat besi contohnya sayur - sayuran di tambah dengan susu ",36.0,30.0,25.0,30.333333333333332
"nasi, lauk, sayur, buah dan sayur ",30.0,40.0,25.0,31.666666666666668
"makanan dengan komposisi nasi, lauk, sayur mayur, buah dan susu. ",40.0,45.0,50.0,45.0
"ada sayur, daging, buah, nasi, susu. yang dapat membuat badan kita terasa sehat. ",36.0,40.0,50.0,42.0
"nasi, sayur, buah, daging, susu. ",30.0,30.0,25.0,28.333333333333332
memenuhi kebutuhan kecukupan gizi pada tubuh ,10.0,10.0,10.0,10.0
"makanan sehat yang mengandung 4 sumber nutrisi yaitu makanan pokok, lauk pauk, sayur - sayuran, buah - buahan dan disempurnakan oleh susu. makanan 4 sehat 5 sempurna adalah makanan yang mengandung karbohidrat, protein, mineral, vitamin, dan lemak tak jenuh. ",77.0,80.0,75.0,77.33333333333333
"makanan 4 sehat 5 sempurna adalah makanan yang kandungan gizinya dibutuhkan oleh tubuh, seperti vitamin, mineral, karbohidrat dan lain-lain. ",50.0,65.0,50.0,55.0
"makanan yang mengandung nasi,sayur, buah, lauk-pauk, dan susu ",30.0,35.0,25.0,30.0
