Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
candi borobudur terletak di jawa tengah ,15.0,15.0,10.0,13.333333333333334
candi borubudur masuk ke dalam 7 keajaiban dunia ,12.0,5.0,10.0,9.0
"candi borobudur merupakan candi terbesar di indonesia. terletak di magelang, jawa tengah. ",25.0,19.0,25.0,23.0
"candi borobudur adalah candi termegah dan terbesar di indonesia yang memiliki 1000 buah candi. merupakan salah satu keajaiban dunia sebagai candi terbesar didunia. terletak di jogjakarta, indonesia. ",10.0,15.0,10.0,11.666666666666666
"candi borobudur adalah candi termegah dan terbesar di indonesia yang memiliki 1000 buah candi. merupakan salah satu keajaiban dunia sebagai candi terbesar didunia. terletak di jogjakarta, indonesia. ",19.0,15.0,25.0,19.666666666666668
"candi borobudur merupakan keajaiban di indonesia, dibangun oleh lelembut ",15.0,5.0,10.0,10.0
"candi borobudur merupakan keajaiban di indonesia, dibangun oleh lelembut ",15.0,5.0,10.0,10.0
candi yang dibuat di yogyakarta oleh masyarakat hindhu untuk memuja buddha ,20.0,18.0,25.0,21.0
cagar budaya yang dibangun oleh umat hindhu di indonesia ,15.0,25.0,25.0,21.666666666666668
"borobudur adalah sebuah candi buddha yang terletak di borobudur, magelang, jawa tengah, indonesia. lokasi candi adalah kurang lebih 100 km di sebelah barat daya semarang, 86 km di sebelah barat surakarta, dan 40 km di sebelah barat laut yogyakarta. candi berbentuk stupa ini didirikan oleh para penganut agama buddha mahayana sekitar tahun 800-an masehi pada masa pemerintahan wangsa syailendra. borobudur adalah candi atau kuil buddha terbesar di dunia,[1][2] sekaligus salah satu monumen buddha terbesar di dunia. ",92.0,85.0,90.0,89.0
berada di kota jogja ,8.0,10.0,10.0,9.333333333333334
"dibuat saat masa syailendra, salah satu keajaiban dunia ",12.0,15.0,10.0,12.333333333333334
sejarah candi borobudur adalah sebuah candi yang berada di daerah istimewa yogyakarta jawa tengah ,18.0,14.0,25.0,19.0
tidak tahu ,0.0,0.0,0.0,1.0
menjaga hewan dan cagar alam agar tidak punah ,3.0,0.0,0.0,1.0
tujuh keajaiban dunian yang berada di indonesia ,8.0,5.0,10.0,7.666666666666667
salah satu candi terbesar di indonesia yang menjadi salah satu keajaiban dunia ,12.0,7.0,10.0,9.666666666666666
candi borobudor adalah salah satu peninggalan sejarah dari agama budha bertempat di yogyakarta candi borobudur sering dikunjungi oleh wisatawan ,23.0,15.0,25.0,21.0
