Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
karena fikiran bisa mempengaruhi kondisi tubuh kita ,28.0,25.0,25.0,26.0
"berpikir positif sangat penting untuk kesehatan, karna jiwa yang positif melahirkan raga yang sehat ",30.0,35.0,25.0,30.0
menyebabkan kondisi yang positif pada jiwa seseorang. ,22.0,20.0,25.0,22.333333333333332
berfikir secara bijaksana dan menghindari hidup yang merugukan diri sendiri ,19.0,15.0,25.0,19.666666666666668
dengan berfikir positif maka manusia akan berfikir yang baik untuk kesehatannya. sehingga mendorong individu untuk selalu melakukan pola hidup sehat setiap harinya. ,35.0,30.0,25.0,30.0
"makan-makanan yang bergizi,olahraga ",5.0,5.0,10.0,6.666666666666667
"makan-makanan yang bergizi,olahraga ",5.0,5.0,10.0,6.666666666666667
denga berfikir positif maka tubuh akan berusaha menjalani pola hidup sehat dan tidak memberatkan kondisi tubuh ,46.0,30.0,50.0,42.0
berfikir positif membuat jiwa kita merasa bahagia ,22.0,25.0,25.0,24.0
"jika boleh saya menilai, maka pola sikap dan pemikiran “short-cut” (asal bunyi tanpa observasi, data dan pengujian) seperti itu tidak jauh berbeda dengan pola pemikiran kita 5 abad yang lalu, hanya saja saat ini masyarakat telah memiliki knowledge yang lebih mengenai patologi. namun, pemikiran yang sengaja kita batasi untuk mengeksplor lebih mendalam fenomena-fenomena alam sebagai source of knowledge tampaknya menjadi penghalang terbesar kemajuan pendidikan teknologi bangsa kita. ini berimplikasi tumbuhnya kultur bangsa yang hanya lebih cenderung menjadi bangsa pengguna (customer-consumer) produk luar, bukan producer atau inventor. dna dan kehidupan ",40.0,30.0,50.0,40.0
selalu berpikir yang benar ,12.0,5.0,10.0,9.0
"jika kita berfikir positif maka kita akan tenang dan syaraf akan tidak tegang, selain itu kita tidak stress sehingga kita sehat ",35.0,30.0,25.0,30.0
berfikir positif selalu membawa dampak positif bagi diri sendiri dan orang lain ,28.0,25.0,25.0,26.0
jika kita berpikir baik maka kita akan sehat ,15.0,15.0,10.0,13.333333333333334
- ,0.0,0.0,0.0,1.0
tidak berfikir dengan negatif ,12.0,10.0,10.0,10.666666666666666
"sangat berhubungan, karena hidup sehat dimulai dari fikiran yang sehat pula ",18.0,20.0,25.0,21.0
dengan kita terus berpikir positif kita bisa belajar hidup sehat ,22.0,30.0,25.0,25.666666666666668
salah satu cara untuk menjadi hidup sehat adalah dengan selalu menjaga pola pikir agar selalu positif karena jika fikiran resah atau gelisah juga membuat beban fikiran bertambah berat ,34.0,25.0,25.0,28.0
harus berfikir positif ,15.0,20.0,25.0,20.0
mempengaruhi cara pandang yang menganggap pola hidup positif terlalu membosankan ,20.0,15.0,25.0,20.0
"olahraga, fitnes, makan makanan yang begizi ",10.0,10.0,10.0,10.0
1. selalu olahraga teratur 2. makan makanan yang sehat ,10.0,10.0,10.0,10.0
pokok ngopi sek ,0.0,0.0,0.0,1.0
