Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
pertandingan gol babak babak perpanjangan,100.0,100.0,100.0,100.0
1 pertandingan babak 2 pertandingan babak 3 gol,75.0,80.0,75.0,76.66666666666667
gol pembukaan babak pembukaan babak,60.0,75.0,75.0,70.0
1 kali dimulainnya permainan babak 2 kali dimulainnya permainan babak 3 setlah tercetaknya goal,55.0,50.0,50.0,51.666666666666664
offside,0.0,0.0,0.0,1.0
membuka babak 1 2 babak extra time kick off gol kebobolan kick off,30.0,25.0,25.0,26.666666666666668
pemain wasit panitia pelaksana mengizinkan,0.0,0.0,0.0,1.0
pertandingan gol babak babak perpanjangan,100.0,100.0,100.0,100.0
pertandingan gol babak babak perpanjangan,100.0,100.0,100.0,100.0
kick off kondisi pertandingan gol babak babak perpanjangan,90.0,95.0,90.0,91.66666666666667
tim bertanding lengkap wasit memimpin pertandingan lapangan bertanding,10.0,10.0,10.0,10.0
pertandingan dimulaipertandingan memasuki babak keduapertandingan memasuki babak tambahan,75.0,60.0,75.0,70.0
pelanggaran,0.0,0.0,0.0,1.0
pelanggaran pemain off site pemain umpan musuh menyerang kakinya bolanya,10.0,25.0,25.0,20.0
17 kondisi kick off sepak bola,0.0,0.0,0.0,1.0
keamanan wasit mengatur permainan kondisi lapangan bagus,0.0,0.0,0.0,1.0
pemain wasit keamanan panitia pelaksana memperbolehkan,0.0,0.0,0.0,1.0
babak pertandingan sepakbola babak pertandingan sepakbola salah lawan mencetak gol gawang musuhnya,60.0,75.0,75.0,70.0
kiper wasit 2 hakim garis,0.0,0.0,0.0,1.0
1 penjaga gawang 2 time keeper lapangan 3 hakim garis tugasnya,0.0,0.0,0.0,1.0
gak tau,0.0,0.0,0.0,1.0
pertandingan gol babak babak perpanjangan,100.0,100.0,100.0,100.0
pertandingan gol babak babak perpanjangan,100.0,100.0,100.0,100.0
kick off tendangan bola musuh merebut bola kick off membuka babak 1 baak kick off extra time,10.0,15.0,10.0,11.666666666666666
pertandinga gol babak babak perpanjangan,90.0,95.0,90.0,91.66666666666667
tendangan utama tendangan pembuka pertandingan tendangan umpan,20.0,25.0,25.0,23.333333333333332
pemain posisi lapangan,0.0,0.0,0.0,1.0
babak babak dilakukannya penalti,40.0,35.0,50.0,41.666666666666664
corner free kick pinalty,0.0,0.0,0.0,1.0
biasnya wasit pengecekan jaring gawang kelengkapan pemain status pemain tim mengecek kondisi lapangan layak kickoff,0.0,0.0,0.0,1.0
pertandingan pertandingan,30.0,25.0,25.0,26.666666666666668
perangkat pertandingan dinyatakan 2 tim bertanding 2 x 45 menit cuaca mendukung jalannya pertandingan,10.0,15.0,10.0,11.666666666666666
kubu pelatih officialnya lapangan,0.0,30.0,0.0,10.0
babak babak water break goal,70.0,75.0,75.0,73.33333333333333
kick off tendangan babak pertamakedua pertandingan,40.0,30.0,50.0,40.0
kick off teknik permainan pertandingan gol babak babak extra time,70.0,80.0,75.0,75.0
menunggu peluit tendangan mengumpan bola peluit,20.0,20.0,25.0,21.666666666666668
kick off kondisi pertandingan gol babak babak perpanjangan,90.0,90.0,90.0,90.0
lapangan sepak bolaperaturan penggunaan bolaperaturan pemain sepak bola,0.0,0.0,0.0,1.0
permainan babak bola masuk gawang babak,50.0,55.0,50.0,51.666666666666664
lapanga memadai lampu kursi penonton,0.0,0.0,0.0,1.0
lapangan memadai lampu kursi penonton,0.0,0.0,0.0,1.0
pemain team pertandingan kendala stadion wasit meniup pluit tanda kick off,10.0,10.0,10.0,10.0
kali babak 2,20.0,25.0,25.0,23.333333333333332
pemain kondisi stadion aman wasit hakim garis,0.0,0.0,0.0,1.0
tim lapangan suporter masuk kedalam lapangan sistem keamanan memadai,0.0,0.0,0.0,1.0
syarat syarat terpenuhi pemain,0.0,0.0,0.0,1.0
bola tendang spot musuh fair play wasit,8.0,5.0,10.0,7.666666666666667
hands ball fre kick terkena kartu,0.0,0.0,0.0,1.0
pemain masuk lapangan wasit perwakilan pengawas pertandingan asosiasi sepakbola negara nya,0.0,0.0,0.0,1.0
pemain lengkap wasit perlengkapan,0.0,0.0,0.0,1.0
peraturan pemain sepak bola lengkap peraturan memakai aksesoris jersey sepatu dll wasit asisten wasit pengamat pertandingan pemain,10.0,0.0,0.0,3.3333333333333335
lapangan sepak bola peraturan penggunaan pemain,5.0,0.0,0.0,1.6666666666666667
1 pelanggaran 2 offside 3 memperoleh kartu,0.0,0.0,0.0,1.0
offside faul corner kick,0.0,0.0,0.0,1.0
