Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
rio heryanto pebalap berkebangsaan indonesia membalap ajang formula tim manor racing lahir solo jawa 22 januari 1993,60.0,70.0,75.0,68.33333333333333
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula salah pebalap muda berpotensi wakil asia ajang formula,65.0,75.0,75.0,71.66666666666667
lahir solo pembalap f1 ayah rio memiliki pabrik buku produk kiky,40.0,50.0,50.0,46.666666666666664
lahir kota surakarta 22 januari 1993 karir membalap formula renalut asia 2009 gp3 europe series 2010 gp3 europe series 2011 gp2 2012 formula1 2016,20.0,30.0,25.0,25.0
pembalap f1,10.0,10.0,10.0,10.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satuia salah pebalap muda berpotensi wakil asia ajang formula,65.0,70.0,75.0,70.0
rio haryanto pembalab formula 1 f1 tim manor racing rio pembalab indonesia lolos ajang f1,50.0,50.0,50.0,50.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula salah pebalap muda berpotensi wakil asia ajang formula keputusan tanggal 18 februari 2016 tim manor racing resmi mengumumkan rio haryanto pebalap mengikuti kejuaraan f1 musim 2016 menemani pebalap jerman pascal wehrlein4 musim penuh merebak rumor bagibagi kursi pebalap bersaing masuk tim manor rio membalap kali seri 2012 carlin gp2 team rio berkesempatan menjajal mobil f1 milik marussia f1 team 79 lap uji coba pebalap muda f1 sirkuit silverstone inggris hasil membawa rio orang indonesia memenuhi syarat fia superlisence syarat wajib dimiliki calon pebalap f1,70.0,80.0,75.0,75.0
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satuia salah pebalap muda berpotensi wakil asia ajang formula,65.0,75.0,75.0,71.66666666666667
rio haryanto pembalap muda indonesia bercitacita menjuarai ajang balap f1 2011 berkompetisi level gp2 rencananya rio menjajal kasta tertinggi kelas f1 kabarnya rio menggelontorkan uang 3 juta euro manor racing berlaga kelas formula 1 rio haryanto tampil kelas f1 kebanggan masyarakat indonesia kali pembalap indonesia berlaga kelas bergengsi biodat profilnya selengkapnya,50.0,50.0,50.0,50.0
rio haryanto pembalap f1 berasal dai indonesia rio lahir surakarta indonesia rio merintis karir ftms global academy singapore rio tim manor racing,50.0,45.0,50.0,48.333333333333336
rio pembalap berasal kota solo berkarir bergabung tim f1,40.0,40.0,50.0,43.333333333333336
lahir jakarta,5.0,5.0,10.0,6.666666666666667
anak bungsu keempat saudaranya pembalap ayahnya lahir solo 22 januari,10.0,5.0,10.0,8.333333333333334
rio haryanto pembalap f1 nasional berasal indonesia,30.0,25.0,25.0,26.666666666666668
pembalap f1 berasa solo jawa indonesia manor racing team,30.0,25.0,25.0,26.666666666666668
pembalap f1 berasa solo jawa indonesia manor racing team,30.0,25.0,25.0,26.666666666666668
rio haryanto seoram atlet pembalap formula 1 f1 kelahiran solo jawa indonesia,35.0,35.0,25.0,31.666666666666668
rio haryanto lahir solo 22 januari 1993 tim manor racing karir berkompetisi gp2 2012 carlin gp2 team,40.0,40.0,50.0,43.333333333333336
rio haryanto pebalap berkebangsaan indonesia membalap ajang formula tim manor racing 22 januari 1993 gp2 series f1,50.0,48.0,50.0,49.333333333333336
lahir 22 januari 1993 kota solo rio pembalap f1,30.0,25.0,25.0,26.666666666666668
rio heryanto pemuda solo berhasil menembus kelas utama f1 tim pertamina,30.0,30.0,25.0,28.333333333333332
pembalap f1 indosiar,15.0,10.0,10.0,11.666666666666666
rio haryanto lahir solo jawa 22 januari 1993 umur 23 pebalap berkebangsaan indonesia membalap ajang formula tim manor racing pebalap indonesia membalap level seri gp2 rio memiliki basis pendukung rio pembalap indonesia sejarah menjajal mobil formula satu2 salah pebalap muda berpotensi wakil asia ajang formula,65.0,70.0,75.0,70.0
