Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
ganda putra ganda putri ganda campuran single putra single putri,90.0,90.0,90.0,90.0
ganda putraputri ganda campuransingle putraputri,70.0,90.0,90.0,83.33333333333333
1 tunggal putra 2 tunggal putri 3 ganda putra 4 ganda putri 5 ganda campuran,90.0,100.0,90.0,93.33333333333333
gerindra hanura,0.0,0.0,0.0,1.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
ganda campuran tunggal putra tunggal putri ganda putri ganda putra,100.0,100.0,100.0,100.0
1 tunggal putra partai tunggal putra mainakan tim putra masingmasing memiliki daerah pertahanan pria bertanding melawan pria pemain tunggal putra berprestasi rudy hartono liem swie king alan budikusuma haryanto arbi taufik hidayat 2 tunggal putri nomor pertandingkan orang wanita berhadapan salah pemain tunggal putrid melegenda berjaya indonesia susi susanti 3 ganda putra ganda putra nomor partai berpasangan dimainkan orang pria berhadapan pria tim nomor ganda orang bermain lapangan partai ganda putra salah partai andalan indonesia partai tunggal partai ganda dijadikan tumpuan harapan turnamen bulutangkis pemain ganda putra indonesai berprestasi rexy mainaky ricky subagja partai ganda putra indonesia bertahan juara dunia pasangan dalah hendra setiawan muhammad ahsan 4 ganda putri partai ganda putri mainkan berpasangan orang wanita melawan wanita tim indonesia menonjol nomor indonesia memiliki pemain ganda purti takuti lawan lilyana natsir vita marissa paratai ganda putri terbaik dimiliki indonesia pasangan greysia poli nitya krishinda 5 ganda campuran partai dimainkan berpasangan wanita pria melawan pasangan pria wanita alam tim pasangan ganda campuran terbaik dimiliki indonesia pasangan christian hadinata ivana lie pemain ganda campuran terbaik tantowi ahmad lilyana natsir peringkat 4 dunia,60.0,70.0,75.0,68.33333333333333
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
1 tunggal putra 2 tunggal putri 3 ganda putra 4 ganda putri 5 ganda campuran,90.0,100.0,100.0,96.66666666666667
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
indonesia china thailand philipina amerika,0.0,0.0,0.0,1.0
1 partai tunggal putra 2 partai tunggal putri 3 partai ganda putra 4 partai ganda putri 5 partai ganda campuran,80.0,100.0,100.0,93.33333333333333
ganda putri ganda putra campuran tunggal putri tunggal putra,95.0,100.0,100.0,98.33333333333333
tunggal putra tunggal putri ganda putra ganda putri campuran,95.0,100.0,100.0,98.33333333333333
tunggal putera tunggal putri ganda putra ganda putri ganda campuran,95.0,100.0,100.0,98.33333333333333
tunggal putra tunggal putri ganda putra ganda putri campuran,95.0,100.0,100.0,98.33333333333333
1 tunggal putra 2 tunggal putri 3 ganda putra 4 ganda putri 5 ganda campuran,90.0,100.0,100.0,96.66666666666667
gerindra demokrat,0.0,0.0,0.0,1.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
ganda putri ganda putra ganda campuran tunggal putri tunggal putra,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
golkar pdip demokrat hanura independen,0.0,0.0,0.0,1.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
indonesia open series singapura open series thomas cup uber cup pb jarum,0.0,0.0,0.0,1.0
ganda putra ganda putri ganda campuran tunggal putra tungal putri,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
tunggal putra tunggal putri ganda putra ganda putri ganda campuran,100.0,100.0,100.0,100.0
partai dimainkan bulu tangkis tunggal putra tunggal putri ganda putra ganda putri ganda campuran,85.0,100.0,100.0,95.0
