Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,"Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",30.0,35.0,25.0,30.0
siswa_2 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,85.0,75.0,63.333333333333336
siswa_3 ,untuk menstranfer suatu file ,18.0,25.0,25.0,22.666666666666668
siswa_4 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,85.0,75.0,63.333333333333336
siswa_6 ,transfer antar hape ,10.0,25.0,10.0,15.0
siswa_7 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,75.0,50.0,51.666666666666664
siswa_8 ,Bluetooth adalah jaringan pribadi tanpa kabel. dapat dipakai untuk tukar-menukar informasi antar perangkat ,50.0,70.0,50.0,56.666666666666664
siswa_9 ,Bluetooth adalah teknologi nirkabel (tanpa kabel) yang dapat menyambungkan beberapa perangkat melalui gelombang radio frekuensi rendah. Bluetooth menggunakan gelombang radio yang omni direksional dan dapat menembus dinding. Jadi perangkat yang memiliki bluetooth pada area tertentu akan saling tersambung tanpa digabungkan dengan seutas kabel. Bluetooth menyediakan transfer data 720 Kbps dalam jarak 40 meter. ,40.0,70.0,50.0,53.333333333333336
siswa_10 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. Spesifiksi dari peralatan Bluetooth ini dikembangkan dan didistribusikan oleh kelompok Bluetooth Special Interest Group. ,50.0,85.0,75.0,70.0
siswa_11 ,"Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. Fungsi bluetooth yaitu untuk mempermudah berbagi atau sharing file, audio, menggantikan penggunaan kabel dan lain-lain. Saat ini sudah banyak sekali perangkat yang menggunakan bluetooth. ",38.0,85.0,75.0,66.0
siswa_12 ,Bluetooth adalah teknologi jaringan tanpa kabel yang berjarak pendek untuk menghubungkan 2 alat ,32.0,30.0,25.0,29.0
siswa_16 ,Jaringan yang digunakan untuk pengiriman data ,16.0,15.0,25.0,18.666666666666668
siswa_17 ,suatu alat untuk tranfer file yang terbatas jarak. ,20.0,30.0,25.0,25.0
siswa_18 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,75.0,50.0,51.666666666666664
siswa_19 ,teknologi sinyal untuk menghubungkan perangkat dalam pengiriman dan penerimaan data ,25.0,40.0,25.0,30.0
siswa_20 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. ,28.0,40.0,25.0,31.0
siswa_22 ,"Suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",28.0,35.0,25.0,29.333333333333332
siswa_24 ,menghubungkan dan dapat dipakai untuk melakukan tukar menukar informasi di antara peralatan peralatan ,30.0,60.0,50.0,46.666666666666664
siswa_25 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. Spesifiksi dari peralatan Bluetooth ini dikembangkan dan didistribusikan oleh kelompok Bluetooth Special Interest Group. ,35.0,85.0,50.0,56.666666666666664
siswa_26 ,menstransfer data melalui ponsel ,10.0,25.0,10.0,15.0
siswa_27 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,80.0,50.0,53.333333333333336
siswa_33 ,Bluetooth merupakan media untuk transfer data ,28.0,25.0,25.0,26.0
siswa_34 ,Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya. ,33.0,30.0,25.0,29.333333333333332
siswa_35 ,Blue = biru tooth= gigi jadi gigi biru ,0.0,0.0,0.0,1.0
siswa_36 ,bluetooth adalah spesifikasi industri untuk untuk jaringgan dengan kawasan pribadi ,12.0,20.0,25.0,19.0
siswa_37 ,bluetooth adalah spesifikasi industri untuk jaringan dengan kawasan pribadi / PAN tanpa kabel yang berfungsi untuk melakukan tukar menukar informasi antara gadget yang memiliki konektivitas bluetooth. ,28.0,60.0,50.0,46.0
siswa_38 ,Bluetooth adalah Gigi Biru atau biasa digunakan untuk menghubungan perangkat elektronik yang ingin bertukar data. ,28.0,30.0,25.0,27.666666666666668
siswa_39 ,penghubung nirkabel antar device dengan jarak jangkauan yang terbatas dan sempit. ,8.0,10.0,10.0,9.333333333333334
siswa_41 ,spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,25.0,40.0
siswa_42 ,fitur transfer data dengan jarak tertentu tanpa koneksi internet ,18.0,20.0,25.0,21.0
siswa_43 ,Bluetooth adalah media pengiriman yang menggunakan frequensi tertentu ,20.0,25.0,25.0,23.333333333333332
siswa_44 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,50.0,48.333333333333336
siswa_45 ,spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,65.0,50.0,48.333333333333336
siswa_46 ,Bluetuooth suatu software yang di gunakan untuk mentrasnfer data tanpa menggunakan peralatan - peralatan bantuan seperti kabel. ,38.0,30.0,25.0,31.0
siswa_47 ,Blue=Biru Tooth=Gigi Jadi Gigi Biru ,0.0,0.0,0.0,1.0
siswa_50 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan ,30.0,40.0,25.0,31.666666666666668
siswa_51 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel ,28.0,30.0,25.0,27.666666666666668
siswa_52 ,media share data tanpa kabel ,20.0,20.0,25.0,21.666666666666668
siswa_53 ,bluetooth adalah spesifikasi industri untuk jaringan pribadi tanpa kabel ,26.0,25.0,25.0,25.333333333333332
siswa_54 ,Bluetooth adalah sebuah media yang di gunakan untuk berbagi (share) data. ,28.0,25.0,25.0,26.0
siswa_55 ,adalah sebuah sisstem yang berfungsi untuk transfer file atau data tanpa melalui kabel ,30.0,25.0,25.0,26.666666666666668
siswa_56 ,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,30.0,45.0,50.0,41.666666666666664
siswa_57 ,digunakan untuk mengirim/ mentrasfer data atau file ,28.0,30.0,25.0,27.666666666666668
