Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,"Topologi adalah cara stasiun atau host (node) saling dihubungkan. beberpa jenis topologi Jaringan lan yang ada dan sering di terapkan yaitu Point-to-point, Bus (Multipoint), Ring, Star, dan Tree. ",45.0,40.0,50.0,45.0
siswa_2 ,"Pengertian Topologi jaringan adalah bagian yang menjelaskan hubungan antar komputer yang di bangun berdasarkan kegunaan, keterbatasan resource dan keterbatasan biaya, berarti topologi-topologi jaringan yang ada bisa disesuaikan dengan keadaan di lapangan. Contoh Topologi Bus, Star, token ring, tree, ",35.0,50.0,50.0,45.0
siswa_3 ,"topologi jaringan komputer. topologi bus,topologi ring, topologi star ",40.0,45.0,50.0,45.0
siswa_4 ,LAN (Local Are Network) menghubungkan satu komputer dengan komputer lainnya yang berada dalam satu wilayah jaringan. 1. Topologi Bus. 2. Topologi Star. 3. Topologi Tree. ,50.0,70.0,50.0,56.666666666666664
siswa_6 ,jaringan dengan kabel ,8.0,15.0,10.0,11.0
siswa_7 ,"Pada topologi ring setiap komputer di hubungkan dengan komputer lain dan seterusnya sampai kembali lagi ke komputer pertama, dan membentuk lingkaran sehingga disebut ring, topologi ini berkomunikasi menggunakan data token untuk mengontrol hak akses komputer untuk menerima data, misalnya komputer 1 akan mengirim file ke komputer 4, maka data akan melewati komputer 2 dan 3 sampai di terima oleh komputer 4. ",28.0,45.0,25.0,32.666666666666664
siswa_8 ,"topologi jaringan LAN cara stasiun atau host dihubungkan. contohnya adalah topologi Point to Point, topologi bus, topologi star dan topologi ring ",40.0,50.0,50.0,46.666666666666664
siswa_9 ,"Topologi Point-to-point Setiap stasiun atau host dihubungkan secara langsung dengan host lain. Setiap host mempunyai kedudukan yang sama sehingga LAN tidak tergantung pada salah satu host. Pada dasarnya hubungan antar stasiun hanya diketahui oleh stasiun yang bersangkutan Topologi Bus (Multipoint) LAN ini merupakan jaringan broadcast karena informasi dikirimkan melalui medium transmisi ke semua stasiun yang tersambung pada medium ini. Setiap stasiun saling dihubungkan melalui suatu medium yang dipergunakan bersama yang dapat berupa kabel, serat optik ataupun gelombang elektromaknetik.. Interface untuk node disambungkan ke medium ini. Tiap-tiap node akan memeriksa address dari informasi yang dikirimkan untuk menentukan siapa penerimanya. LAN juga tidak tergantung pada salah satu node karena kendalinya tersebar (distributed). Keuntungan: jumlah node dapat ditambahkan atau dikurangi tanpa mengganggu operasi yang telah ada. Kerugiannya: kalau tingkat lalu-lintas tinggi dapat terjadi kongesti. Contoh yang terkenal Ethernet. Topologi Ring semua node saling dihubungkan dalam bentuk lingkaran (ring). Informasi berjalan dalam saluran transmisi secara searah (unidirectional), sehingga data beredar di dalam lingkaran. Informasi berjalan dari satu node ke node yang lain. Informasi disalurkan dalam bentuk paket. Tiap paket mengandung alamat sumber dan tujuan. Paket yang diterima oleh satu stasiun akan diperiksa alamatnya, bilamana bukan untuknya paket akan diberikan kepada stasiun berikutnya demikian seterusnya sehingga tiba di tempat tujuan. Paket ini kemudian akan beredar sampai kembali ke sumber dan kemudian dikeluarkan dari peredaran. Paket harus dibuang untuk menghindari beredarnya tanpa batas dalam ring tersebut. Paket juga dapat dibuang oleh stasiun yang dituju. Pembuangan paket oleh sumber lebih disukai karena memungkinkan konfirmasi otomatis .Setiap node di dalam LAN ini akan saling bergantungan. Bila satu node terganggu, maka seluruh LAN akan terganggu, akan tetapi sekarang telah ada teknik untuk mengatasi masalah ini yaitu dengan cara melepaskan node yang tidak bekerja dari LAN tersebut dan menggantikannya dengan node yang berdekatan. Teknik ini memerlukan peralatan yang lebih rumit. Tiap node yang ada pada ring mempunyai repeater (transceiver) yang melakukan tugas tersebut di atas. LAN dengan topologi ini mempunyai keuntungan yaitu data rate tinggi dan dapat melayani lalu lintas yang intensitasnya tinggi serta sambungan point to point membuat transmission error diperkecil. Kerugian topologi ini antara lain sukar menambah atau mengurangi node kerusakan pada media transmisi dapat menghentikan seluruh operasi. Media transmisi yang dipakai dapat berupa twisted pair, kabel koaksial dan serat optik. Topologi Star Stasiun yang tersambung pada jaringan umumnya tidak langsung berhubungan dengan stasiun lain tetapi harus menyalurkannya melalui suatu pusat Stasiun pusat ini seringkali berupa sebuah switch . Semua jalur komunikasi tersambung ke satu titik pusat. Topologi Tree Tidak semua node mempunyai kedudukan yang sama. Node yang kedudukannya lebih tinggi ""menguasai"" node dibawahnya. Jaringan sangat tergantung pada node tertentu terutama pada node yang kedudukannya tertinggi. Karena itu juga dapat disebut sebagai ""hierachical topology"", sedang yang lainnya kedudukan semua node sama disebut sebagai ""peer topology"". ",30.0,55.0,50.0,45.0
siswa_10 ,"Topologi Ring Pada topologi ring setiap komputer di hubungkan dengan komputer lain dan seterusnya sampai kembali lagi ke komputer pertama, dan membentuk lingkaran sehingga disebut ring, topologi ini berkomunikasi menggunakan data token untuk mengontrol hak akses komputer untuk menerima data, misalnya komputer 1 akan mengirim file ke komputer 4, maka data akan melewati komputer 2 dan 3 sampai di terima oleh komputer 4, jadi sebuah komputer akan melanjutkan pengiriman data jika yang dituju bukan IP Address dia. topologi jaringan komputer Kelebihan dari topologi jaringan komputer ring adalah pada kemudahan dalam proses pemasangan dan instalasi, penggunaan jumlah kabel lan yang sedikit sehingga akan menghemat biaya. Kekurangan paling fatal dari topologi ini adalah, jika salah satu komputer ataupun kabel nya bermasalah, maka pengiriman data akan terganggu bahkan error. ",30.0,45.0,50.0,41.666666666666664
siswa_11 ,Topologi jaringan sendiri merupakan suatu bentuk/ struktur jaringan yang menghubungkan antar komputer satu dengan yang lain dengan menggunakan media kabel maupun nirkabel. 1. topologi bus 2. topologi star 3. topologi tree ,40.0,65.0,50.0,51.666666666666664
siswa_12 ,"topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi. contoh topologi star, topologin bus, topologi mesh, topologi tree ",45.0,60.0,50.0,51.666666666666664
siswa_16 ,"Tipologi star,Bus,Tree,Ring ",30.0,25.0,25.0,26.666666666666668
siswa_17 ,"jaringan yang menggunakan kabel ftp atau utp. topologi star, topologi bus, dan topologi tree ",38.0,50.0,50.0,46.0
siswa_18 ,"LAN adalah Local Area Network, 1. Topologi Bus 2. Topologi Star 3. Topologi RIng ",48.0,50.0,50.0,49.333333333333336
siswa_19 ,"jaringan yang mencakut dalam satu area , untuk gedung , untuk rumah , untuk pabrik ",20.0,15.0,25.0,20.0
siswa_20 ,jaringan Local Area Network adalah jaringan antar satu gedung ,27.0,20.0,25.0,24.0
siswa_22 ,-Topologi adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi. -Topologi star. -Topolog mesh. -Topologi ring.,48.0,55.0,50.0,51.0
siswa_24 ,"topologi point to point, topologi bus(multipoint), topologi ring, topologi star, topologi tree ",33.0,30.0,25.0,29.333333333333332
siswa_25 ,Pengertian topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi - Topologi Ring - Topologi Bus - Topologi Star ,45.0,60.0,50.0,51.666666666666664
siswa_26 ,jaringan dengan kabel ,15.0,15.0,25.0,18.333333333333332
siswa_27 ,Pengertian topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi. contohnya: topologi star. topologi bus. topologi tree. ,50.0,65.0,50.0,55.0
siswa_33 ,Topologi jaringan LAN (LOCAL Area Network) adalah topologi jaringan bertingkat contoh - Topologi Bus - Topologi Ring - Topologi star ,60.0,45.0,50.0,51.666666666666664
siswa_34 ,LAN adalah Local Area Network merupakan sebuah node yang saling terhubung dan memanfaatkan beberapa jenis topologi yang ada. contohnya: -point to point -bus -ring ,48.0,50.0,50.0,49.333333333333336
siswa_35 ,Topologi Star Gemini Sagitarius ,10.0,5.0,10.0,8.333333333333334
siswa_35 ,"Topologi LAN adalah topologi untuk desain jaringan contohnya adalah -topologi mesh, -topologi tree, -topologi star, -topologi bus ",44.0,45.0,50.0,46.333333333333336
siswa_36 ,topologi lan adalah topologi pada jaringan komputer yang menggunakan media kabel sebagai jalur transmisinya ,20.0,30.0,25.0,25.0
