Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
kami bangsa indonesia dengan ini menyatakan kemerdekaannya halhal yang mengenai pemindahan kekuasaan dan lainlain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkatsingkatnya ,60.0,80.0,75.0,71.66666666666667
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggrakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,80.0,75.0,71.66666666666667
kami segenap bangsa indonesia menyatakan kemerdekaan ,25.0,20.0,25.0,23.333333333333332
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ,60.0,80.0,75.0,71.66666666666667
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia sesingkatsingkatnya ,40.0,35.0,50.0,41.666666666666664
kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia halhal jang mengenai pemindahan kekoeasaan dll diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkatsingkatnja djakarta hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia soekarnohatta ,70.0,95.0,90.0,85.0
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya jakarta hari 17 bulan 8 tahun 1945 atas nama bangsa indonesia soekarno hatta ,73.0,98.0,90.0,87.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara saksama dan dalam tempo yang sesingkatsingkatnya djakarta 17 agustus 1945 atas nama bangsa indonesia sukarnohatta ,86.0,100.0,90.0,92.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan seksama dan dalam tempo yang sesingkatsingkatnya jakarta hari 17 agustus 1945 soekarno hatta ,73.0,90.0,90.0,84.33333333333333
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dlldiselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,76.0,75.0,70.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,56.0,67.0,75.0,66.0
indonesia menyatakan merdeka ,15.0,15.0,10.0,13.333333333333334
kami bangsa indonesia dengan ini menyatakan kemerdekaannya dengan halhal yang berkaitan dengan bangsa dan negara dalam tempo yang sesingkatsingkatnya ,50.0,40.0,50.0,46.666666666666664
kami bangsa indonesia dengan ini menyatakan kemerdekaanya hal  hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat  singkatnya ,60.0,75.0,75.0,70.0
kami bangsa menyatakan dengan ini kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan seksama dan dalam tempo yang segingkat singkatnya ,54.0,69.0,75.0,66.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ,60.0,75.0,75.0,70.0
proklamasi kami bangsa indonesia menyatakan dengan ini kemerdekaannya hal hal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara seksama dan dalam tempo sesingkat singkatnya jakarta17 agustus 1945 atas nama bangsa indonesia,78.0,92.0,90.0,86.66666666666667
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lain lain diselenggaarakan dengan cara seksama dan dalam tempoh yang sesingkatsingkatnya ,60.0,75.0,75.0,70.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lain lain dilakukan dengan cara seksama dan dengan waktu sesingkat singkatnya ,56.0,64.0,75.0,65.0
kami putra putri bangsa indonesia ,10.0,5.0,10.0,8.333333333333334
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,60.0,50.0,56.666666666666664
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,60.0,50.0,56.666666666666664
proklamasi kami bangsa indonesia dengan ini menyatakaan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya jakarta 17 agustus 1995 soekarnohatta ,73.0,80.0,75.0,76.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya soekarnohatta jakarta17 agustus 1945 ,73.0,82.0,75.0,76.66666666666667
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal  hal yang mengenai pemindahan kekuasaan dan lain  lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat  singkatnya soekarno  hatta jakarta 17 agustus 1945 ,73.0,84.0,75.0,77.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dlldi selenggarakan dengan cara seksama dalam temppo yang sesingkat singkatnya ,60.0,76.0,75.0,70.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dll diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ,55.0,67.0,75.0,65.66666666666667
proklamasi kami bagsa indonesia dengan ini menyatakan kemerdekaan untuk urusan lebih lanjut akan diurus secepatnya ,30.0,30.0,25.0,28.333333333333332
kami bangsa indonesia menyatakan dengan ini kemerdekaan hal hal yang mengenai pemindahan kekuasaan dan lain lain dilakukan dengan cara seksama dan dalam tempo sesingkat singkatnya jakarta 17 agustus 1945 atas nama bangsa indonesia soekarnohatta ,70.0,89.0,75.0,78.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang memindai tentang kekuasaan diselesaikan dengan cara segsama dan dalam tempo yang sesingkatsingkatnya jakarta 17 agustus 1945 ,73.0,93.0,75.0,80.33333333333333
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia  hal  hal yang mengenai pemindahan kekuasaan dan lain  lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat  singkatnya jakarta 17  08  1945 wakil  wakil bangsa indonesia ,90.0,100.0,90.0,93.33333333333333
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,76.0,75.0,70.33333333333333
proklamasi kami bangsa indonesia menyatakan dengan ini menyatakan kemerdekaan ,30.0,27.0,25.0,27.333333333333332
kami bangsa indonesia menyatakan dengan ini kemerdekaanya hal hal yang berkaitan mengenai pemindahan kekuasaan dan lain lain akan diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya ,60.0,75.0,75.0,70.0
kami bangsa indonesia dengan ini menyatakan kemerdekaannya hal hal mengenai pemindahan kekuasaan dan lainlain akan diselenggarakan dengan cara seksama dan dalam tempo sesingkatsingkatnya ,60.0,75.0,75.0,70.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdrkaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara sesama dan dalam yang sesingkat singkatnya jakarta 17845 wakil bangsa indonesia sukarnohatta ,88.0,96.0,90.0,91.33333333333333
naskah proklamasi ,5.0,5.0,10.0,6.666666666666667
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaaan diselenggarakan dengan cara seksama dan dalam tempoh yang sesingkatsingkatnya ,63.0,76.0,75.0,71.33333333333333
kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia halhal jang mengenai pemindahan kekoeasaan dll diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkatsingkatnja djakarta hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia soekarnohatta ,70.0,86.0,75.0,77.0
proklamasi kami bangsa indonesia menjatakan dengan ini kemerdekaan indonesia halhal jang mengenai pemindahan kekuasaan dll diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkatsingkatnja djakarta hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia soekarnohatta ,60.0,78.0,75.0,71.0
p r o k l a m a s i kami bangsa indonesia dengan ini menjatakan kemerdekaan indonesia halhal jang mengenai pemindahan kekoeasaan dll diselenggarakan dengan tjara seksama dan dalam tempo jang sesingkatsingkatnja djakarta hari 17 boelan 8 tahoen 05 atas nama bangsa indonesia soekarnohatta ,60.0,76.0,75.0,70.33333333333333
proklamasi kami bangsa indonesia menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dengan seksama dalam toempo yang sesingkatsingkatnnya ,70.0,80.0,75.0,75.0
proklamasi kami bangsa indonesia dengan ini menyatakn kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lainlain dilakukan dengan cara seksama dan tempo yang sesingkatsingkatnya ,70.0,80.0,75.0,75.0
proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesiahalhal yang mengenai pemindahan kekuasaan dan lainlain dilakukan dengan cara seksama dan dalam waktu yang sesingkatsingkatnya jakarta 17 agustus 1945 soekarno hatta ,80.0,95.0,90.0,88.33333333333333
kami bangsa indonesia menyatakan dengan ini kemerdekaan indonesia halhal yang mengenai pemindahan kekuaaan dilaksanakan dengan cara seksama dan dalam tempo yang sesingkatsingkatnya ,60.0,78.0,75.0,71.0
kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia halhal yang mengenai pemindahan kekuasaan dan lainlain diselenggarakan dengan cara saksama dan dalam tempo yang sesingkatsingkatnya djakarta 17 agustus 1945 atas nama bangsa indonesia soekarnohatta ,73.0,85.0,80.0,79.33333333333333
