Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
bersikap open antara anak dan orang tua menjadi teman curhat yang baik mengenal teman dekatnya menasehati jika pergaulan mulai menyimpang ,25.0,30.0,25.0,26.666666666666668
1 tidak terlalu mengekang kegiatan anak 2 mengetahui apa yang menjadi passion anak 3 memberi nasehat 4 memantau kegiatan anak 5 memberikan hak dan kewajiban anak 6 tidak menjudge anak berlebihan 7 komunikasi yang baik ,34.0,30.0,25.0,29.666666666666668
1 memberi contoh mana yang baik dan mana yang salah 2 memberikan edukasi dasar mengenai pergaulan 3 mengawasi pergaulan sang anak 4 tidak terlalu offensif dan deffensif 5 tidak terlalu membatasi kebebasan anak 6 mempercayakan keputusan anak 7 memberikan support pada anak ,52.0,45.0,50.0,49.0
membuat keputusan yang bijaksana menekan anak jika berbuat saah memberi pegertian tidak membiarkan anak sesuka sendiri memilih teman untuk anakmemberi fasilitas dan kesibukan yang meyenangkan ,22.0,18.0,25.0,21.666666666666668
mengawasi temanteman anaknya memberikan pengetahuan dan pengarahan tentang pergaulan remaja mengawasi gadget anaknya masingmasing agar dapat mengontrol pergaulan anak mengajak anak untuk senantiasa berbuat baik tidak memarahi anak melainkan memberikan nasehat mengajarkan anak untuk selalu bertanggungjawab dengan kewajibannya memberikan hak anak sesuai dengan haknya ,45.0,35.0,50.0,43.333333333333336
sabarmenasehatimendengar curhatan anakakrab dengan anaktidak pulang malamusahakan percaya dengan anaksaling melindungi ,19.0,15.0,25.0,19.666666666666668
sabarmenasehatimendengar curhatan anakakrab dengan anaktidak pulang malamusahakan percaya dengan anaksaling melindungi ,19.0,15.0,25.0,19.666666666666668
selalu memantau teman yang bermain dengan anak meminta anak untuk berhatihati dalam memilih teman membuat anak untuk selalu disiplin menasihati dengan bijak tidak terlalu banyak menuntut jujur berusaha memahami pola berfikir anak ,48.0,35.0,50.0,44.333333333333336
memberi kasih sayang tidak pilih kasih saling memberi kabar menanyakan apa yang telah terjadi hari ini tidak marahmarah selalu menasehati bijaksana ,20.0,15.0,25.0,20.0
1 pemberian kasih sayang dan perhatian dari orang tua dalam hal apapun 2 adanya pengawasan dari orang tua yang tidak mengekang contohnya orang tua boleh saja membiarkan dia melakukan apa saja yang masih sewajarnya dan apabila menurut pengawasan orang tua dia telah melewati batas yang sewajarnya orang tua sebagai orangtua perlu memberitahu dia dampak dan akibat yang harus ditanggungnya bila dia terus melakukan hal yang sudah melewati batas tersebut 3 biarkanlah dia bergaul dengan teman yang sebaya yang hanya beda umur 2 atau 3 tahun baik lebih tua darinya karena apabila orang tua membiarkan dia bergaul dengan teman main yang sangat tidak sebaya dengannya yang gaya hidupnya sudah pasti berbeda maka dia pun bisa terbawa gaya hidup yang mungkin seharusnya belum perlu dia jalani 4 pengawasan yang perlu dan intensif terhadap media komunikasi seperti tv internet radio handphone dll 5 perlunya bimbingan kepribadian di sekolah karena disanalah tempat anak lebih banyak menghabiskan waktunya selain di rumah 6 perlunya pembelajaran agama yang dilakukan sejak dini seperti beribadah dan mengunjungi tempat ibadah sesuai dengan iman kepercayaannya 7 orang tua perlu mendukung hobi yang dia inginkan selama itu masih positif untuk dia jangan pernah orang tua mencegah hobinya maupun kesempatan dia mengembangkan bakat yang dia sukai selama bersifat positif karena dengan melarangnya dapat menggangu kepribadian dan kepercayaan dirinya 8 orang tua harus ,71.0,75.0,75.0,73.66666666666667
selalu memantau dimana pun anak berada dengan berkomunikasi ,15.0,5.0,10.0,10.0
1 dilarang merokok 2 dilarang minim minuman keras 3 dilarang makan makanan haram 4 dilarang keluar malam 5 dilarang tawuran 6 dilarang masuk diskotik 7 dilarang berjudi ,25.0,20.0,25.0,23.333333333333332
1 tidak terlalu mengekang anak 2 tidak membatasi anak untuk bergaul dengan siapapun 3 berikan bimbingan kepada anak terhadap dunia luar 4 berikan kasih sayang kepada anak 5 batasi anak untuk jam malam 6 jangan terlalu memanjakan anak ,29.0,20.0,25.0,24.666666666666668
a ,0.0,0.0,0.0,1.0
luruskan niat cari teman yang baik selalu lihat situasi dan kondisi selalu berdoa minta perlindungan pada allah ,16.0,15.0,10.0,13.666666666666666
mendidik dengan baik ,12.0,5.0,10.0,9.0
