Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
tenaga menjaga metabolisme kenyang sumber vitamin,5.0,5.0,25.0,11.666666666666666
sumber protein sumber lemak bahan makanan sumber vitamin,5.0,10.0,25.0,13.333333333333334
1 sumber makanan 2 sumber energi 3 sumber protein 4 sumber lemak,10.0,20.0,25.0,18.333333333333332
sumber protein tubuh sumber karbohidrat putih telur sumber karbohodrat mnghindari penyakit lapar kekuatan tubuh berkembang,8.0,15.0,10.0,11.0
telur mengandung protein berfungsi nutrisi hewani kesehatan telur mengandung vitamin e bermanfaat kesehatan kulit telur mengandung lemak bermanfaat penambah enegeri tubuh putih telur masker wajah bermanfaat memutihkan kulit wajah menghilangkan komedo,40.0,50.0,50.0,46.666666666666664
telur mengandung nutrisi kesehatan tubuh nutrisinutrisi kaya protein kuning telur mengandung lemak kuning telur mengandung 133gram kolestelor 100gram,20.0,25.0,25.0,23.333333333333332
kuning telur mengandung vitamintelur mengandung nutrisikuning telur mengandung 133gram,10.0,8.0,10.0,9.333333333333334
memiliki kandungan protein proses pertumbuhan memperlancar proses pencernaan menambah energi kesehatan tulang,8.0,25.0,10.0,14.333333333333334
manfaat telur kandungan protein putih telur menghilangkan komedo wajah mengurangi kerutan mengenyangkan,30.0,40.0,40.0,36.666666666666664
sumber protein putih telur sumber kalsium tulang kuning telur penambah darah kulit,25.0,20.0,25.0,23.333333333333332
sumber pelengap kebutuhan gizi meningkatkan fungsi otak meningkatkan hdl kesehatan jatung kardiovaskular,5.0,10.0,10.0,8.333333333333334
sumber protein menghilangkan sakit tubuh mencerdaskan otak,5.0,10.0,10.0,8.333333333333334
1 protein tubuh 2 kalsium tubuh 3 sumber vitamin 4 kuning telurnya bagus tubuh,20.0,20.0,25.0,21.666666666666668
vitamin,0.0,0.0,0.0,1.0
bahan rebutan anak penambah laukpauk penambah protein jamu,5.0,10.0,10.0,8.333333333333334
kesehatan tenaga,0.0,5.0,0.0,1.6666666666666667
mempercerah wajah dipakai masker menambah kadar protein perut kenyang melengkapi nutrisi dibuthkan tubuh,20.0,35.0,25.0,26.666666666666668
daya tahan tubuh memperlancar penceraaan menambah protein tubuh menambah vitamin,15.0,20.0,25.0,20.0
sumber proteinnutrisi pembentukan massa ototbermanfaat pembentukan tulangserta pembentukan selsel,10.0,10.0,10.0,10.0
telur mengandung nutrisi menyediakan protein berkualitas kesehatan mata pengembangan otak,20.0,35.0,25.0,26.666666666666668
menghilangkan komedo memutihkan kulit mencerahkan kulit obat,18.0,25.0,25.0,22.666666666666668
lauk pauk nutrisi tubuh menjaga kesehatan mengenyangkan perut,5.0,15.0,10.0,10.0
1 masker wajah 2 lauk pauk 3 menambah protein tubuh 4 putih telur kalsium tulang,25.0,30.0,25.0,26.666666666666668
mencegah ketombe,0.0,0.0,0.0,1.0
mengandung nutrisi menyediakan proten berkualitas kesehatan mata mengandung kolin kesehatan perkembangan otak meningkatkan kolesterol tubuh meningkatkan level hdl kolesterol tubuh membantu menurunkan berat badan melindungi tulang rambut kuku,20.0,50.0,50.0,40.0
telur kesehatan mata telur mengandun kolin kesehatan otak telur rambut kuku sumber protein,30.0,45.0,25.0,33.333333333333336
4 manfaat telur sumber protein menjaga kesehatan otot menjaga perkembangan otot menjaga kesehatan otak memelihara imunitas tubuh,18.0,25.0,25.0,22.666666666666668
protein tubuh manjadikan tubuh kuat meningkatkan kekebalan tubuh gizi,28.0,25.0,25.0,26.0
sumber protein sumber vitamin sumber gizi lemak,19.0,20.0,25.0,21.333333333333332
sumber vitamin sumber protein sumber gizi lemak,19.0,20.0,25.0,21.333333333333332
menambah energi membantu meningkatkan daya meningkatkan daya tahan tubuh membantu mengusir penyakit jiwa raga,10.0,15.0,10.0,11.666666666666666
sumber protein sumber kalsium menambah energi membantu meningkatkan daya,25.0,30.0,25.0,26.666666666666668
mengandung nutrisi protein kesehatan mata membantu menurunkan berat badan,48.0,0.0,10.0,19.333333333333332
menambah nutrisi tubuh telur memiliki nutrisi sumber protein berkualitas menyehatkan mata meningkatkan kolesterol tubuh,50.0,48.0,50.0,49.333333333333336
mengembalikan energi tubuh menjaga kesehatan kulit mengandung vitamin mengandung protein,55.0,40.0,50.0,48.333333333333336
masker,14.0,25.0,25.0,21.333333333333332
4 manfaat telur kesehatan sumber protein pertumbuhan kolesterol bagus kesehatan mata mengandung vitamin b sumber folat,45.0,50.0,50.0,48.333333333333336
telur menyediakan protein berkualitas sebutir telur mengandung 65 gram protein kesehatan mata telur mengandung lutein and zeaxanthin antioksidan memegang peranan kesehatan mata telur mengand,38.0,55.0,50.0,47.666666666666664
sumbar tenaga pembentukan otot memiliki kandungan nutrisi kaya protein,35.0,40.0,25.0,33.333333333333336
1 protein telur sumber protein hewani daging lemak unggas ikan protein telur kenyataannya berasal putih telur putih telur tunggal menyuguhkan 4 g protein lemak kecuali dimasak digoreng minyak berminyak mentega manfaat buahbuahan sehat mengurangi resiko penyakit jantung sumber protein rendah lemak putih telur 2 bebas kolesterol kolesterol telur ditemukan kuning telur putih telur bebas kolesterol memiliki kadar kolesterol putih telur pilihan sehat makan putih telur darah menyerap kelebihan kolesterol memakan putih telur asupan kalori nutrisi 3 sumber mikronutrien nutrisi sebutir telur sumber vitamin mineral putih telur 100 gram putih telur nutrisi 04 miligram riboflavin telur utuh telur utuh sumber besi fosfor folat vitamin a b12 d 4 rendah kalori makanan rendah kalori menjaga berat badan pilihan protein telur putih membantu tubuh mengontrol asupan kalori porsi putih telur ukuran masuk akal putih telur menyediakan 68 kalori signifikan meningkatkan kenyang kabar mengatur berat badan sehat manfaat apel diet,40.0,45.0,50.0,45.0
telur mengandung nutrisitelur menyediakan proten berkualitas tinggitelur kesehatan matatelur mengandung kolin kesehatan perkembangan otaktelur meningkatkan kolesterol tubuhtelur meningkatkan level hdl tubuhtelur membantu menurunkan berat badantelur melindungi tulangtelur rambut kuku,60.0,55.0,50.0,55.0
telur mengandung nutrisi telur mengandung vitamin e vitamin k zat besi kalsium seng zync mineral telur menyediakan proten berkualitas sebutir telur mengand,20.0,40.0,25.0,28.333333333333332
telur mengandung nutrisi telur mengandung vitamin e vitamin k zat besi kalsium seng zync mineral telur menyediakan protein berkualitas telur t,20.0,25.0,25.0,23.333333333333332
endok endok endok endok,0.0,0.0,0.0,1.0
penambah protein penambah stamina kekebalan tubuh kesehatan mata,27.0,35.0,25.0,29.0
kesehatan mata kesehatan gigi hati ginjal,25.0,25.0,25.0,25.0
sumber protein sumber tenaga penambah daya tahan tubuh menjaga kesehatan tubuh,30.0,40.0,25.0,31.666666666666668
sumber proteinsumber tenagamencerdaskan otak menyehatkan mata,30.0,40.0,25.0,31.666666666666668
mengandung nutrisi menyediakan protein berkualitas kesehatan mata mengandung kolin kesehatan perkembangan otak,39.0,45.0,25.0,36.333333333333336
daya tahan tubuh meningkatkan protein tubuh tubuh sehat mudah lesu,17.0,20.0,25.0,20.666666666666668
memenuhi protein tubuh energi didalam tubuh daya tahan tubuh vitamin tubuh,34.0,30.0,25.0,29.666666666666668
sumber protein penambah daya tahan tumbuh,19.0,20.0,25.0,21.333333333333332
pemasok protein pretin enzim protein kesehatan daya tahan tubuh membantu menjaga perkembangan sel,22.0,23.0,25.0,23.333333333333332
