Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
1 mencuci rambut 2 2jangan hairdryer 3 lidah buaya 4 memotong pucukpucuk rambut minimal sebulan 5 mengkonsumsi makanan bergizi 6 berat berfikir 7 istirahat 8 memakai shampo cocok sesuai kondisi rambut 9 vitamin rambut 10 hindari bahan kimia,25.0,25.0,25.0,25.0
1 rajin mencuci rambut 2 sampo sesuai kondisi rambut 3 handuk bersih 4 bahan alami perawatan rambut 5 rajin menyisir rambut 6 bahan kimia rambut 7 istirahat 8 makan makanan bergizi 9 memotong rambut rutin 10 menghindari stress,35.0,50.0,50.0,45.0
1 keramas sampo 2 hair conditioner 3 memaparkan rambut langsung matahari menerus 4 tidur 5 bahan kimia berbahaya 6 stres 7 sisir sesuai kontur rambut 8 mengkonsumsi makan kaya serat 9 membilas rambut air bersih 10 mencatok rambut,35.0,50.0,50.0,45.0
creambathsmootingshampokeramasmandi extract lidah buayaextract kulit manggisextract orang aringtidur secukupnyaberfikir seperlunyamengurangi makan mengandung lemakberjemur pagi,10.0,20.0,25.0,18.333333333333332
shampo sesuai kulit kepala conditioner melembabkan kulit kepala vitamin rambut melembabkan menutrisi rambut rambut mudah kering rusak minyak rambut merelaksasikan kulit kepala masker rambut rambut mudah diatur hair spray menyegarkan rambut bahan alami lidah buaya rambut lebat mengembang bahan alami minyak kemiri rambut hitam alami perawatan creambat rambut sehat merawat rambut memperbanyak minum air putih,60.0,50.0,50.0,53.333333333333336
keramasi rambut rambut lepek pakai madu menjaga kelembaban rambut pakai minyak zaitun rambut rontok seringseringlah pakai hairmask rambut sehat potong rambut rambut bercabang tonic keramas pakai lidah buaya rambut hitam lebat keramas pakailah conditioner pakai treatment conditioner pakai pelurus rambut cepat rusak lakukan pengeringan rambut alami,43.0,35.0,50.0,42.666666666666664
keramasi rambut rambut lepek pakai madu menjaga kelembaban rambut pakai minyak zaitun rambut rontok seringseringlah pakai hairmask rambut sehat potong rambut rambut bercabang tonic keramas pakai lidah buaya rambut hitam lebat keramas pakailah conditioner pakai treatment conditioner pakai pelurus rambut cepat rusak lakukan pengeringan rambut alami,43.0,35.0,50.0,42.666666666666664
keramas memakai kondisioner memakai masker rambut treatment salon rutin memakai ekstrak lidah buaya rajin memakai vitamin hindari matahari langsung mengikat rambut pewarna rambut aman tubuh memotong rambut bercabang,50.0,44.0,50.0,48.0
keramas teratur minyak kemiri rajin menyisir rambut masker lidah buaya campur yoghurt condisioner creambath hindari hairspray mewarnai rambut terik matahari,35.0,30.0,25.0,30.0
lidah buaya mengikat rambut vitamin serum keramas minyak kelapa conditioner catok membiarkan rambut tertutup basah mengecat rambut shampo mengandung bahan alami,30.0,32.0,25.0,29.0
