Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
bersikap open anak orang tua teman curhat mengenal teman dekatnya menasehati pergaulan menyimpang,25.0,30.0,25.0,26.666666666666668
1 mengekang kegiatan anak 2 passion anak 3 nasehat 4 memantau kegiatan anak 5 hak kewajiban anak 6 menjudge anak 7 komunikasi,34.0,30.0,25.0,29.666666666666668
1 contoh salah 2 edukasi dasar pergaulan 3 mengawasi pergaulan sang anak 4 offensif deffensif 5 membatasi kebebasan anak 6 mempercayakan keputusan anak 7 support anak,52.0,45.0,50.0,49.0
keputusan bijaksana menekan anak berbuat saah pegertian membiarkan anak sesuka memilih teman anakmemberi fasilitas kesibukan meyenangkan,22.0,18.0,25.0,21.666666666666668
mengawasi temanteman anaknya pengetahuan pengarahan pergaulan remaja mengawasi gadget anaknya masingmasing mengontrol pergaulan anak mengajak anak senantiasa berbuat memarahi anak nasehat mengajarkan anak bertanggungjawab kewajibannya hak anak sesuai haknya,45.0,35.0,50.0,43.333333333333336
sabarmenasehatimendengar curhatan anakakrab anaktidak pulang malamusahakan percaya anaksaling melindungi,19.0,15.0,25.0,19.666666666666668
sabarmenasehatimendengar curhatan anakakrab anaktidak pulang malamusahakan percaya anaksaling melindungi,19.0,15.0,25.0,19.666666666666668
memantau teman bermain anak anak berhatihati memilih teman anak disiplin menasihati bijak menuntut jujur berusaha memahami pola berfikir anak,48.0,35.0,50.0,44.333333333333336
kasih sayang pilih kasih kabar marahmarah menasehati bijaksana,20.0,15.0,25.0,20.0
1 pemberian kasih sayang perhatian orang tua apapun 2 pengawasan orang tua mengekang contohnya orang tua membiarkan sewajarnya pengawasan orang tua melewati batas sewajarnya orang tua orangtua memberitahu dampak akibat ditanggungnya melewati batas 3 biarkanlah bergaul teman sebaya beda umur 2 3 tua darinya orang tua membiarkan bergaul teman main sebaya dengannya gaya hidupnya berbeda terbawa gaya hidup jalani 4 pengawasan intensif media komunikasi tv internet radio handphone dll 5 bimbingan kepribadian sekolah disanalah anak menghabiskan rumah 6 pembelajaran agama beribadah mengunjungi ibadah sesuai iman kepercayaannya 7 orang tua mendukung hobi positif orang tua mencegah hobinya kesempatan mengembangkan bakat sukai bersifat positif melarangnya menggangu kepribadian kepercayaan 8 orang tua,71.0,75.0,75.0,73.66666666666667
memantau dimana anak berkomunikasi,15.0,5.0,10.0,10.0
1 dilarang merokok 2 dilarang minim minuman keras 3 dilarang makan makanan haram 4 dilarang malam 5 dilarang tawuran 6 dilarang masuk diskotik 7 dilarang berjudi,25.0,20.0,25.0,23.333333333333332
1 mengekang anak 2 membatasi anak bergaul 3 bimbingan anak dunia 4 kasih sayang anak 5 batasi anak jam malam 6 memanjakan anak,29.0,20.0,25.0,24.666666666666668
a,0.0,0.0,0.0,1.0
luruskan niat cari teman lihat situasi kondisi berdoa perlindungan allah,16.0,15.0,10.0,13.666666666666666
mendidik,12.0,5.0,10.0,9.0
disiplin bijaksana arif jujur ramah adil beriman,19.0,10.0,10.0,13.0
pulang malam over protective memonitoring orang tua jujur adil,21.0,15.0,25.0,20.333333333333332
menjalin komunikasi anakselalu tegasmemberikan contoh baiksering ajak jalanjalan anakmemberikan semangat anak galaudisiplin mengedepankan musyawarah,26.0,20.0,25.0,23.666666666666668
hati gotong royong,12.0,5.0,10.0,9.0
pulang malam dilarang berpacaran,12.0,5.0,10.0,9.0
disiplin bijaksana arif jujur ramah beriman,16.0,10.0,10.0,12.0
1 melarang anak malam 2 pamitan bepergian 3 anak rumah 4 komunikasi anak 5 menceritakan dirasakan anak 6 terbuka anak 7 menekan posisi anak,35.0,40.0,50.0,41.666666666666664
pulang malam kalo belajar kelompok rumah aja,14.0,10.0,10.0,11.333333333333334
respek kebebasan pribadi jadikan rumah tangga nyaman menarik hargai kemandiriannya diskusikan aman kasih sayang perhatian anakanak mengerti contoh perkawinan bahagia,28.0,25.0,25.0,26.0
mengawasi pergaulan anak fasilitas berlebihin diluar kebutuhan luang anak terjalin komunikasi mengajarkan gaya hidup mewah mengajarkan agama pondasi kuat,30.0,25.0,25.0,26.666666666666668
mengawasi anak percaya anak pergaulan anak mendoakan anak arahan anak contoh anak sibuk dunia kerja anak kesepian,37.0,30.0,25.0,30.666666666666668
mendidik pengertian contoh meberikan contoh lingkungan curhat anak terbuka langsung memarahi anak tontonan menjaga lisan perbuatan dirumah dimana mengekang anak,45.0,56.0,50.0,50.333333333333336
membatasi pergaulan anak fasilitas anak memantau aktifitas anak,23.0,30.0,25.0,26.0
mengekang anak membebaskan anak keputusan pengawasan memantau aktifitas anak menjadikan orangtua teman utama anak mendengar keluh kesah anak langsung menjudge anak menasihati anak melukai perasaannya,51.0,65.0,50.0,55.333333333333336
didik penuh kasih sayang memarahi anak anak bertambah marah contoh orang tuanya hindarkan linkungan buruk nasihat buruk kebebasan berpendapat salah luruskan pikiran dingin tontonan mendidik,42.0,60.0,50.0,50.666666666666664
menanamkan nilai nilai agama kuat anak nya contoh anakanya kuat imannya memilih buruk menanamkan jiwa jiwa nasionalisme patriotisme jiwa jiwa kebangsaan,21.0,30.0,25.0,25.333333333333332
mengajarkan kedisiplinan anak mengarkan pendidikan mengajarkan mendekatkan allah beribadah mengajarkan anak memilih teman,29.0,40.0,50.0,39.666666666666664
menasehati anaknya pengarahan pergaulan edukasi pergaulan keuntungan kerugian pergaulan mendidik anaknya memilih pergaulan mendidik anak mudah terpengaruh orang mendidik anak memilih pergaulan mendukung kesuksesannya,27.0,38.0,25.0,30.0
membimbing mengontrol menasehati,14.0,15.0,10.0,13.0
anak kebebasan memilih keputusan menjaga mendekatkan agama,19.0,20.0,25.0,21.333333333333332
teman anak melarang anak menunjukan contoh perilaku sesuai norma mengajarkan rendah hati membiasakan anak hidup berfoya foya pelit anak memantau pergaulan anak,34.0,45.0,50.0,43.0
membiasakan anak jujur tau anak buruk membiasakan rendah hati membiasakan waspada mengajak anak bercerita memantau pergaulan mengenal temanteman anak,25.0,40.0,50.0,38.333333333333336
pulang malam pantau telepon nasehat ajarkan beribadah pengetahuan pergaulan keras mendidik,22.0,30.0,25.0,25.666666666666668
nasihat mengajari siplit,14.0,15.0,10.0,13.0
pendidikan agama cukuppercaya anaktanamkan tanggung kebebasanjangan membandingkan anakbuat anak nyamancoba mengerti dunia anakluangkan,35.0,35.0,25.0,31.666666666666668
disiplin tanggung memantau kegiatan plinplan,15.0,20.0,25.0,20.0
pendidikan pergaulan wawasan berteman mengarahkan anak memilih teman mengajarkan anak mudah terpengaruh negatif anak pintar pintar memilih teman orang tua memantau pergaulan anak dimasukkan pesantren,38.0,45.0,50.0,44.333333333333336
pembelajan agama wawasan berteman menuntun memilih teman bemberikan ajaran positif didalam rumah memantau anak arahkan berbuat contoh perbuatan,33.0,50.0,50.0,44.333333333333336
