Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
gaya hidup hedonism gaya hidup penjelasannya,15.0,5.0,10.0,10.0
gaya hidup boros mengikuti trend,19.0,25.0,25.0,23.0
hidup mengikuti trand jaman positif negatif fashion teknologi budaya lainlain,22.0,25.0,25.0,24.0
gaya hidup penuh aksi heroik,12.0,5.0,10.0,9.0
gaya hidup hedonism pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan,35.0,20.0,25.0,26.666666666666668
gaya hedonism gaya hidup santai,10.0,5.0,10.0,8.333333333333334
gaya hedonism gaya hidup santai,10.0,5.0,10.0,8.333333333333334
gaya hidup manusia,8.0,5.0,10.0,7.666666666666667
gaya hidup berlebihlebihan,8.0,5.0,10.0,7.666666666666667
hedonisme pandangan hidup menganggap orang bahagia mencari kebahagiaan sedapat menghindari perasaanperasaan menyakitkan1 hedonisme ajaran pandangan kesenangan kenikmatan tujuan hidup tindakan manusia2 aliran pemikiran hedonis cyrenaics epikureanisme utilitarianisme,60.0,45.0,50.0,51.666666666666664
gaya hidup,8.0,5.0,10.0,7.666666666666667
gaya hidup hedonism gaya hidup monoton,12.0,8.0,10.0,10.0
gaya hidup hedonism pandangan hidup bahagia mencari bahagia banyaknya,30.0,20.0,25.0,25.0
,0.0,0.0,0.0,1.0
gaya hidup,10.0,10.0,10.0,10.0
gaya hidup,10.0,10.0,10.0,10.0
gaya hidup sesuai,11.0,10.0,10.0,10.333333333333334
maaf hehehehe,0.0,0.0,0.0,1.0
gaya hidup mengedepanka perliaku dicirikan perilaku suka menghamburkan uang belanjafoya foya,25.0,20.0,25.0,23.333333333333332
gaya hidup serba mewah,18.0,20.0,25.0,21.0
gaya hidup jaman anak menghamburhamburkan uang dipandang orang terkaya,22.0,25.0,25.0,24.0
gaya hidup mencari kesenangan,24.0,23.0,25.0,24.0
,0.0,0.0,0.0,1.0
gaya hidup malam2,17.0,15.0,10.0,14.0
