Jawaban Lowercase,Manual 1,Manual 2,Manual 3,Rata Manual
1. ketuhanan 2. kemanusiaan 3. persatuan 4. kerakyatan 5. keadilan ,40.0,50.0,50.0,46.666666666666664
1. ketuhanan 2. keadilan 3. kemanusiaan 4. kesejahteraan 5. persatuan ,40.0,40.0,50.0,43.333333333333336
ketuhanan yang maha esa keadilan bagi seluruh rakyat indonesia persatuan indonesia keadilan bagi seluruh rakyat indonesia ,70.0,25.0,25.0,40.0
1. ketuhanan yang maha esa. 2. kerakyatan yang adil dan beradab. 3. persatuan indonesia. 4. kesejahteraan yang di pimpim oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan. 5. keadilan sosial bagi seluruh rakyat indonesia. ,90.0,90.0,90.0,90.0
1. ketuhanan yang maha esa 2. kemanusiaan yang adil dan berada 3. persatuan indonesia 4. kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan 5. keadilan bagi seluruh rakyat indonesia ,90.0,100.0,100.0,96.66666666666667
"ketuhanan yang maha esa, kemanusiaan yang adil dan beradab, persatuan indonesia, kerakyatan yang dipimpin oleh hikmat kebikjasanaan dalam permusyarawatan perwakilan, keadilan sosial bagi seluruh rakyat indonesia ",95.0,100.0,100.0,98.33333333333333
ketuhanan yang maha esa. kemanusiaan yang adil dan beradab. persatuan indonesia. kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan. keadilan sosial bagi seluruh rakyat indonesia. ,100.0,100.0,100.0,100.0
1.ketuhanan yang maha esa 2.kemanusiaan yang adil dan beradab. 3.persatuan indonesia 4.kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan 5.keadilan sosial bagi seluruh rakyat indonesia. ,90.0,100.0,100.0,96.66666666666667
1)ketuhanan yang maha esa 2)kemanusiaan yang adil dan beradap 3)persatuan indonesia 4)kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan 5)keadilan sosial bagi seluruh rakyat indonesia ,90.0,100.0,100.0,96.66666666666667
"1. ketuhanan yang maha esa, 2. kemanusiaan yang adil dan beradab, 3. persatuan indonesia, 4. kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan 5. keadilan sosial bagi seluruh rakyat indonesia ",90.0,100.0,100.0,96.66666666666667
"ketuhanan yang maha esa, kemanusiaan yang adil dan beradab, persatuan indonesia, kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan dan keadilan sosial bagi seluruh rakyat indonesia ",100.0,100.0,100.0,100.0
ketuhanan yang maha esa kemanusiaan yang adil dan beradab persatuan indonesia kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan keadilan sosial bagi seluruh rakyat indonesia ,100.0,100.0,100.0,100.0
"ketuhanan yang maha esa, kemanusiaan yang adil dan beradap, kesatuan indonsia, kerakyatan yang dipimpin oleh hikmat dan kebijaksanaan kemanusiaan. ",65.0,69.0,75.0,69.66666666666667
"1. ketuhanan yang maha esa, 2. kemanusiaan yang adil dan beradab, 3. persatuan indonesia, 4. kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan, 5. keadilan sosial bagi seluruh rakyat indonesia. ",90.0,100.0,100.0,96.66666666666667
"ketuhanan yang maha esa , kemanusiaan yang adil dan beradab , persatuan indonesia ,kerakyatan yang dipimpin oleh hikmat kebijaksaan dalam permusyawaratan perwakilan , keadilan sosial bagi seluruh rakyat indonesia ",100.0,100.0,100.0,100.0
-ketuhanan -kemanusiaan -keadilan -kerakyatan -persatuan,30.0,40.0,50.0,40.0
