Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,- Menyehatkan tubuh - Memperkuat otot-otot - Menjernihkan pikiran - Terhindar dari berbagai penyakit - Membentuk Metabolisme tubuh,40.0,50.0,50.0,46.666666666666664
siswa_2 ,1. Meringankan Kerja Jantung. 2. Melancarkan Aliran Darah. 3. Mencegah Terjadinya Obesitas. 4. Meningkatkan Pertumbuhan Tulang Dan Gigi. 5. Meningkatkan Sistem Imun ,15.0,20.0,25.0,20.0
siswa_3 ,"refresing, kesehatan otot, syaraf-syaraf mejadi semakit rilexs,pembentukan fisik,kelincahan bergerak ",28.0,15.0,25.0,22.666666666666668
siswa_4 ,1. Menjaga kondisi fisik tetap prima. 2. Menghilangkan stress. 3. Mengurangi lemak. 4. Melancarkan sistem pencernaan. 5. Membentuk tubuh ideal. ,35.0,25.0,25.0,28.333333333333332
siswa_6 ,sehat ,9.0,0.0,10.0,6.333333333333333
siswa_7 ,"Membantu mengontrol berat badan, Meningkatkan energi, Manfaat olahraga dalam mencegah berbagai penyakit, Memelihara kekebalan tubuh, Membantu meningkatkan kecerdasan otak. ",38.0,32.0,25.0,31.666666666666668
siswa_8 ,"untuk memperlancar sistem peredaran darah, memberi energi pada tubuh, menghilangkan racun dalam tubuh, serta melatih otot tubuh agar tetap kuat, dan menghilangkan stress ",48.0,35.0,50.0,44.333333333333336
siswa_9 ,"Manfaat olahraga untuk kesehatan tubuh kita memang sudah lama terbukti. Latihan olahraga penting tidak hanya penting untuk memelihara kebugaran fisik tetapi juga kesehatan mental. Sekarang daftar efek positif dari olahraga akan bertambah panjang lagi dengan adanya temuan bukti baru dari Daniel M. Landers, profesor ilmu kesehatan fisik dan olahraga dari Univeritas Arizona. Cukup dengan menggerakkan tubuh selama 10 menit setiap hari kesehatan mental kita akan meningkat cepat. Selain itu daya pikir akan bertambah jernih dan yang menggembirakan dapat mengurangi ketegangan alias stress serta membuat perasaan menjadi riang selalu. Menurut Landers ada lima manfaat olahraga yang dapat menyehatkan mental kita. Mari kita simak satu per satu. ",28.0,15.0,25.0,22.666666666666668
siswa_10 ,Melancarkan Aliran Darah Meningkatkan Pertumbuhan Tulang Dan Gigi Mencegah Terjadinya Obesitas Menjaga Keseimbangan Tubuh Menjaga Fleksibilitas Otot ,25.0,15.0,25.0,21.666666666666668
siswa_11 ,1. Berolahraga akan Meningkatkan Kapasitas Otak Anda 2. Menggerakkan Tubuh Membantu Mencairkan Stres Anda 3. Berolahraga akan Memberikan Energi 4. Tidak Sulit Mencari Waktu Untuk Berolahraga 5. Berolahraga akan Membina Hubungan ,33.0,20.0,25.0,26.0
