Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
airnya bersih airnya mengandung karporit kedalaman sesuai badan,40.0,60.0,50.0,50.0
1 bocor 2 sirkulasi air sistem filterasi air bersih 3 aman penggunanya,30.0,60.0,50.0,46.666666666666664
kebersihankeindahankedalaman,15.0,40.0,50.0,35.0
1 air menggandung kapur 2 kebersihan kolam renang 3 fasilitas kolam renang nyaman bersih,38.0,55.0,50.0,47.666666666666664
bau diminum,5.0,5.0,10.0,6.666666666666667
kebersihan air kolam renang tidaknya air dikuras seminggu kali tercampur kaporit,48.0,60.0,50.0,52.666666666666664
pastikan aman nyaman fasilitas berenang menyenangkan air bersih ukuran kedalaman kolam renang sesuai,65.0,65.0,75.0,68.33333333333333
1 bebas sampah 2 kadar kaporit 3 alat filter 4 mengecek kebersihan kamar mandi 5 hindari kolam ramai pengunjung,38.0,60.0,50.0,49.333333333333336
pastikan kolam renang jaminan kualitasmaksudnya kolam renan memiliki jadwal perawatan kualitas fasilitas diperhatikan didalam kolam renang pastikan kolam ranang memiliki pilihan kolam renang pengunjung memilih anakanak dewasa remaja tambahan fasilitas seluncur banpelampung faslitas menyenangkan dapay pertimbangan memilih kolam renang tujuan wisata libuan keluarga merasakan hiburan disana restauran cafetaria salah faktor penentu objek wisata dipilih dikunjungi orang,38.0,50.0,50.0,46.0
1 kadar kaporit rendah 2 alat filter 3 mengecek kebersihan kamar mandi 4 bebas sampah,10.0,60.0,50.0,40.0
airnya bersih kolamnya dikuras periodik tempatnya bagus luas alat pengaman ban,38.0,60.0,50.0,49.333333333333336
kebersihan airluas kolamkedalaman,28.0,50.0,50.0,42.666666666666664
kondisi lingkungan air bersih kedalaman sesuai dll,34.0,60.0,50.0,48.0
1 kedalaman kolam renang 2 air jernih bersih 3 keramaian,40.0,70.0,50.0,53.333333333333336
kedalaman kolam renang air kebersihan kolam renang kualitas air vasilitas kolam renang harga tiket masuk,58.0,58.0,50.0,55.333333333333336
bersih memiliki kejernihan air fasilitas memadai harga tiket masuk relatif murah,33.0,58.0,50.0,47.0
kebersihan kolam fasilitas penunjang tiket masuk,18.0,58.0,50.0,42.0
bersih fasilitas bagus harga tiketmurah,10.0,53.0,50.0,37.666666666666664
1 kebersihan airnya 2 kedalaman kolam renang 3 dasar kolan renang berlumut,30.0,70.0,50.0,50.0
air bersih berkaporitan bau,20.0,60.0,50.0,43.333333333333336
airnya jernih kolam kotor luas,28.0,58.0,50.0,45.333333333333336
kebersihan nyaman sesuakain kedalaman kolam renang keahlian renang,38.0,60.0,50.0,49.333333333333336
bersih mengandung kaporit sesuai badan memiliki sirkulasi air,26.0,80.0,50.0,52.0
diperhatikan memperhatikan memilih kodisi kolam kebersihannya memperhatikan air kolam renang mengandung kaporit memilih mengandung kaporit memperhatikan memilih warna air kolam renang jenih keruh,38.0,70.0,50.0,52.666666666666664
air kolamnya bersih,22.0,30.0,25.0,25.666666666666668
air bersih sarana memadai kedalaman sesuai,33.0,60.0,50.0,47.666666666666664
kualitas air media kolam renang suhu air,20.0,40.0,50.0,36.666666666666664
suhu air kualitas air kelembapan,20.0,40.0,50.0,36.666666666666664
kebersihan kenyamanan lingkungan suasana,18.0,40.0,50.0,36.0
kejernihan kolamnya bilas ganti memadai fasilitas memadai,10.0,55.0,50.0,38.333333333333336
kejernihan airnya suhu air warna air bau air,22.0,40.0,50.0,37.333333333333336
warna kolam jerih kolam mernang tertutup dasar kolam,28.0,40.0,50.0,39.333333333333336
kebersihan kolam renang fitur kolam renang keamanan kolam renang ukuran kolam renang letak kolam renang jenis kolam renang,70.0,58.0,50.0,59.333333333333336
kadar kaporit kedalaman,18.0,60.0,50.0,42.666666666666664
air keruh berlumut sesuaikan kemampuan renang denfgan kedalaman,28.0,70.0,50.0,49.333333333333336
pastikan kolam renang jaminan kualitasmaksudnya kolam renan memiliki jadwal perawatan kualitas fasilitas diperhatikan didalam kolam renang kolam renang berkwalitas pastinya menjaga kualitas air kolam bersih aman pengunjung memperhatikan keramik kolam renang idak pecah membahayakan pengunjung licin jaminan kualitas perawatan pastikan kolam ranang memiliki pilihan kolam renang pengunjung memilih anakanak dewasa remaja tambahan fasilitas seluncur banpelampung faslitas menyenangkan dapay pertimbangan memilih kolam renang tujuan wisata libuan keluarga merasakan hiburan disana restauran cafetaria salah faktor penentu objek wisata dipilih dikunjungi orang,40.0,50.0,50.0,46.666666666666664
kondisi air mengkirakira kedalam air memiliki kamar ganti kamar mandi,30.0,50.0,50.0,43.333333333333336
kadar air kebersihan kolam renang kenyamanan kolan renang jarak kolam renang,38.0,40.0,50.0,42.666666666666664
kadar air kebersian kolam renang kenyamanan kolam renang jarak,33.0,40.0,50.0,41.0
lihat kebersihan kolam lihat orang penyakit pilih kolam,30.0,30.0,25.0,28.333333333333332
kolam luas kebersihan air kedalaman,40.0,40.0,50.0,43.333333333333336
warna air kolam renang bau air kolam renang bersih kotornya kolam renang perwatan kolam renang,50.0,70.0,50.0,56.666666666666664
kedalaman kolam kualitas air keamanan kolam renang,65.0,70.0,75.0,70.0
bersih kuman fasilitas,20.0,20.0,25.0,21.666666666666668
zat benda kotor bebas sampah alat filter,10.0,40.0,25.0,25.0
penjaga keruh penanda kedalaman,28.0,45.0,25.0,32.666666666666664
penjaga kolam penunujuk kedalaman kolam air diganti minimal seminggu,30.0,50.0,50.0,43.333333333333336
kondisi air kedalaman kolam kelengkapan alat,48.0,60.0,50.0,52.666666666666664
airnya keruh berwarna jernih kedalaman kolam lomba garis lintas peserta,40.0,50.0,50.0,46.666666666666664
air kolam,10.0,5.0,10.0,8.333333333333334
kolam naturalairnya kolam dirawat orang,18.0,30.0,25.0,24.333333333333332
pilih lebar kucup pilih kedalaman pilih,20.0,30.0,25.0,25.0
