Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
keper penjaga gawang defender pemain bertahan center back pemaian back berda fullback mencegah lawan menyerang sisi pertahanan arah kiri kanan,40.0,50.0,50.0,46.666666666666664
1 penjaga gawang 2 bek 3 gelandang 4 penyerang,27.0,40.0,50.0,39.0
kiper menjaga gawang beckmenjaga kedalaman dareah pertahanan gelandang membagi bola penyerang menyerrang memasuki daerah pertahanan lawan,42.0,80.0,75.0,65.66666666666667
1 goal keeper 2 deffense 3 center 4 striker,30.0,40.0,50.0,40.0
hebak umak,0.0,0.0,0.0,1.0
gelandang bertahan tukang angkut air memiliki fungsi pembangun serangan perusak permainan lawan pemain menghadang serangan gelendang pemain tengahgelandang bertugas menjaga sektor permainan mengatur ritme permainan kadangkadang membantu pertahanan sayap gelandang sayap pemain sayap bertugas dukungan serangan sektor sayap bertahan sewaktuwaktu timnya diserang lawan,28.0,60.0,50.0,46.0
penjaga gawang bertugas menghalau bola masuk gawang bek bertugas membantu penjaga gawang gelandang posisinya bek penyerang penyerang bertugas mencetak gol gawang lawan,55.0,80.0,75.0,70.0
penjaga gawang posisi penjaga gawang posisi kemampuan khusus tugas penjaga gawang mencegah bola masuk gawang penjaga gawang seringkali palang pintu lawan memasukkan bola gawang penjaga gawang memiliki kemampuan mutlak dibutuhkan refleks baikkecepatanpostur idealdan mencegah gol bek bek berfungsi menjaga sektor pertahanandalam kasusseperti counter attack disaat bek sayap terlambat kembalibek menjaga sektor sayap permainan penjaga gawang menghindari gol bek memiliki sundulan bagus kadangkadang maju membantu serangan tendangan bebas maju tendangan sudutbek sundulan bagus berpostur tinggicontohnya carles puyolspanyol tingginya 180 cmtinggi pemain eropa bek sayap bek sayap berfungsi menjaga sektor pertahanan sayap bertugas maju membantu serangan tim sektor sayap dukungan serangan umpan penyerangserta berperan aktif pertandingan gelandang pemain gelandang pemain posisinya penyerang bek fungsi utama menjaga penguasaan bola bola penyerang gelandang tugasnya bertahan posisinya penyerang penyerang penyerang posisi gawang lawan tugas utama penyerang mencetak gol posisi penyerang posisi membutuhkan utama kecepatan teknik bakat salah syarat terwujud sulit penyerang andal penyerang membutuhkan naluri konsentrasi tajam,60.0,80.0,75.0,71.66666666666667
penjaga gawang posisi kemampuan khusus tugas penjaga gawang mencegah bola masuk gawang penjaga gawang seringkali palang pintu lawan memasukkan bola gawang bek posisi pemain bek pemain posisinya bertugas membantu penjaga gawang gol gelandang pemain gelandang pemain posisinya penyerang bek fungsi utama menjaga penguasaan bola bola penyerang gelandang tugasnya bertahan posisinya penyerang penyerang posisi gawang lawan tugas utama penyerang mencetak gol posisi penyerang posisi membutuhkan utama kecepatan teknik bakat salah syarat terwujud sulit penyerang andal penyerang membutuhkan naluri konsentrasi tajam,65.0,80.0,75.0,73.33333333333333
1 kiper penjega gawang gk 2 pemain bertahan defenders 3 bek tengahcenterback cb 4 fullback lb rb,30.0,40.0,50.0,40.0
kiper pemain menjaga gawang gol bek pemain menjaga garis pertahanan gelandang pemain menghubungkan pertahanan garis penyerangan striker pemain penyerangan gawang lawan,55.0,80.0,75.0,70.0
backstrikerkiper,15.0,20.0,25.0,20.0
kiper penjaga gawang defender pertahan serangan lawan sayap kanankiri pengumpan streker penyerang,40.0,55.0,50.0,48.333333333333336
1 striker 2 keeper 3 defend 4 sayap kanan kiri,20.0,35.0,25.0,26.666666666666668
kiper menjaga gawang back menjaga lini striker penyerang sayap membantu penyerang bertahan,48.0,50.0,50.0,49.333333333333336
penyerang penjaga gawang pemain bertahan pemain beck,30.0,40.0,50.0,40.0
penyerang pemain area lawan bertujuan mencetak gol gelandang pemain area tengahtugasnya bola penyerangmembantu pertahanan mencetak gol bek pemain garis pertahanan tugasnya melindungi gawang kemasukan kiper pemain menjaga gawang mencegah gol,60.0,85.0,75.0,73.33333333333333
striker menyerang lawan sayap kanan mengalang serangan kanan lapangan sayap kiri menghalang serangan kiri lapangan kiper penjaga gawang,45.0,60.0,50.0,51.666666666666664
goolkeeper pemain bertugas menjaga gawang nya serangan lawan mieldfilder pemain bertugas pengatur serangan pengatur serangan kedepan centerback pemain bertahan bertugas mengawal penyerang tim lawan memasukan bola tim winger pemain sayap bertugas serangan pinggir kanan pinggir kiri,55.0,80.0,75.0,70.0
keras lunak semangat lemas,0.0,0.0,0.0,1.0
gelandang pemain bertugas bola sayap kanan bertugas menguasai daerah kanan lapangan sayap kiri bertugas menguasai daerah kiri lapangan kiper bertugas menjaga gawang,50.0,80.0,75.0,68.33333333333333
pemain bek pemain gelandang pemain penyerang pemain kiri kanan sayap,39.0,40.0,50.0,43.0
penjaga gawang pemain barisan memiliki peranan utama saving clearing mengarahkan pertahanan mendistribusikan bola pemain bertahan bertugas melindungi kiper center back bek ditengah bek sayap bergerak maju gawang lawan,48.0,70.0,50.0,56.0
penjaga gawang back gelandang penyerang,18.0,30.0,25.0,24.333333333333332
striker kipper gelandang gelandang sayap penyerang,26.0,30.0,25.0,27.0
striker penyerang back pertahanan sayap kiri kanan membantu penyerangan pemain membantu skema penyerangan,22.0,60.0,50.0,44.0
kiper penjaga gawang back pertahanan gelandang membantu penyerangan striker penyerang utama,38.0,70.0,50.0,52.666666666666664
penjaga gawang pemain gelandang penyerang pemain penjaga,30.0,30.0,25.0,28.333333333333332
goalkeeper bertugas menjaga gawang kebobolan defender membantu kiper menghalau bola masuk daerah pertahanan midfielder bertugas penguasa lini mengatur ritme permainan membantu penyerangan membantu pertahanan striker mencetak gol,50.0,70.0,75.0,65.0
kiper wasit back glandang pemain,18.0,10.0,10.0,12.666666666666666
bek gelandang kiper penyerang,22.0,30.0,25.0,25.666666666666668
kiper bek gelandang penyerang,22.0,30.0,25.0,25.666666666666668
striker penyerang sayap gelandang back pemain bertahan kiper penjaga gawang,30.0,50.0,50.0,43.333333333333336
penjaga gawang goal keeper kiper pemain bergerak garis tugas khusus kiper kecuali palang pintu gawang pemain dunia bermain posisi iker cassilas gianluigi buffon edwin van der sar bek centre back garis posisi kiper menjalankan posisi orang sesuai formasi tim permainan posisi divariasikan ball playing defender sweeper libero limited defender pemain dunia bermain posisi nemanja vidic rio ferdinand charles puyol bek sayap wing back garis wing back berposisi kanan kiri lapangan tugasnya membantu penyerangan sayap cepat posisi tim diserang wing back gawang lawan skema penyerangan kondisi posisi divariasikan full back pemain dunia bermain posisi ashley cole javier zanetti daniel alves pemain central midfielder pemain beroperasi garis menjalankan posisi orang sesuai formasi tim permainan posisi divariasikan box to box midfielder advanced playmaker pemain dunia bermain posisi xavi hernandez stephen gerrard cesc fabregas,30.0,30.0,25.0,28.333333333333332
penjagga gawang bek gelandang penyerang,18.0,30.0,25.0,24.333333333333332
