Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
cupcake donat eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipop marshmallow,79.0,95.0,90.0,88.0
cupcakedoughnat eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipop marshmellow,79.0,85.0,90.0,84.66666666666667
donuteclairfroyogingerbreadhoneycombice cream sandwitch jelly beankitkat,93.0,75.0,90.0,86.0
cupkace donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kit kat marshmallow,72.0,90.0,90.0,84.0
gingerbread ice cream sandwich,30.0,30.0,25.0,28.333333333333332
cupcakedonuteclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkatlolipop,93.0,90.0,90.0,91.0
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipop marshmallow,84.0,100.0,90.0,91.33333333333333
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat,93.0,80.0,90.0,87.66666666666667
1 android versi 10 astro 2 android versi 11 bender 3 android versi 15 cupcake 4 android versi 16 donut 5 android versi 2021 eclair 6 android versi 22 froyo frozen yoghurt 7 android versi 23 gingerbread 8 android versi 3031 honeycomb 9 android versi 40 ics ice cream sandwich 10 android versi 41 jelly bean 11 android versi 44 kitkat 12 android l 50,50.0,90.0,75.0,71.66666666666667
23 android cupcake android donut android eclair android eclair android froyo android gingerbread android honeycomb android ice cream sandwich android jelly bean android kitkat android lollipop android marshmallow,50.0,100.0,90.0,80.0
cupcakedonuteclairfroyogingerbreadhonetcomeicsjelly beankitkatlolipopmarsmallow,60.0,95.0,90.0,81.66666666666667
cupcake 15 donut 16 eclair 2021 froyo 22223 gingerbread 23237 honeycomb 30326 ice cream sandwich 40404 jelly bean 4143 kitkat 44 lolypop 50,50.0,90.0,90.0,76.66666666666667
cupcake 15 donut 16 eclair 2021 froyo 22223 gingerbread 23237 honeycomb 30326 ice cream sandwich 40404 jelly bean 4143 kitkat 44 android lollipop 50,50.0,90.0,90.0,76.66666666666667
donut eclair froyo gingerbread honeycomb icecream sandwich jellybean kitkat lollipop marsmallow,79.0,95.0,90.0,88.0
cupcakes donuts eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat lollipop marshmallow,84.0,98.0,90.0,90.66666666666667
cupcakedonateclarefoyogingerbreadhoneycombicecreamsandwichjellybeankitkatlolipopmarshmallow,84.0,88.0,90.0,87.33333333333333
donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat,84.0,75.0,90.0,83.0
donut eclair ginggerbread honeycomb icecream sandwich jellybean kitkat lollipop marsmallow,79.0,50.0,75.0,68.0
jelly beans lollypoop,10.0,10.0,10.0,10.0
cupcake gingerbread jellybean kitkat lolipop marshmellow,30.0,40.0,25.0,31.666666666666668
android cupcake android donut android eclair android froyo android jellybean,35.0,50.0,50.0,45.0
cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat,93.0,80.0,90.0,87.66666666666667
cupcake donut eclair froyo gingerbread honeycomb ice cream sendwich jelly bean kitkat lollipop marsmellow,86.0,98.0,90.0,91.33333333333333
