Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
lcd liquid cristal display cpu central processing unit gps global positioning system,92.0,100.0,90.0,94.0
liquid crystal display central processing unit global position system,60.0,95.0,90.0,81.66666666666667
liquid crystal display central prosesor unit global position system,60.0,95.0,90.0,81.66666666666667
lcd liquid crystal display cpu control processing unit gps global positioning system,92.0,100.0,90.0,94.0
lcd liquid crystal display cpucentral personal unit,68.0,65.0,75.0,69.33333333333333
liquid crystal display central processing unit global positioning system,76.0,95.0,90.0,87.0
liquid crystal display central processing unit global positioning system,76.0,95.0,90.0,87.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
cpu central processing unit lcd liquid crystal display gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display central processing unit gps global positioning system,92.0,95.0,90.0,92.33333333333333
kepanjangan lcd liquid crystal display kepanjangan cpu central processing unit kepanjangan gps global positioning system,76.0,100.0,90.0,88.66666666666667
liquidcrystal displaypronounced as separate lettersthe global positioning system,52.0,65.0,50.0,55.666666666666664
liquid crystal display central processor unit global positioning system,76.0,80.0,75.0,77.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd lead cristal display cpu central processor unit,46.0,35.0,50.0,43.666666666666664
lcd liquid cristal display cpu central processing unit gps global place system,84.0,75.0,75.0,78.0
lcdyaitu liquid crystal display cpuyaitu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
liquid crystal display central processing unit global positioning system,84.0,95.0,90.0,89.66666666666667
lcd liquid crystal display cpu centrak process unit gps global positioning system,84.0,75.0,75.0,78.0
liquid central display,24.0,20.0,25.0,23.0
lcd liquid crystal display cpu central personal unit gps global positioning system,92.0,80.0,90.0,87.33333333333333
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal disply cpu central procesing unit gps adlah global positiioning system,76.0,95.0,90.0,87.0
lcd liquid crystal dysplay cpu central processing unit gps global position system,84.0,95.0,90.0,89.66666666666667
lcd liquid crystal display cpu central processing unit gps global position system,92.0,95.0,90.0,92.33333333333333
lcd liquid crystal display cpu central processing unit gps graphical position satellite,76.0,75.0,75.0,75.33333333333333
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central prosesing unit,68.0,65.0,75.0,69.33333333333333
lcd liquid cristal display cpu central processing unit gps global positioning system,92.0,100.0,90.0,94.0
gps global positioning system,36.0,35.0,25.0,32.0
lcd limited crystal diode cpucentral processing unit gpsglobal,45.0,40.0,50.0,45.0
gpu vga saalah hardware pendukung desainer gamer kebutuhan grafisnya berat vga onboard mainboard gpu kepanjangan graphic processing unit singkatan gpu cpu berbeda fungsi utama gpu khususkan memproses penggunaan grafik berat vga onboard sanggup menjalankan kebutuhan grafik vga onboard menjalakan penggunaan grafis grafik sebatas 3d cpu kepanjangannya central processing unit cpu bertanggung perhitungan matematika komputer berfungsi komputer berfungsi cpu central processor prosesor jarang terdengar orang merujuk cpu otak komputer gps global positioning system pengertian sederhana salah sistem membantu posisi gps menstransmisikan sinyal satelit perangkat gps handphone blackberry dilengkapi teknologi gps memperoleh detil posisi seakurat gps ruang terbuka penggunaan gps ruangan hutan gedunggedung gps akurat,30.0,20.0,25.0,25.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crsytal display cpu control processing unit gps global positioning system,92.0,100.0,90.0,94.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central processing unit gps global positioning dustem,92.0,90.0,90.0,90.66666666666667
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
liquid control desktop control prosesing unit google prosesing satelit,24.0,20.0,25.0,23.0
lcd luquid control desktop cpu control prosessing unit gps google procesor satlite,48.0,20.0,25.0,31.0
lcd liquied control desktop cpu control processor unit gps google proyektor satelit,40.0,20.0,25.0,28.333333333333332
lcd liquied control dekstop cpu control processing unit gps genji perfect seiha,48.0,25.0,25.0,32.666666666666664
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquit crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
liquid crystal display central processing unit global positioning system,76.0,95.0,90.0,87.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central processing unit gps global positioning system,100.0,100.0,100.0,100.0
lcd liquid crystal display cpu central processing unit gps global posessing unit,92.0,75.0,90.0,85.66666666666667
cpu central processing unit lcd liquid crystal display gps global positioning system,100.0,100.0,100.0,100.0
haha,0.0,0.0,0.0,1.0
lcd licuid display cpu centar processing unit gps global position system,68.0,40.0,50.0,52.666666666666664
