Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memori penyimapan,0.0,5.0,10.0,5.0
memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memori jangka pendek,0.0,10.0,10.0,6.666666666666667
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
volatile memory memory berisi data ditulis dihapus,75.0,60.0,75.0,70.0
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
volatile bertentangan memori nonvolatile memori komputer membutuhkan kekuatan mempertahankan informasi tersimpan mempertahankan isinya bertenaga listrik terganggu data disimpan hilang cepat volatile memiliki kegunaan memori utama cepat bentuk penyimpanan massal hard disk drive volatilitas melindungi informasi sensitif tersedia kekuasaandown tujuan randomaccess memory ram stabil,40.0,60.0,50.0,50.0
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory contohnya ram,77.0,85.0,90.0,84.0
memory datanya ditulis dihapus,40.0,45.0,50.0,45.0
memori datanya diisi pembuat chip memori user pabrik pembuat memori diisi sesuai keinginannya,15.0,25.0,25.0,21.666666666666668
volatile memory memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
volatile memory datanya ditulis dihapus hilang aliran listrik kondisi matioff membutuhkan daya mempertahankan memory,88.0,100.0,90.0,92.66666666666667
memory datanya ditulis dihapus hilang kondisi power off,70.0,75.0,75.0,73.33333333333333
volatile memory memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory jangka pendek,8.0,15.0,10.0,11.0
pengertian topologi jaringan komputer konsep menghubungkan komputer jaringan terkoneksi,0.0,0.0,0.0,1.0
memori hilang datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
data datanya ditulis dihapus hilang kehilangan power membutuhkan catu daya,77.0,85.0,90.0,84.0
volatile memory penyimpanan memory mudah hilang,50.0,60.0,50.0,53.333333333333336
memory datanya tulis hapus,40.0,35.0,50.0,41.666666666666664
volatile memory memory datanya dihapus ditulis dibaca,45.0,55.0,50.0,50.0
memory dihapus,25.0,30.0,25.0,26.666666666666668
volatile memori hilang listrik mati komputer dimatikan contohnya ram,40.0,45.0,50.0,45.0
memory datanya dihapus ditulis,40.0,45.0,50.0,45.0
memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
,0.0,0.0,0.0,1.0
memory bertambah butuhkan,10.0,5.0,10.0,8.333333333333334
memory volatile memori datanya ditulis dihapus data hilang power daya memory jenis penyimpanan data jangka contoh memory volatile ram random access memory memori utama menyimpan programprogram datadata cpu dibutuhkan,65.0,80.0,75.0,73.33333333333333
volatile memory memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory contohnya ram,77.0,88.0,90.0,85.0
volatile memory ingatan ingatan,20.0,30.0,25.0,25.0
volatile memory memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,88.0,95.0,90.0,91.0
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,88.0,86.0,90.0,88.0
volatile memory memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory tambahan,5.0,5.0,10.0,6.666666666666667
valatile memory penyimpana data volatile,30.0,30.0,25.0,28.333333333333332
volatile memory penyimpanan data volatile,27.0,30.0,25.0,27.333333333333332
menyimpan data volatile,25.0,30.0,25.0,26.666666666666668
volatile memory contrary to nonvolatile memory is computer memory that requires power to maintain the stored information,10.0,10.0,10.0,10.0
memory datanya ditulis dihapus hilang,40.0,50.0,50.0,46.666666666666664
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory penyimpanan,25.0,35.0,25.0,28.333333333333332
volatile memory memory datanya ditulis dihapus hilang kehilangan power kondisi off membutuhkan catu daya mempertahankan memory,88.0,86.0,90.0,88.0
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory datanya ditulis dihapustetapi hilang kehilangan power kondisi off membutuhkan daya mempertahankan memory,80.0,90.0,90.0,86.66666666666667
memory menyimpan data,25.0,20.0,25.0,23.333333333333332
volatile memory memory menjalankan komputer menyeimbangkan ram processor,45.0,40.0,50.0,45.0
