Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
1 memperhatikan uang dompet 2 membeli barang 3 mencatat barangbarang beli 4 membeli barang harga murah 5 penjual 6 menghindari rame,30.0,35.0,25.0,30.0
1 beli butuhkan 2 berfikir bijak 3 anggaran belanja 4 membeli barang 5 mencari harga sesuai kondisi barang 6 mencatat barang dibeli,45.0,55.0,50.0,50.0
1 mencatat list barang beli 2 budget 3 pilih departement store harga murah 4 sesuaikan belanjaan kebutuhan 5 belanjalah orang 6 siapkan uang ekstra kebutuhan dugaan,40.0,50.0,50.0,46.666666666666664
membeli murah daftar belanjaan mengajak orang bijak hidup irit lurus,30.0,25.0,25.0,26.666666666666668
mencari departement store mengadakan diskon belanja benarbenar membutuhkan barang dibeli belanja murah kualitas bagus berbelanja barang barang dibutuhkan mengutamakan kebutuhan dibandingkan berbelanja mudah tergoda aneka barang dibutuhkan,60.0,45.0,50.0,51.666666666666664
menghabiskan uang barangbelanjalah diskonbelanja direncanakan belanja sajahematjangan belanja tergantung toko,35.0,30.0,25.0,30.0
menghabiskan uang barangbelanjalah diskonbelanja direncanakan belanja sajahematjangan belanja tergantung toko,35.0,30.0,25.0,30.0
belanja perut kenyang membawa daftar belanja membeli berdasarkan kebutuhan membeli harga murah berkualitas membawa kantong plastik belanja berdasar nafsu pribadi,40.0,35.0,50.0,41.666666666666664
membawa daftar belanjaan belanja perut kenyang belanja diskon pilih mall dijamin mahal berusaha lapar mata belanja orang hemat,38.0,35.0,25.0,32.666666666666664
1buatlah list barang beli letakkan daftar barang primer butuhkan kebutuhan sekunder 2kalau memiliki anak utamakan kebutuhan anak susu popok bayi buah hati 3bandingkan komposisi kualitas kuantitas barang beli malu menghabiskan detik rak membandingkan mudah tergiur barangbarang diskon hitunglah keuangan teliti sesuaikan kebutuhan 4anda stok barang rumah harga barang miring tempatkan barang list belanja memiliki budget ya ambil barang ladies 5pilihlah barang dibeli grosir eceran pilihlah sesuai usia pemakaian barang membeli barang kebutuhan mubazir terpakai 6selalu bawa catatan bolpen samping harga barang beli menghindari kecurangan toko budget keluarkan,88.0,95.0,90.0,91.0
meneliti dibutuhkan,8.0,5.0,10.0,7.666666666666667
1 cari dibutuhkan 2 cari lengkap 3 cari harganya murah 4 cari alternatif 5 cari toko 6 cari kota,15.0,24.0,25.0,21.333333333333332
1 belanja online bukalapakcom 2 belanja online tokopediacom 3 belanja online lazadacom 4 belanja menyertakan perantara 5 disuruh transfer 6 pastikan penjual memiliki info pribadi lengkap,12.0,8.0,10.0,10.0
belanja lazadatokopediamempertimbangkan harga,10.0,8.0,10.0,9.333333333333334
membawa uang usahakan uang cash membeli dibutuhkan cari murah cari pasar loak,14.0,15.0,10.0,13.0
membawa kantong keresek membeli sesuai kebutuhan membeli barang murah,16.0,10.0,10.0,12.0
membeli diskonan membeli membeli membeli sesuai keuangan membeli pasar,18.0,15.0,10.0,14.333333333333334
harga budget membeli barang pasar loak tanggal kadaluarsa,20.0,15.0,10.0,15.0
daftar hargamenghitung budgetmemperhitungkan jarak tempumemperhitungkan tempuhtawar menawarlihat tangga kadaluarsa,22.0,18.0,25.0,21.666666666666668
1 meninimalis uang 2 menahan barang 3 belanja 4 cari harga murah kualitas 5 mencari diskon 6 hemat,30.0,25.0,25.0,26.666666666666668
shooping online recomended,10.0,5.0,10.0,8.333333333333334
belanja pasar belanja toko belanja online belanja swalayan belanja alfamart belanja indomart,12.0,8.0,10.0,10.0
1 belanja butuhkan 2 belanja 3 manfaatkan diskon mall 4 hemat 5 memilih harga murah 7 memilih malltoko rumah,28.0,25.0,25.0,26.0
shooping online cari diskonan,10.0,5.0,10.0,8.333333333333334
