Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
candi borobudur terletak jawa,15.0,15.0,10.0,13.333333333333334
candi borubudur masuk 7 keajaiban dunia,12.0,5.0,10.0,9.0
candi borobudur candi terbesar indonesia terletak magelang jawa,25.0,19.0,25.0,23.0
candi borobudur candi termegah terbesar indonesia memiliki 1000 buah candi salah keajaiban dunia candi terbesar didunia terletak jogjakarta indonesia,10.0,15.0,10.0,11.666666666666666
candi borobudur candi termegah terbesar indonesia memiliki 1000 buah candi salah keajaiban dunia candi terbesar didunia terletak jogjakarta indonesia,19.0,15.0,25.0,19.666666666666668
candi borobudur keajaiban indonesia dibangun lelembut,15.0,5.0,10.0,10.0
candi borobudur keajaiban indonesia dibangun lelembut,15.0,5.0,10.0,10.0
candi yogyakarta masyarakat hindhu memuja buddha,20.0,18.0,25.0,21.0
cagar budaya dibangun umat hindhu indonesia,15.0,25.0,25.0,21.666666666666668
borobudur candi buddha terletak borobudur magelang jawa indonesia lokasi candi 100 km sebelah barat daya semarang 86 km sebelah barat surakarta 40 km sebelah barat laut yogyakarta candi berbentuk stupa didirikan penganut agama buddha mahayana 800an masehi pemerintahan wangsa syailendra borobudur candi kuil buddha terbesar dunia12 salah monumen buddha terbesar dunia,92.0,85.0,90.0,89.0
kota jogja,8.0,10.0,10.0,9.333333333333334
syailendra salah keajaiban dunia,12.0,15.0,10.0,12.333333333333334
sejarah candi borobudur candi daerah istimewa yogyakarta jawa,18.0,14.0,25.0,19.0
,0.0,0.0,0.0,1.0
menjaga hewan cagar alam punah,3.0,0.0,0.0,1.0
tujuh keajaiban dunian indonesia,8.0,5.0,10.0,7.666666666666667
salah candi terbesar indonesia salah keajaiban dunia,12.0,7.0,10.0,9.666666666666666
candi borobudor salah peninggalan sejarah agama budha bertempat yogyakarta candi borobudur dikunjungi wisatawan,23.0,15.0,25.0,21.0
candi borobudur salah keajaiban masuk sejarah candi terletak magelang provinsi jawa,35.0,30.0,25.0,30.0
terletak jawa,19.0,15.0,25.0,19.666666666666668
arsitektur candi borobudur,12.0,5.0,10.0,9.0
candi yogyakarta,19.0,10.0,10.0,13.0
prambanan,0.0,0.0,0.0,1.0
cagar berisi 1000 candi kopi,5.0,0.0,0.0,1.6666666666666667
borobudur candi buddha terletak borobudur magelang jawa indonesia lokasi candi 100 km sebelah barat daya semarang 86 km sebelah barat surakarta 40 km sebelah barat laut yogyakarta candi berbentuk stupa didirikan penganut agama buddha mahayana 800an masehi pemerintahan wangsa syailendra borobudur candi kuil buddha terbesar dunia12 salah monumen buddha terbesar dunia3 monumen enam teras berbentuk bujur sangkar diatasnya pelataran melingkar dindingnya dihiasi 2672 panel relief aslinya 504 arca buddha4 borobudur memiliki koleksi relief buddha terlengkap dunia3 stupa utama terbesar teletak memahkotai bangunan dikelilingi barisan melingkar 72 stupa berlubang dalamnya arca buddha duduk bersila posisi teratai sempurna mudra sikap tangan dharmachakra mudra memutar roda dharma,50.0,70.0,75.0,65.0
candi borobudur candi budha terletak borobudur magelang jawa candi berbentuk stupa didirikan penganut agama budha mahayana setikar 800an masehi borobudur candi kuil terbesar didunia,35.0,30.0,25.0,30.0
candi terletak jawa kabupaten magelang candi borobudur candi agama budha,30.0,30.0,25.0,28.333333333333332
peninggalan sejarah candi borobudur,10.0,5.0,10.0,8.333333333333334
borobudur candi terletak jawa masuk candi terbesar,18.0,10.0,10.0,12.666666666666666
candi borobudur candi terbesar didunia terletak didaerah sleman jogjakarta,15.0,10.0,10.0,11.666666666666666
candi borobudur candi bagu umat hindu agun agungkan,18.0,10.0,10.0,12.666666666666666
candi berbasis agama budha masuk 7 keajaiban dunia dibangun raja syailendra ditemukan kalinya peneliti belanda terletak magelang daerah istimewa yogyakarta,45.0,30.0,50.0,41.666666666666664
candi borobudur dibangun 780 masehi,12.0,10.0,10.0,10.666666666666666
candi buddha terletak borobudur magelang jawa indonesia ats 6 teras berbentuk bujur sangkar diatasnya 3 pelataran melingkar dindingnya dihiasi 2672 panel relief aslinya 504 arca buddha,38.0,35.0,25.0,32.666666666666664
candi borobudur candi bersejarah dibangun hindu budha candi borobudur 7 keajaiban dunia,28.0,30.0,25.0,27.666666666666668
candi borobudur terletak jawa jogjakarta indonesia,22.0,15.0,25.0,20.666666666666668
candi borobudur salah peninggalan sejarah masuk keajaiban dunia letak candi borobudur propinsi jawa tepatnya kabupaten magelang lokasinya 15 kilometer daerah istimewa yogyakarta menjadikannya dikenal candi borobudur yogyakarta jawa letaknya bukit menoreh da dikelilingi gunung gunung merbabu gunung merapi gunung sindoro gunung sumbing letaknya 3 kilometer candi mendut pembangunan diduga candi borobudur dirancang arsitek terkenal bernama gunadharma candi pembangunannya selesai dinasti syailendra rajanya raja samaratungga memerintah,47.0,58.0,50.0,51.666666666666664
mnxjabxjkab,0.0,0.0,0.0,1.0
borobudur candi buddha terletak borobudur magelang jawa indonesia monumen model alam semesta dibangun suci memuliakan buddha berfungsi ziarah menuntun umat manusia beralih alam nafsu duniawi pencerahan,30.0,35.0,25.0,30.0
