Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
makanan 4 sehat 5 sempurna kebutuhan nutrisi tubuh tubuh sehat seimbang,15.0,10.0,10.0,11.666666666666666
makanan gizi seimbang tubuh,17.0,15.0,25.0,19.0
makanan mengandung unsurunsur dibutuhkan tubuh,12.0,8.0,10.0,10.0
makanan begisi memiliki protein kekebalan sistem inmun tubuh,15.0,8.0,10.0,11.0
nasi sayur buah susu daging telur,34.0,25.0,25.0,28.0
karbohidratlemakproteintelursusu,30.0,25.0,25.0,26.666666666666668
karbohidratlemakproteintelursusu,30.0,25.0,25.0,26.666666666666668
makan makanan rutin nasi lauk sayur buah susu bermanfaat tubuh proses pertumbuhan,40.0,35.0,50.0,41.666666666666664
makanan mencangkup karhohidrat air mineral protein kalsium,28.0,15.0,25.0,22.666666666666668
makanan mengandung karbohidrat protein mineral vitamin lemak jenuh,32.0,20.0,25.0,25.666666666666668
nasi susu buah sayur lauk pauk,34.0,25.0,25.0,28.0
4 makanan sehat mengandung karbohidrat protein vitamin mineral 5 sempurna susu mengandung kalsium,45.0,35.0,50.0,43.333333333333336
makanan mengandung 4 makanan sehat nasi sayur mayur lauk pauk buah 5 sempurna susu sumber kalsium tubuh,55.0,44.0,50.0,49.666666666666664
jjjjjj,0.0,0.0,0.0,1.0
makan minum,5.0,5.0,10.0,6.666666666666667
makanan mengandung karbohidrat protein serat susu,25.0,15.0,25.0,21.666666666666668
makanan gizi asupanya tubuh mengandung seratkarbohidrat protein mineral vitamin susu,38.0,35.0,25.0,32.666666666666664
makanan mengandung karbohidrat protein vitamin serat mineral,34.0,25.0,25.0,28.0
makanan mengandung nutrisi karbohidratproteinvitamin makanan nasiikan lauk pauksayursusu buahbuahan,65.0,55.0,50.0,56.666666666666664
makanan,10.0,5.0,10.0,8.333333333333334
makanan mengandung protein karbohidrat nutrisi dibutuhkan tubuh,35.0,25.0,25.0,28.333333333333332
makanan dimasak mama,8.0,5.0,10.0,7.666666666666667
makanan mengandung karbohidrat protein vitamin kalsium gizi,32.0,25.0,25.0,27.333333333333332
makanan mengandung nutrisi protein lainya seimbang susu,27.0,20.0,25.0,24.0
makanan 4 sehat 5 sempurna makanan mengandung karbohidrat protein vitamin diciptakan tahun1950an profpoerwo soedarmo gizi indonesia slogan sehat sempurna berisikan kelompok makanan 1 makanan pokok makanan utama berfungsi sumber tenaga tubuh malakukan aktifitas seharihari contohnya nasi jagung oat kentang gandum tepung terigu umbiumbian 2 laukpauk lauk makanan memiliki fungsi memenuhi kebutuhan zat pembangun tubuh tempe telur daging ikan lainlain 3 sayurmayur sayursayuran makanan memiliki fungsi memenuhi kebutuhan zat pengatur tubuh contoh kangkung bayam terong tomat cabe kacang kol gepeng labu siam 4 buah sayur mayur buahbuahan makanan memiliki fungsi memenuhi kebutuhan zat pengatur tubuh contohnya apel manggis markisa kesemek salak pondoh duren 5 susu susu pelengkap kewajiban keharusan mengkonsumsi meminumnya salahnya minum susu makan mengandung kandungan zat berguna tubuh,40.0,35.0,50.0,41.666666666666664
4 sehat 5 sempurna makanan pokok lauk pauk buahbuahan sayuran susu,44.0,30.0,50.0,41.333333333333336
4 sehat makanan mengandung nasi sayur buah lauk lengkapi susu 5 sempurna,40.0,35.0,50.0,41.666666666666664
makanan sehat sempurna makanan mengandung karbohidrat contohnya nasi gandum protein contohnya ikan daging vitamin contohnya buah buahan zat besi contohnya sayur sayuran susu,36.0,30.0,25.0,30.333333333333332
nasi lauk sayur buah sayur,30.0,40.0,25.0,31.666666666666668
makanan komposisi nasi lauk sayur mayur buah susu,40.0,45.0,50.0,45.0
sayur daging buah nasi susu badan sehat,36.0,40.0,50.0,42.0
nasi sayur buah daging susu,30.0,30.0,25.0,28.333333333333332
memenuhi kebutuhan kecukupan gizi tubuh,10.0,10.0,10.0,10.0
makanan sehat mengandung 4 sumber nutrisi makanan pokok lauk pauk sayur sayuran buah buahan disempurnakan susu makanan 4 sehat 5 sempurna makanan mengandung karbohidrat protein mineral vitamin lemak jenuh,77.0,80.0,75.0,77.33333333333333
makanan 4 sehat 5 sempurna makanan kandungan gizinya dibutuhkan tubuh vitamin mineral karbohidrat lainlain,50.0,65.0,50.0,55.0
makanan mengandung nasisayur buah laukpauk susu,30.0,35.0,25.0,30.0
makanan 4 sehat 5 sempurna kandungan gizi ideal manusia makanan 4 sehat nasi lauk pauk sayursayuran buahbuahan 5 sempurnanya susu nasi sumber karbohidrat lauk pauk protein sayuran minaral buahabuahan vitamin,58.0,65.0,50.0,57.666666666666664
4 sehat 5 sempurna makanan mengandung zat tubuh karbohidrat mineral protein vitamin lemak jenuh,40.0,50.0,50.0,46.666666666666664
makanan menyehatkan tubuh mengandung protein mineral nutrisi tubuh,36.0,30.0,25.0,30.333333333333332
makanan 4 sehat 5 sempurna konsep makanan sehat dikampanyekan pemerintah 1955 konsep 4 sehat 5 sempurna makanan sehat makanan mengandung 4 sumber nutrisi makanan pokok lauk pauk sayursayuran buahbuahan disempurnakan susu kandungannya makanan 4 sehat 5 sempurna makanan mengandung karbohidrat protein mineral vitamin lemak jenuh,100.0,95.0,90.0,95.0
