Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
hardware perangkat keras komputer contohnya mouse monitor cpu keyboard speaker,50.0,40.0,50.0,46.666666666666664
hardware perangkat keras contohnya cpu monitor keyboard,45.0,35.0,50.0,43.333333333333336
perangkat keras komputer mousekeyboardhardiskflashdiskmonitor,48.0,35.0,50.0,44.333333333333336
hardware tampat perangkat keras mendukung kinerja perangkat lunak 1 monitor 2 keyboard 3 mouse 4 speaker 5 cpu,45.0,40.0,50.0,45.0
perangkat keras,20.0,10.0,25.0,18.333333333333332
hardware perangkat keras komputer membantu penggunanyacontohnya keyboard mouse joystik headset scanner,42.0,50.0,50.0,47.333333333333336
hardwar perangkat keras contohnya power supply cpu hard disk video adaptor sound card,40.0,35.0,50.0,41.666666666666664
hardware perangkat keras komponen komputer kasat mata disentuh fisik contoh hardware 1 perangkat input masukan perangkat keras memasukkan input pengguna diproses komputer contohnya mouse keyboard joystick touchpad light pen barcode scanner microphone lainlain 2 perangkat proses perangkat keras berguna memproses masukan pengguna contohnya processor 3 perangkat output keluaran perangkat keras menampilkan hasil diolah komputer pengguna contohnya speaker monitor printer proyektor plotter,68.0,75.0,75.0,72.66666666666667
hardware perangkat keras komputer yg sentuh lihat bentuk komputer contoh monitor mouse keyboard motherboard vga ram processor dll,70.0,85.0,75.0,76.66666666666667
hardware perangkat keras komputer membantu penggunanya contoh keyboard mouse joystik heatset monitor,40.0,65.0,50.0,51.666666666666664
engertian hardware perangkat keras komponen komputer disentuh fisik contoh monitor cpu speaker keyboard mouse printer scanner,77.0,80.0,75.0,77.33333333333333
hardware perangkat keras contohnya cpupcmousekeyboardprinter,45.0,50.0,50.0,48.333333333333336
hardware perangkat keras komputer contohnya mouse keyboard monitor harddisk external flasdisk dll,40.0,50.0,50.0,46.666666666666664
hardware perangkat keras perangkat komputer contoh 1 keyboard 2 mouse 3 speaker 4 webcam 5 controller,50.0,50.0,50.0,50.0
perangkat keras berwujud komputerlaptop monitor proyektor,30.0,40.0,50.0,40.0
hardware perangkat keras mata membantu kinerja komputer contohnya monitor keyboard mouse printer speaker,55.0,60.0,50.0,55.0
salah komponen komputer sifat alat nya diraba langsung berbentuk nyata berfungsi mendukung proses komputerisasi contohnya monitor cpu mouse keyboard printer,54.0,60.0,50.0,54.666666666666664
pemroses cpu unit pengolahan memori ram menyimpan data hard drive media menyimpanan data semi permanen perangkat masukan data proses cpu perangkat keluaran menampilkan hasil keluaran proses cpu,7.0,15.0,10.0,10.666666666666666
hardware perangkat keras komputer mouse speaker printer keyboard cpu,45.0,50.0,50.0,48.333333333333336
hardware perangkat keras,30.0,20.0,25.0,25.0
hardware perangkat keras salah komponen komputer sifat alat nya diraba langsung berbentuk nyata berfungsi mendukung proses komputerisasi,40.0,55.0,50.0,48.333333333333336
hardware perangkat keras komputer mouse monitor cpu keyboard printer,55.0,60.0,50.0,55.0
hardware perangkat keras komponen komputer disentuh fisik contoh hardware printer hard disk monitor cpu keyboard mouse joystick processor speaker usb,60.0,70.0,75.0,68.33333333333333
hardware perangkat keras komputer berfungsi alat perkerjaan berkaitan komputer hardware input output data contoh hardware keyboard monitor cpu mouse motherboard printer mouse,40.0,75.0,75.0,63.333333333333336
hardware perangkat keras komputer salah komponen komputer sifatnya lihat bentuk nyata,50.0,50.0,50.0,50.0
hardware perangkat keras contoh mouse keyboard headset speaker laptop printer,55.0,55.0,50.0,53.333333333333336
hardware perangkat keras contoh monitor keyboar mouse printer scanner stop kontak proyektor baterai joystick microkontroller minimum system hardisk cdrom dvdrom prosessor ram rom lan card sound card tv cable,43.0,65.0,50.0,52.666666666666664
hardware perangkat keras berhubungan komputer peralatan elektronik contoh hardware harddisk mouse keyboard prosesor fan,40.0,60.0,50.0,50.0
perangakat keras contoh prosesor hardiskmatherboard,35.0,30.0,25.0,30.0
