Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
teknologi informasi mengontrol barang dihasilkan barang ddata mudah diakses teliti kegiatan pemasaran memanfaatkan teknologi informasi promosi produk via internet penjualan barang online penyedia jasacustomer serviceonline bidang manajemen karyawan teknologi informasi mempermudah manajer mencari informasi karyawannya,20.0,40.0,25.0,28.333333333333332
bisnis efisien efektif jangkauan pemasaran luas peluang,30.0,25.0,25.0,26.666666666666668
mempersingkat waktumemperoleh koneksi bisnis cepat mempromosikan produk cepat,28.0,25.0,25.0,26.0
1 mempersingkat 2 memudahkan transaksi 3 memudahkan barang belanjaan,25.0,30.0,25.0,26.666666666666668
memudahkan kehidupan,5.0,4.0,10.0,6.333333333333333
maraknya penggunaan tik membuka lapangan pekerjaanbisnis berbasis tik ecommerce mempermudah transaksitraansaksi bisnis perusahaan peroranga fasilitas pemasangan iklan internet situssitus mempermudah kegiatan promosi pemasaran produk,22.0,30.0,25.0,25.666666666666668
memudahkan proses perencanaan distribusi produksi kegiatan bisnis,18.0,30.0,25.0,24.333333333333332
penerapan teknologi informasi dunia bisnis teknologi informasi dimanfaatkan perdagangan elektronik dikenal ecommerce ecommerce perdagangan jaringan internet,15.0,30.0,25.0,23.333333333333332
maraknya penggunaan tik membuka lapangan pekerjaan bisnis berbasis tik ecommerce mempermudah transaksitraansaksi bisnis perusahaan perorangan fasilitas pemasangan iklan internet situssitus mempermudah kegiatan promosi pemasaran produk,22.0,35.0,25.0,27.333333333333332
1 maraknya penggunaan tik membuka lapangan pekerjaan 2 bisnis berbasis tik ecommerce mempermudah transaksitraansaksi bisnis perusahaan perorangan 3 fasilitas pemasangan iklan internet situssitus mempermudah kegiatan promosi pemasaran produk,22.0,40.0,25.0,29.0
memperluas pangsa pasar mengurangi biaya produksi operasional mempermudah proses komunikasi monitoring karyawan munculnya peluang bisnis ebusiness,40.0,50.0,50.0,46.666666666666664
menyimpan filefile,18.0,10.0,10.0,12.666666666666666
mempercepat kinerja bisnis pekerjaan bisnis mudah mempermudah memonitoring karyawan,29.0,20.0,25.0,24.666666666666668
1 pengembang bisnis 2 memperluas bisnis 3 mengenalkan bisnis,22.0,20.0,25.0,22.333333333333332
memudahkan pemasaran memudahkan pengolahan data sarana mudah masyarakat,37.0,28.0,25.0,30.0
mempermudah koneksi perusahaan menambah penghasilan cepat,30.0,29.0,25.0,28.0
efisien hemat aman,26.0,30.0,25.0,27.0
mempermudah transaksi bisnis mempermudah kegiatan promosi mempermudah proses pendidikan,21.0,25.0,25.0,23.666666666666668
keuntungan teknologi informasi komunikasi 1 membantu mempercepat pekerjaan manusia 2 mempermudah komunikasi jarak 3 mempermudah sistem administrasi 4 mempermudah proses transaksi keuangan,37.0,45.0,50.0,44.0
praktis memudahkan,10.0,10.0,10.0,10.0
kecepatan transaksi kenyamanan pelanggan ketepatan transaksi,17.0,15.0,25.0,19.0
media pemasaran transaksi media komunikasi media promosi,22.0,35.0,25.0,27.333333333333332
teknologi memanfaatkannya promosi produk konsumen mengembangkan produk mudah bantuan informasi terbaru menciptakan unik produk memanfaatkan teknologi berkembang,30.0,40.0,50.0,40.0
mempermudah menjalankan bisnis layanan real time praktis mudah cepat efektif efisen aman,27.0,25.0,25.0,25.666666666666668
bisnis terstruktur mudah mengelolanya,12.0,20.0,25.0,19.0
bisnis terstruktur mudah pengelolaannya memantau traffic bisnis berjalan meningkatkan produksi barang keuntungan perusahaan,22.0,30.0,25.0,25.666666666666668
pemasaran luas mudah pengelolaan data uang mudah kacau,27.0,30.0,25.0,27.333333333333332
mempermudah bidang pemasaran mempermudah bidang pembayaran mempermudah mereview produk,21.0,25.0,25.0,23.666666666666668
mempermudah transaksi jual beli,18.0,15.0,25.0,19.333333333333332
keuntungan memudahkan transaksi memudahkan mengirim uang,20.0,35.0,25.0,26.666666666666668
cepat efektif efisien praktis mudah,14.0,30.0,25.0,23.0
mempermudah proses transaksi bisnis memperluas jangkauan pasar memudahkan dokumentasi berkas,18.0,30.0,25.0,24.333333333333332
menghemat pesan cepat diterima penerima pengirim menunggu pesannya dibaca penerima menghemat tenaga biaya pengirim kantor pos mengirim surat menghemat biaya internet messenger komunikasi jarak bertatapan langsung lawan bicara komputernya dilengkapi webcam alat kamera memudahkan pencarian dokumen dokumen tersimpan rapi aman dibandingkan penyimpanan manual,30.0,50.0,50.0,43.333333333333336
membantu mempercepat pekerjaan manusia mempermudah sistem administrasi mempermudah proses transaksi keuangan mempermudah sistem administrasi mempermudah kegiatan promosi pemasaran produk,33.0,45.0,50.0,42.666666666666664
kemajuan teknologi komunikasi cepat mempermudah komunikasi maraknya penggunaan tik membuka lapangan pekerjaan bisnis berbasis tik ecommerce mempermudah transaksitraansaksi bisnis perusahaan perorangan fasilitas pemasangan iklan internet situssitus mempermudah kegiatan promosi pemasaran produk,28.0,40.0,50.0,39.333333333333336
membantu mempercepat pekerjaan manusia teknologi informasi komunikasi pekerjaan manusia cepat mudah proses pembuatan proposal yaysan sosial mesin ketik wakt,22.0,25.0,25.0,24.0
maraknya penggunaan tik membuka lapangan pekerjaan bisnis berbasis tik ecommerce mempermudah transaksitraansaksi bisnis perusahaan perorangan fasilitas pemasangan iklan internet situssitus mempermudah kegiatan promosi pemasaran produk,24.0,25.0,25.0,24.666666666666668
komunikasi cepat teknologi media promosi kecepatan bertransaksi jangkauan pasar luas,28.0,35.0,25.0,29.333333333333332
munculnya peluang bisnis ebusiness memperluas pangsa pasar mengurangi biaya produksi operasional,31.0,35.0,25.0,30.333333333333332
memperbanyak keuntungan mempermudah pekerjaan biaya rendah,25.0,20.0,25.0,23.333333333333332
jarak aantara penjual pembeli jarak aantara penjual pembeli,18.0,40.0,25.0,27.666666666666668
kegiatan bisnis mudah berjalan batas jarak penjual pembeli batas penjual pembeli,25.0,45.0,25.0,31.666666666666668
mempermudah pengolahan datadata dunia bisnis,15.0,10.0,10.0,11.666666666666666
pekerjaan efisien menejemen database mudah transaksi,20.0,20.0,25.0,21.666666666666668
jaringan bisnis turun menurun bisnis lancar uang lancar client suka pembisnis yg profesional,15.0,15.0,10.0,13.333333333333334
bisnis berjalan cepat maju peasat informasi,24.0,20.0,25.0,23.0
hemat hemat biaya rapi,17.0,25.0,25.0,22.333333333333332
efisien hemat cepat efektif,22.0,25.0,25.0,24.0
cepat mudah,17.0,10.0,25.0,17.333333333333332
informasi dibutuhkan cepat mudah akses kepentingan pendidikan inovasi pembelajaran berkembang inovasi elearning memudahkan proses pendidikan kemajuan tik berkembangnya kelas virtual kelas berbasis teleconference mengharuskan sang pendidik peserta didik ruangan,22.0,30.0,25.0,25.666666666666668
mempermudah pekerjaan pengolahan angka,7.0,5.0,10.0,7.333333333333333
ringkas cepat mudah,15.0,20.0,25.0,20.0
