Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
indonesia malaysia thailand filipina singapura brunei darussalam vietnam laos timor leste myanmar,90.0,90.0,90.0,90.0
10 negara asean 1 indonesia 2 malaysia 3 thailand 4 myanmar 5 kamboja 6 filipina 7 laos 8 singapura 9 vietnam 10 brunei darussalam,80.0,100.0,90.0,90.0
indonesiamalaysiasingapurabruneifiliphinakambojalaosmyamartimor lestevietnam,78.0,90.0,90.0,86.0
1 indonesia 2 thailand 3 malaysia 4 singapore 5 vietnam 6 philipine 7 laos 8 kambodia 9 brunei darussalam 10 timor timur,70.0,80.0,75.0,75.0
indonesia myanmar brunei darussalam singapura malaysia,60.0,50.0,50.0,53.333333333333336
indonesia filiphina malaysia thailand singapura brunei vietnam myanmar kamboja laos,80.0,100.0,90.0,90.0
indonesia malaysia thailand kamboja vietnam filiphina brunei darussalam,85.0,70.0,75.0,76.66666666666667
indonesia malaysia thailand filipina singapura brunei darussalam vietnam laos myanmar burma kamboja,95.0,100.0,90.0,95.0
indonesia malaysia thailand filipina singapura brunei darussalam vietnam laos myanmar burma kamboja,95.0,100.0,90.0,95.0
brunei darussalam negara memiliki ibukota kota bandar seri begawan filipina negara memiliki ibukota kota manila kamboja negara memiliki ibukota kota phnom phen laos negara memiliki ibukota kota vientiane indonesia negara memiliki ibukota kota jakarta malaysia negara memiliki ibukota kota kuala lumpur myanmar negara memiliki ibukota kota naypyidaw singapura negara memiliki ibukota kota singapura thailand negara memiliki ibukota kota bangkok vietnam negara memiliki ibukota kota hanoi,50.0,95.0,90.0,78.33333333333333
indonesia malaysia filipina singapura brunai darussalam laos kamboja thailand vietnam myanmar,100.0,100.0,90.0,96.66666666666667
singapurathailandmalaysiafilipinabrunei darussalamvietnamlaosburmakamboja,90.0,90.0,90.0,90.0
indonesia brunei malaysia laos kamboja myanmar singapura thailand philiphina bangkok,80.0,90.0,90.0,86.66666666666667
1 indonesia 2 vietnam 3 malaysia 4 laos 5 singapura 6 thailand 7 philipina 8 myanmar 9 brunei darussallam 10 timor leste,78.0,90.0,90.0,86.0
indoneisa myanmar singapura malaysia philipina kamboja thailand laos brunei darussalam vietnam,90.0,100.0,90.0,93.33333333333333
indonesia malaysia brunei darusalam myanmar thailand vietnam singapura piliphina kamboja,80.0,90.0,90.0,86.66666666666667
indonesiamalaysiasingapuraphilipinabrunei darussalamthailandmyanmarkambojavietnamlaos,90.0,100.0,90.0,93.33333333333333
indonesia malaysia thailand filipina singapura brunei vietnam laos myanmar kamboja,95.0,90.0,90.0,91.66666666666667
1 indonesia 2 thailand 3 kamboja 4 malaysia 5 singapura 6 filipina 7 brunei darusallam 8 myanmar 9 laos 10 vietnam,90.0,100.0,25.0,71.66666666666667
indoenesia myanmar singapura,30.0,30.0,25.0,28.333333333333332
