Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
hukum perdata aturanaturan hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat pergaulan keluarga hukum pidana rangkaian peraturanperaturan hukum orang orang menitik beratkan kepentingan perseorangan,50.0,49.0,50.0,49.666666666666664
hukum perdata adlaah ketentuan mengatur hak kepentingan individu masyarakat hukum pidana peraturan menentukan perbuatan dilarang kedalam tindak pidana menentukan hukuman dijatuhkan,45.0,50.0,50.0,48.333333333333336
hukum perdata hukum berdasarkan hukuman manusiawi hukum pidana hukum sesuai undang undang,30.0,40.0,50.0,40.0
hukuman perdana hukuman pelaku dijathui catatan kriminalnya hukuman pidana hukuman pelaku dijatuhi hukuman penjara,20.0,30.0,25.0,25.0
hukum yangt tertulis tertulis,25.0,15.0,25.0,21.666666666666668
hukum perdata berdasarkan pendapat ahli sederhana rangkaian peraturanperaturan hukum mengatur hubungan hukum orang orang subyek hukum subyek hukum menitik beratkan kepentingan perseorangan dimana ketentuan peraturan kepentingan mengatur membatasi kehidupan manusia usaha memenuhi kebutuhan kepentingan hidupnya hukum pidana aturan hukum memuat peraturan peraturan mengandung keharusan danatau laranganlarangan disertai ancaman sanksi penjatuhan pidana barang melanggar melaksanakan larangan ketentuan hukum sanksi diterima melanggarnya ditentukan peraturan perundangundangan,75.0,95.0,90.0,86.66666666666667
hukum perdata hukum mengatur tingkah laku manusia hukum pidana rangkaian peraturan hukuman,55.0,49.0,50.0,51.333333333333336
hukum perdata sekumpulan aturan hukum mengatur hubungan individu individu fokus hukum perdata kepentingan personal kepentingan individu hukum pidana serangkaian kaidah hukum tertulis mengatur perbuatanperbuatan dilarang ancaman sanksi,80.0,80.0,75.0,78.33333333333333
hukum perdata aturanaturan hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat pergaulan keluarga hukum pidana rangkaian peraturanperaturan hukum mengatur hubungan hukum orang orang subyek hukum subyek hukum menitik beratkan kepentingan perseorangan dimana ketentuan peraturan kepentingan mengatur membatasi kehidupan manusia usaha memenuhi kebutuhan kepentingan hidupnya,70.0,75.0,75.0,73.33333333333333
hukum perdata aturanaturan hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat pergaulan keluarga hukum pidana rangkaian peraturanperaturan hukum mengatur hubungan hukum orang orang subyek hukum subyek hukum menitik beratkan kepentingan perseorangan dimana ketentuan peraturan kepentingan mengatur membatasi kehidupan manusia usaha memenuhi kebutuhan kepentingan hidupnya,70.0,75.0,75.0,73.33333333333333
hukum pidana hukum membahas kriminal pembunuhan hukum perdata hukum membahas kriminal perceraian,50.0,30.0,50.0,43.333333333333336
hukum perdata sekumpulan aturan hukum mengatur hubungan individu individu fokus hukum perdata kepentingan personal kepentingan individu hukum pidana serangkaian kaidah hukum tertulis mengatur perbuatanperbuatan dilarang ancaman sanksi,80.0,95.0,90.0,88.33333333333333
hukum perdata humuna orang pelanggarannya ringan pidana hukuman orang meelakukan kejahatan melebihi batas,38.0,35.0,25.0,32.666666666666664
hukum perdata aturanaturan hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat pergaulan keluarga hukum pidana rangkaian peraturanperaturan hukum mengatur hubungan hukum orang orang,44.0,45.0,50.0,46.333333333333336
hukum perdata mengatur hakhak kepentingan individuindividu masyarakat,48.0,25.0,50.0,41.0
perbedaan hukum perdata hukum pidana perdata peraturan tertulis pidana kejahatan kelakuan,37.0,30.0,25.0,30.666666666666668
hukum perdata hukum mengatur individu individu berfokus kepentingan pribadi kepentingan hukum pidana kaidah hukum tertulis mengatur perbuatan dilarang sanksi,85.0,75.0,75.0,78.33333333333333
hukum perdata rangkaian peraturanperaturan hukum mengatur hubungan hukum orang orang hukum pidana aturan memuat peraturanperaturan mengandung keharusan,55.0,60.0,50.0,55.0
hukum perdata hukum tertulis kebiasaan kalangan masyarakat hukum pidana hukum tertulis undangundang negara disetujui,40.0,40.0,50.0,43.333333333333336
hukum perdata hukum daerah hukum idana hukum negara,20.0,5.0,10.0,11.666666666666666
hukum perdata sekumpulan aturan hukum mengatur hubungan individu individu fokus hukum perdata kepentingan personal kepentingan individu hukum pidana serangkaian kaidah hukum tertulis mengatur perbuatanperbuatan dilarang ancaman sanksi,80.0,80.0,75.0,78.33333333333333
hukum perdata pengertian sekumpulan aturan hukum mengatur hubungan individu individu fokus hukum perdata kepentingan personal kepentingan individu isianya hukum perdata mengatur hubunganhukum orang orang menitik beratkan kepentingan perseorangan pelaksanaanya diambil tindakan pengadilan pengaduan berkepentingan dirugikan mengadu penggugat perkara menafsirkan hukum perdata memperbolehkan mengadakan macammacam interprestasi undangundang hukum perdata hukum pidana pengertian serangkaian kaidah hukum tertulis mengatur perbuatanperbuatan dilarang ancaman sanksi isianya hukum pidana mengatur hubunganhukum anggota masyarakat warganegara negara menguasai tata tertib masyarakat pelaksanaanya pelanggaran norma hukum pidana diambil tindakan pengadilan pengaduan dirugikan pelanggaran normahukum pidana delik tindak pidana alatalat perlengkapan negara polisi jaksa hakim bertindak korban melaporkan berwajib polisi tindakpidana melaporkan dirugikan saksi perkara penggugat penuntut jaksa menafsirkan hukum pidana ditafsirkan arti undangundang pidana hukum pidana mengenal penafsiran authentik penafsiran tercantum undangundang hukum pidana titel ix buku i kitab undangundang hukum pidana,70.0,80.0,75.0,75.0
hukum perdata hukum mengatur individu individu hukum pidana hukum mengatur peraturan masyarakat,70.0,70.0,75.0,71.66666666666667
hukum perdata aturanaturan hukum mengatur tingkah laku perseorangan kepentingan individu isinya mengatur hubungan orang orang berdasarkan undangundang hukum perdata hukum pidana aturanaturan hukum mengatur perbuatan dilarang sanksi isinya mengatur hubungan sekelompok orang berdasarkan undangundang hukum pidana,77.0,70.0,75.0,74.0
hukum perdata hukum menitikberatkan tahan tahan kejahatan riwayat data hukuman hukum pidana hukum menitikberatkan kecilnya kejahatan,40.0,49.0,50.0,46.333333333333336
hukum perdata hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat pergaulan keluarga hukum pidana rangkaian peraturan hukum mengatur hubungan hukum orang orang lein,38.0,40.0,50.0,42.666666666666664
hukum perdata aturan hukum mengatur tingkah laku orang orang berkaitan hak kewajiban timbul pergaulan masyarakat keluarga hukum pidana aturan hukum mengatur hubungan hukum orang menitik beratkan kepentingan perseorangan,48.0,40.0,50.0,46.0
hukum perdata hukuman hukum perdana hukuman kali dijalani,10.0,0.0,10.0,6.666666666666667
perdata hukum mengatur hak harta benda perseorangan perdana hukum mengatur menangani kejahatan korupsi pembunahan tindak kriminal,72.0,60.0,75.0,69.0
hukum perdata aturan aturan hukum mengatur tingkah laku orang hukum pidana rangkaian peraturan peraturan mengatur hubungan hukum orang orang,52.0,49.0,50.0,50.333333333333336
hukum perdata sekumpulan aturan hukum mengatur hubungan individu individu fokus dukum perdata kepentingan personal kepentingan individu hukum pidana serangkaian kaidah hukum tertulis mengatur tantang perbuatan perbuatan dilarang atauj ancaman sanksi,80.0,95.0,90.0,88.33333333333333
hukum perdata hukum berkaitan harta warisan sengketa tanah hukum pidana hukum berkaitan tindak pidana,48.0,5.0,25.0,26.0
,0.0,0.0,0.0,1.0
hukum perdata hukum berkaitan benda mati contohnya persengketaan hukum pidana hukum berkaitan benda hidup contohnya tindakan kriminal,48.0,25.0,50.0,41.0
hukum perdata mengatur hubunganhukum orang orang menitik beratkan kepentingan perseorangan sedangkangkan hukum pidana mengatur hubunganhukum anggota masyarakat warganegara negara menguasai tata tertib masyarakat,60.0,59.0,50.0,56.333333333333336
