Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
kerajaan majapahit kerajaan agama hindu puncak kejayaan patih gajahmada,35.0,30.0,25.0,30.0
kerajaan majapahit kerjaan bercorak hindu terbesar indonesia pusat kekuasaannya kediri,38.0,40.0,50.0,42.666666666666664
kerajaan majapahit berpusat jawa timur indonesia dikuasi raja hayam wuruk kerajaan majapahit kerajaan hindubudha,90.0,60.0,75.0,75.0
berpusat jawa timur puncak kejayaan pemerintahan hayamwuruk agama anut hindu,85.0,70.0,75.0,76.66666666666667
kerajaan jawa timur,18.0,10.0,10.0,12.666666666666666
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesia2 negarakertagama kekuasaannya terbentang jawa sumatra semenanjung malaya kalimantan indonesia timur wilayah kekuasaannya diperdebatkan,80.0,76.0,75.0,77.0
majapahit kerajaan beridiri 1293 2000 masehi berpusat jawa timur kerajaan mencapai puncak kejayaan pemerintahan hayam wuruk kemaharajaan menguasai wilayah nusantara,60.0,60.0,50.0,56.666666666666664
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusatara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap negara terbesar,88.0,82.0,90.0,86.66666666666667
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesia negarakertagama kekuasaannya terbentang jawa sumatra semenanjung malaya kalimantan indonesia timur wilayah kekuasaannya diperdebatkan,84.0,85.0,90.0,86.33333333333333
majapahit kerajaan berpusat jawa timur berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389,62.0,70.0,75.0,69.0
majapahit kerajaan hindu dibangun raden patah menemukan buah maja pahit madura puncak kejayaan kerajaan pemerintahan raja hayam wuruk patih gajamada agama kepercayaan kerajaan hindu,50.0,40.0,50.0,46.666666666666664
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaannya kemaharajaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389 kerajaan majapahit kerajaan hindubuddha menguasai nusantara dianggap salah negara terbesar sejarah indonesia2 negarakertagama kekuasaannya terbentang jawa sumatra semenanjung malaya kalimantan indonesia timur wilayah kekuasaannya diperdebatkan,80.0,85.0,90.0,85.0
kerajaan memimpin pulau indonesia kekuasaan maritim,28.0,30.0,25.0,27.666666666666668
kerajaan majapahit kerajaan terbesar indonesia era kerajaan indonesia,29.0,30.0,25.0,28.0
kerajaan bertempat jawa timur indonesia puncak kejayaan 1350 1389 menganut agama hindu budha,58.0,50.0,50.0,52.666666666666664
kerajaan majapahit kerajaan hindhu bertempat jawa,35.0,25.0,25.0,28.333333333333332
kerajaan majapahit kerajaan hindu terbesar indonesia kerajaan kerajaan berpusat daerah mojokerto tepatnya daerah trowulan kerajaan salah kerajaan hindu mengalami kejayaan era hayam wuruk wilayah indonesia dikuasai majapahit memiliki raja majapahit memiliki salah mahapatih terkenal yaitugajahmada terkenal sumpah palapa,85.0,80.0,90.0,85.0
kerajaan berpusan jawa timur berdiri tahub 1293 1500 m,28.0,30.0,25.0,27.666666666666668
majapahit kerajaan berpusat jawa timur indonesia berdiri 1293 1500 m kerajaan mencapai puncak kejayaan kemaharajaaan raya menguasai wilayah luas nusantara kekuasaan hayam wuruk berkuasa 1350 1389,53.0,50.0,50.0,51.0
kerajaan pulau jawa,10.0,10.0,10.0,10.0
