Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
parkour seni bergerak metode latihan natural bertujuan membantu manusia bergerak cepat eficien parkour mengunakan gerakan berlari memanjat meloncat melatih kemampuan manusia melewati bentuk rintangan situasi kondisi lingkungan urban rural,40.0,43.0,50.0,44.333333333333336
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,50.0,55.0,50.0,51.666666666666664
keindahan kelenturan melewati rintangan pakai gedung bertingkat,18.0,20.0,25.0,21.0
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia,50.0,43.0,50.0,47.666666666666664
loncat loncat gedung,18.0,5.0,10.0,11.0
parkour seni gerak aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,50.0,50.0,49.333333333333336
parkour aktivitas tujuan berpindah cepat efisien prinsip kemampuan badan manusia,50.0,43.0,50.0,47.666666666666664
parkour seni bergerak metode latihan natural bertujuan membantu manusia bergerak cepat eficien parkour mengunakan gerakan berlari memanjat meloncat melatih kemampuan manusia melewati bentuk rintangan situasi kondisi lingkungan urban rural,40.0,43.0,50.0,44.333333333333336
parkour kadangkadang disingkat pk seni gerak aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,50.0,50.0,49.333333333333336
parkour seni gerak aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,50.0,50.0,49.333333333333336
parkour aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,50.0,50.0,49.333333333333336
olahraga lompatlompat,20.0,10.0,25.0,18.333333333333332
parkour kegiatan locat dinding dinding,28.0,25.0,25.0,26.0
olahraga mementingkan keindahan lompat panjat bekerjanya alam liar gedung kosong,30.0,60.0,50.0,46.666666666666664
parkour seni gerak profesioanl dimana seni teknik lari melintasi rintangan melewati gedung gedung rendah,38.0,60.0,50.0,49.333333333333336
olahraga mengandalkan pergerakan tubuh tangan kaki parkour bagianbagian gedung rendah,40.0,60.0,50.0,50.0
aktivitas bertujuan berpindah efisien secepatcepatnya prinsip kemampuan badan manusia menolong melintasi rintangan lingkungan cabangcabang pohon batubatuan pegangan tangan tembok beton dilatih desa kota,48.0,65.0,50.0,54.333333333333336
parkour mengunakan gerakan berlari memanjat meloncat melatih kemampuan manusia melewati bentuk rintangan situasi kondisi lingkungan urban rural parkour taman gedung bertingkat,40.0,50.0,50.0,46.666666666666664
pakour olahraga serba membantu bergerak memanjat meloncat terhalang tembok rintangan menghalau maju dimana terkadang gedung,30.0,40.0,50.0,40.0
aktifitas bertujuan untu berpindah efisien,20.0,25.0,25.0,23.333333333333332
parkour kegiatan dibutuhkan nyali parkour kegiatan melompati gedung gedung,32.0,40.0,50.0,40.666666666666664
meloncat gedung,18.0,10.0,10.0,12.666666666666666
kegiatan manuasia berpindah secepatnya contoh tempatnya taman rumah dll,28.0,30.0,25.0,27.666666666666668
parkour free running gerakanaktifitas bertujuan berpindah efisiensi secepatnya taman,20.0,30.0,25.0,25.0
parkour seni gerak aktivitas bertujuan berpindah efisian secepatcepatnya prinsip kemampuan tubuh manusia cabangcabang pohon batubatuan pegangan tangan tembok beton,40.0,45.0,50.0,45.0
parkour seni olahraga melompat parkour gedung gedung jalan jembatan,44.0,48.0,50.0,47.333333333333336
parkour olahraga ekstrim lakukan profesional,30.0,30.0,25.0,28.333333333333332
parkour jenis olahraga berlari melompat gedung gedung mengandalkan kecepatan kaki kekuatan tangan tempatnya diatas gedung apartemen atap rumah pohon pohon,44.0,60.0,50.0,51.333333333333336
parkour tujuan efisien,32.0,10.0,25.0,22.333333333333332
parkour olahraga urban lumayan ekstrim loncat gedung gedung beringkat bangunan perkotaangedung bertingkat bangunan,50.0,60.0,50.0,53.333333333333336
berpindah ketempat,25.0,10.0,25.0,20.0
