Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
masyarakat madani masyarakt beradap menjunjung nilainilai kemanusiaan maju penguasaan ilmu pengetahuan teknologi,90.0,100.0,90.0,93.33333333333333
masyarakat madani adlah masyarakat beradab menjunjung nilai kemanusiaan maju ilmu pengetahuan teknologi,86.0,100.0,90.0,92.0
masyarakat suku pendalaman,5.0,0.0,10.0,5.0
masyarakat madani masyarakat beradab menjunjung nilai kemanusiaan maju ilmu pengetahuan teknologi,90.0,100.0,90.0,93.33333333333333
masyarakat kuno,5.0,0.0,10.0,5.0
masyarakat madani kelembagaan sosial melindungi warga negara perwujudkan kekuasaan negara masyarakat madani tiang utama kehidupan politik berdemokratis wajib masyarakat madani melindungi warga negara berhadapan negara masyarakat madani merumuskan menyuarakan aspirasi masyarakat,20.0,25.0,25.0,23.333333333333332
masyarakat makmur sejahtera bidang ekonomi politik,10.0,15.0,10.0,11.666666666666666
masyarakat madani bahasa inggris civil society diartikan masyarakat beradab membangun menjalani mamaknai kehidupannya madani berasal bahasa inggris civil civilized beradab istilah masyarakat madani terjemahan civil civilized society masyarakat berperadaban kali istilah masyarakat madani dimunculkan anwar ibrahim mantan wakil perdana menteri malaysia anwar ibrahim masyarakat madani sistem sosial subur berdasarkan prinsip moral menjamin keseimbangan kebebasan individu kestabilan masyarakat inisiatif individu masyarakat pemikiran seni pelaksanaan pemerintah berdasarkan undangundang nafsu individu,30.0,25.0,25.0,26.666666666666668
masyarakat madani diartikan masyarakat beradab membangun menjalani mamaknai kehidupannya,40.0,50.0,50.0,46.666666666666664
masyarakat madani kelembagaan sosial melindungi warga negara perwujudkan kekuasaan negara masyarakat madani tiang utama kehidupan politik berdemokratis wajib masyarakat madani melindungi warga negara berhadapan negara masyarakat madani merumuskan menyuarakan aspirasi masyarakat,43.0,45.0,50.0,46.0
masyarakat madani masyarakat makmur damai memenuhi kebutuhanya,28.0,15.0,25.0,22.666666666666668
masyarakat madani bahasa inggris civil society diartikan masyarakat beradab membangun menjalani mamaknai kehidupannya1 madani berasal bahasa inggris civil civilized beradab1 istilah masyarakat madani terjemahan civil civilized society masyarakat berperadaban1 kali istilah masyarakat madani dimunculkan anwar ibrahim mantan wakil perdana menteri malaysia2 anwar ibrahim masyarakat madani sistem sosial subur berdasarkan prinsip moral menjamin keseimbangan kebebasan individu kestabilan masyarakat2 inisiatif individu masyarakat pemikiran seni pelaksanaan pemerintah berdasarkan undangundang nafsu individu 2 dawam rahardjo mendefinisikan masyarakat madani proses penciptaan peradaban mengacu nilainilai kebijakan bersama2 dawam dasar utama masyarakat madani persatuan integrasi sosial didasarkan pedoman hidup menghindarkan konflik permusuhan menyebabkan perpecahan hidup persaudaraan2 masyarakat madani prinsipnya memiliki multimakna masyarakat demokratis menjunjung etika moralitas transparan toleransi berpotensi aspiratif bermotivasi berpartisipasi konsisten memiliki bandingan berkoordinasi sederhana sinkron integral mengakui emansipasi hak asasi dominan masyarakat demokratis3 masyarakat madani kelembagaan sosial melindungi warga negara perwujudan kekuasaan negara berlebihan4 masyarakat madani tiang utama kehidupan politik demokratis4 masyarakat madani melindungi warga negara berhadapan negara merumuskan menyuarakan aspirasi masyarakat,50.0,80.0,75.0,68.33333333333333
masyarakat kaku sulit diatur mengikuti zaman modern,10.0,15.0,10.0,11.666666666666666
masyarakat madani bahasa inggris civil society diartikan masyarakat beradab membangun menjalani mamaknai kehidupannya,40.0,65.0,50.0,51.666666666666664
masyarakat beradab membangun menjalani mamaknai kehidupannya,44.0,50.0,50.0,48.0
masyarakat madani masyarakat bertujuan mensejahterakan kelompoknya,30.0,15.0,25.0,23.333333333333332
kelembagaan sosial melindungi warga negara perwujudkan kekuasaan negara masyarakat madani tiang utama kehidupan politik berdemokratis,28.0,15.0,25.0,22.666666666666668
masyarakat beradab membangun menjalani memaknai kehidupannya,44.0,25.0,50.0,39.666666666666664
masyarakat madani masyarakat beradab membangun menjalani memaknai kehidupan,40.0,50.0,50.0,46.666666666666664
masyarakat kuno,5.0,0.0,10.0,5.0
masyarakat madani bahasa inggris civil society diartikan masyarakat beradab membangun menjalani mamaknai kehidupannya1 madani berasal bahasa inggris civil civilized beradab1 istilah masyarakat madani terjemahan civil civilized society masyarakat berperadaban1 kali istilah masyarakat madani dimunculkan anwar ibrahim mantan wakil perdana menteri malaysia2 anwar ibrahim masyarakat madani sistem sosial subur berdasarkan prinsip moral menjamin keseimbangan kebebasan individu kestabilan masyarakat2 inisiatif individu masyarakat pemikiran seni pelaksanaan pemerintah berdasarkan undangundang nafsu individu,40.0,80.0,75.0,65.0
masyarakat beradab membangun menjalani mamaknai kehidupannya madani berasal bahasa inggris civil civilized kali istilah masyarakat madani dimunculkan anwar ibrahim mantan wakil perdana menteri malaysia unsurunsur masyarakat madani wilayah publik luas demokrasi toleransi pluralisme ciriciri masyarakat madani 1 terintegrasinya individu individu kelompok kelompok eksklusif masyarakat kontrak sosial aliansi sosial 2 menyebarnya kekuasaan kepentingan kepentingan mendominasi masyarakat dikurangi kekuatan kekuatan alternatif 3 terjembataninya kepentingan kepentingan individu negara keanggotaan organisasi organisasi volunter masukan masukan keputusan keputusan pemerintah 4 meluasnya kesetiaan loyalty kepercayaan trust individu individu mengakui keterkaitannya orang mementingkan individualis 5 pembebasan masyarakat kegiatan lembaga lembaga sosial perspektif,40.0,45.0,50.0,45.0
masyarakat beradab membangun menjalani memaknai kehidupan,44.0,40.0,50.0,44.666666666666664
masyarakat madani masyarakat mencapai keberadaannya pembagunan pemaknaan penjalanan kehidupannya masyarakat madani masyarakat mencapai kebebasan kesejahteraannya,48.0,0.0,50.0,32.666666666666664
masyarakat madani masyarakat sadar hak kewajiban warga indonesia dimana masyarakat madani masyarakat maju berkembang pola pikir masyarakat madani mengerti perannya bela negara era masyarakat madani berkembang disekitar,30.0,40.0,50.0,40.0
masyarakat beradab membangun menjalani memaknai kehidupannya,38.0,40.0,50.0,42.666666666666664
masyarakat madani masyarakat beradab membangun menjalani memaknai kehidupannya,44.0,40.0,50.0,44.666666666666664
masyarakat memenuhi kebutuhan sehari membantu lainya hati iklas,29.0,10.0,25.0,21.333333333333332
masyarakat madani masyarakat menjunjung nilai nilai norma hukum ditopang iman ilmu peradaban teknologi,38.0,37.0,25.0,33.333333333333336
masyarakat berpradaban,5.0,0.0,10.0,5.0
masyarakat madani proses penciptaan peradaban mengacu nilai nilai kebijakan,50.0,40.0,50.0,46.666666666666664
masyarakat madani masyarakat dalamnya peraturan sesuai norma berlaku,33.0,30.0,25.0,29.333333333333332
masyarakat memiliki orientasi kedepan merubah kehidupan,44.0,30.0,50.0,41.333333333333336
masyarakat madani msyarakat modern memegang teguh agama keyakinan dianut,20.0,15.0,25.0,20.0
masyarakat madani masyarakat beradab membangun menjalani memaknai kehidupannya,44.0,40.0,50.0,44.666666666666664
masyarakat madani masyarakat beradab membangun menjalani memaknai kehidupannya,44.0,40.0,50.0,44.666666666666664
masyarakat madani masyarakat beradab menjunjung nilai nilai kemanusian maju penguasaan ilmu pengetahuan teknologi,100.0,100.0,100.0,100.0
sistem sosial subur berdasarkan prinsip moral menjamin keseimbangan kebebasan individu kestabilan masyarakatinisiatif individu masyarakat pemikiran seni pelaksanaan pemerintah berdasarkan undangundang nafsu individu,20.0,15.0,25.0,20.0
masyarakat madani kelembagaan sosial melindungi warga negara perwujudan kekuasaan negara masyarakat madani tiang utama kehidupan politik demokratis masyarakat madani melindungi warga negara berhadapan negara merumuskan menyuarakan aspirasi masyarakat,30.0,30.0,25.0,28.333333333333332
masyarakat madani masyarakat beradab membangun menjalani mamaknai kehidupannya,44.0,40.0,50.0,44.666666666666664
gagasan menggambarkan maasyarakat beradab mengacu nilainilai kebajikan mengembangkan menerapkan prinsipprinsip interaksi sosial kondusif peneiptaan tatanan demokratis kehidupan bermasyarakat bernegara,32.0,25.0,25.0,27.333333333333332
masyarakat menganut agama,5.0,0.0,10.0,5.0
masyarakat madani sebutan orang ras teertentu agama kepercayaan,10.0,0.0,10.0,6.666666666666667
masyarakat madani masyarakat sejahtera lingkungan keluarga,20.0,10.0,10.0,13.333333333333334
masyarakat madani masyarakat beradab membangun menjalani memaknai hidupnya masyarakat madani merupakaan kelembagaan sosial melindungi warganya perwujudan kekuasaan negara,38.0,40.0,50.0,42.666666666666664
masyarakat madani masyarakat menjunjung nilai nilai peradaban,40.0,30.0,50.0,40.0
gagasan menggambarkan maasyarakat beradab mengacu nilainilai kebajikan,20.0,25.0,25.0,23.333333333333332
masyarakat madani masyarakat menjujung musyawarah menyelesaikan,24.0,25.0,25.0,24.666666666666668
masyarakat menjunjung mufakat,38.0,15.0,25.0,26.0
masyarakat madani kumpulan kelompok masyarakat beradap berkembang menumbuhkan sikap mandiri memecahkan kekeluargaan harmonis,29.0,25.0,25.0,26.333333333333332
masyarakat madani masyarakat memaknai kehidupannya beradab membangun mengelola mengembang kehidupannya,30.0,25.0,25.0,26.666666666666668
masyarakat demokratis menghargai human dignity hakhak tanggung manusia,16.0,25.0,25.0,22.0
masyarakat zaman batu,0.0,0.0,0.0,1.0
masyarakat madari masyarakat menjunjung nilai kemanusiaan keadilan kesejahteraan,36.0,25.0,25.0,28.666666666666668
